,jan
1800,3.2541416317144467e-07
1801,7.696133934587124e-07
1802,6.854780849607778e-07
1803,5.186965381653863e-07
1804,4.2580020931382023e-07
1805,4.953386678607785e-07
1806,6.216209271769912e-07
1807,6.81238191191369e-07
1808,5.889485805710137e-07
1809,5.339059612197161e-07
1810,2.592250893940218e-07
1811,5.074430191598367e-07
1812,2.6595947133500886e-07
1813,2.852803788755409e-07
1814,2.2477419747701788e-07
1815,2.2390834431007534e-07
1816,1.7108983740854455e-07
1817,1.1409114364369088e-07
1818,1.3249452024410857e-07
1819,9.451584048747463e-08
1820,1.4153309280118265e-07
1821,1.5665550279209128e-07
1822,4.3240572722424986e-07
1823,1.4960788519147172e-07
1824,1.0978533282468561e-07
1825,1.4760161093363422e-07
1826,1.209384379308176e-07
1827,9.951705237654096e-08
1828,8.331385714654971e-08
1829,1.2774110302871122e-07
1830,8.637532289412775e-08
1831,9.344892504259406e-08
1832,1.0084359303164092e-07
1833,1.1541379763002624e-07
1834,1.0469228328702229e-07
1835,1.1563296453687144e-07
1836,1.5472922143544565e-07
1837,7.035198734683945e-08
1838,2.486691244030226e-07
1839,8.091595304904331e-08
1840,9.866035810546236e-08
1841,1.132674114501242e-07
1842,9.495413877402825e-08
1843,9.206370776837502e-08
1844,8.523272754246136e-08
1845,1.566605760672246e-07
1846,1.3128020270869456e-07
1847,1.0471551803448165e-07
1848,7.661610368359106e-08
1849,1.3194106429637031e-07
1850,1.022414224394197e-07
1851,9.761750163761462e-08
1852,7.48591730825865e-08
1853,9.071499817991935e-08
1854,1.1147506029374199e-07
1855,1.373252302983019e-07
1856,1.3512615737454325e-07
1857,1.1630578455879004e-07
1858,1.117237218295486e-07
1859,1.1967472346441355e-07
1860,1.2230907486809883e-07
1861,1.0846741815839778e-07
1862,1.6079265208190918e-07
1863,8.923598926457998e-08
1864,1.296934186711951e-07
1865,1.0062719724146518e-07
1866,1.1495281881934716e-07
1867,2.4560105771342933e-07
1868,2.5881377041514497e-07
1869,3.2949668593573733e-07
1870,2.876653297789744e-07
1871,1.9165963749401271e-07
1872,1.5767058414439816e-07
1873,1.8182795713528321e-07
1874,2.635821090279933e-07
1875,1.9493013780902402e-07
1876,2.831645247169945e-07
1877,1.8694032632993185e-07
1878,3.049544545774552e-07
1879,1.7145896435977193e-07
1880,1.636786777226007e-07
1881,1.6027243532334978e-07
1882,6.039042546035489e-07
1883,4.3808350369545224e-07
1884,5.683069730366697e-07
1885,4.7324468255283136e-07
1886,2.752266823335958e-07
1887,2.2510947417231364e-07
1888,4.276579943507386e-07
1889,1.7342203761927522e-07
1890,2.0852593252129736e-07
1891,1.799469373509055e-07
1892,1.8099791532222298e-07
1893,2.2771180852032558e-07
1894,3.774696608616068e-07
1895,2.486929986389441e-07
1896,2.5651499413470447e-07
1897,2.543867765325558e-07
1898,2.947667212538363e-07
1899,1.965756553090614e-07
1900,2.4746094595684553e-07
1901,2.9672787604795303e-07
1902,3.637499332853622e-07
1903,6.935678698027914e-07
1904,2.851373324119777e-07
1905,7.517333528994641e-07
1906,5.171455654817692e-07
1907,9.826940186030697e-07
1908,5.788928660876991e-07
1909,3.5883059013031016e-07
1910,7.859525226194819e-07
1911,3.374019854618382e-07
1912,1.86470828111851e-07
1913,4.249107234954863e-07
1914,3.462752999894292e-07
1915,2.116855881695301e-07
1916,2.7373366151550726e-07
1917,1.8099599685683643e-07
1918,1.9893118974323443e-07
1919,3.158783954404498e-07
1920,2.675695043308224e-07
1921,3.851315568681457e-07
1922,1.9927821881537966e-07
1923,1.739428086011685e-07
1924,1.3755010286331526e-07
1925,1.8089320974468137e-07
1926,1.5417107590565138e-07
1927,1.5094947514171508e-07
1928,1.6361281041099573e-07
1929,1.8854137806556537e-07
1930,1.480268423392772e-07
1931,1.856920306408938e-07
1932,1.775315894292362e-07
1933,2.0450494275792153e-07
1934,1.5957539289956912e-07
1935,1.833770113535138e-07
1936,2.02063958454346e-07
1937,2.039858344460299e-07
1938,1.9382318328098336e-07
1939,1.792453616644707e-07
1940,1.574111081481533e-07
1941,1.4922044044851646e-07
1942,1.514303562544228e-07
1943,1.554559929672905e-07
1944,1.8262529977164377e-07
1945,2.51073089430065e-07
1946,2.0363496844311157e-07
1947,1.6254628576461982e-07
1948,3.108591499767499e-07
1949,1.6842660954807798e-07
1950,2.2762530704767414e-07
1951,1.9295640640848433e-07
1952,2.6820418952411273e-07
1953,1.9661011663174577e-07
1954,1.957758399839804e-07
1955,2.0508332454483025e-07
1956,2.913648131652735e-07
1957,2.470180220370821e-07
1958,3.155398644594243e-07
1959,2.2635677510152163e-07
1960,1.932203730348192e-07
1961,2.749317502548365e-07
1962,2.5915073820215184e-07
1963,2.404291592483787e-07
1964,2.392821443208959e-07
1965,2.934331178039429e-07
1966,2.557472953412798e-07
1967,2.6219996129839274e-07
1968,2.765026749784738e-07
1969,3.2991604825838294e-07
1970,3.2795185234135715e-07
1971,2.4537933995816275e-07
1972,3.327282627196837e-07
1973,3.086516358052904e-07
1974,3.013768150594842e-07
1975,2.9782768251607195e-07
1976,3.2922289960879425e-07
1977,2.9018147529313865e-07
1978,2.836622172708303e-07
1979,3.0962760888542107e-07
1980,4.155995156907011e-07
1981,3.359197933150426e-07
1982,3.006273914252233e-07
1983,3.199855029833998e-07
1984,2.667225089680869e-07
1985,3.9875325796856487e-07
1986,3.44949370401082e-07
1987,2.5351462795697444e-07
1988,2.9339960860852443e-07
1989,2.647703638558596e-07
1990,3.0919505888959975e-07
1991,2.4711169999136473e-07
1992,2.3770964219238522e-07
1993,3.747751691207668e-07
1994,2.1378370718139195e-07
1995,2.3586490272009542e-07
1996,2.557477216669213e-07
1997,2.3776092916705238e-07
1998,2.7434006710791436e-07
1999,2.5745092102624767e-07
2000,2.1204955658049585e-07
2001,1.8661097556105233e-07
2002,2.0420141311205953e-07
2003,2.482136949311098e-07
2004,2.2393865606318286e-07
2005,2.1345370271319553e-07
2006,2.3455082498458069e-07
2007,2.2068040550493606e-07
2008,1.7859609613424254e-07
2009,1.8884831831655902e-07
2010,2.1065569910660997e-07
2011,1.824099626901443e-07
2012,1.5940470632358483e-07
2013,2.628158597417496e-07
2014,1.5055758240123396e-07
2015,1.3587266778358753e-07
2016,1.3233614026830764e-07
2017,1.0601927868947314e-07
2018,2.137566497140142e-07
2019,9.6117823034092e-08
