,k
1800,2.796577609842643e-05
1801,2.5008384909597225e-05
1802,3.0173652703524567e-05
1803,2.1384705178206787e-05
1804,2.333775228180457e-05
1805,2.2107908080215566e-05
1806,2.3012258679955266e-05
1807,2.4131633836077526e-05
1808,1.934623287525028e-05
1809,1.970565426745452e-05
1810,2.003502413572278e-05
1811,1.7768743418855593e-05
1812,1.9872239136020653e-05
1813,1.4901705071679316e-05
1814,1.4249371815822087e-05
1815,1.562512625241652e-05
1816,1.744029941619374e-05
1817,1.3999568182043731e-05
1818,1.3106142432661727e-05
1819,1.4984088920755312e-05
1820,1.3103805940772872e-05
1821,1.3938580195826944e-05
1822,1.5265710317180492e-05
1823,1.918798625411e-05
1824,1.852942477853503e-05
1825,1.7474632841185667e-05
1826,2.2453254132415168e-05
1827,1.6481339116580784e-05
1828,1.4875955457682721e-05
1829,1.3353092981560621e-05
1830,1.4433462638407946e-05
1831,1.173672171717044e-05
1832,1.5847201211727224e-05
1833,1.4248600564314984e-05
1834,1.319642979069613e-05
1835,1.1178251043020282e-05
1836,1.555548260512296e-05
1837,1.2829643310396932e-05
1838,1.2957772923982702e-05
1839,1.2948128642165102e-05
1840,1.3944178135716356e-05
1841,1.3178556400816888e-05
1842,1.646260716370307e-05
1843,1.2125954526709393e-05
1844,1.228380006068619e-05
1845,1.3373619367484935e-05
1846,1.2605195479409304e-05
1847,1.2388220056891441e-05
1848,1.0724385901994538e-05
1849,1.0913216101471335e-05
1850,1.21450930237188e-05
1851,1.373420764139155e-05
1852,1.3175214917282574e-05
1853,1.3703946024179459e-05
1854,1.4597382687497884e-05
1855,1.5360605175374076e-05
1856,1.5876985344220884e-05
1857,1.799946949176956e-05
1858,1.4923569324309938e-05
1859,1.3890268746763468e-05
1860,1.5711155356257223e-05
1861,1.4938261301722378e-05
1862,1.4551948879670817e-05
1863,1.56769274326507e-05
1864,1.3677119568455964e-05
1865,1.225740652444074e-05
1866,1.3883894098398741e-05
1867,1.5110893400560599e-05
1868,1.4332586943055503e-05
1869,1.3938267329649534e-05
1870,1.4295847904577386e-05
1871,1.394723767589312e-05
1872,1.46874717756873e-05
1873,1.4440096492762677e-05
1874,1.3792330719297752e-05
1875,1.3404600395006128e-05
1876,1.4652194295194931e-05
1877,1.4390509932127316e-05
1878,1.3777426829619799e-05
1879,1.4286637451732531e-05
1880,1.4423786524275783e-05
1881,1.3360777302295901e-05
1882,1.484978747612331e-05
1883,1.6254900401690975e-05
1884,1.6905807569855824e-05
1885,1.5011793038866017e-05
1886,1.2984448403585702e-05
1887,1.2752429938700516e-05
1888,1.3722640687774401e-05
1889,1.2934039659739938e-05
1890,1.542975769552868e-05
1891,1.231351234309841e-05
1892,1.2632847756322008e-05
1893,1.4401620319404174e-05
1894,1.3524025234801229e-05
1895,1.312425774813164e-05
1896,1.4764545085199643e-05
1897,1.2485518709581811e-05
1898,1.4792428373766597e-05
1899,1.3051457244728226e-05
1900,1.233598686667392e-05
1901,1.243794849870028e-05
1902,1.3746126569458283e-05
1903,1.3080262760922778e-05
1904,1.3261945241538342e-05
1905,1.4078758795221802e-05
1906,1.3019013749726582e-05
1907,1.410041113558691e-05
1908,1.3831740034220275e-05
1909,1.4483006452792324e-05
1910,1.4053208360564895e-05
1911,1.4970579286455177e-05
1912,1.2877484550699592e-05
1913,1.3117467460688204e-05
1914,1.3505715287465136e-05
1915,1.2604575204022694e-05
1916,1.3480506822816096e-05
1917,1.249005345016485e-05
1918,1.259704185940791e-05
1919,1.3437053894449491e-05
1920,1.5234744751069229e-05
1921,1.459745271858992e-05
1922,1.5632500435458496e-05
1923,1.4535025002260227e-05
1924,1.4254047528083902e-05
1925,1.4507297237287275e-05
1926,1.5162390809564386e-05
1927,1.5387444364023395e-05
1928,1.4203556020220276e-05
1929,1.3654567737830803e-05
1930,1.4280451978265774e-05
1931,1.5104442354640923e-05
1932,1.5625080777681433e-05
1933,1.662398426560685e-05
1934,1.6467300156364217e-05
1935,1.6664303984725848e-05
1936,1.7511452824692242e-05
1937,1.69478098541731e-05
1938,1.7590466086403467e-05
1939,1.8438382539898157e-05
1940,1.995460843318142e-05
1941,1.8614640794112347e-05
1942,1.901052200992126e-05
1943,2.069189758913126e-05
1944,2.060808583337348e-05
1945,2.029751703958027e-05
1946,2.1899919374845922e-05
1947,2.2854354028822854e-05
1948,2.2895577785675414e-05
1949,2.3796455934643745e-05
1950,2.5729192202561535e-05
1951,2.587423296063207e-05
1952,2.9336872103158385e-05
1953,2.8585214749909937e-05
1954,2.8162063244963065e-05
1955,2.8618234864552505e-05
1956,3.019617906829808e-05
1957,3.0333731046994217e-05
1958,3.283796104369685e-05
1959,3.512593320920132e-05
1960,3.581177952582948e-05
1961,3.709587690536864e-05
1962,3.62973878509365e-05
1963,3.634838139987551e-05
1964,3.859107891912572e-05
1965,3.732520417543128e-05
1966,3.645539254648611e-05
1967,3.558358730515465e-05
1968,3.509461021167226e-05
1969,3.549828761606477e-05
1970,3.499438753351569e-05
1971,3.6437097151065245e-05
1972,3.6529163480736315e-05
1973,3.6148889194009826e-05
1974,3.6790777812711895e-05
1975,3.77861360902898e-05
1976,3.7298792449291795e-05
1977,3.6891487980028614e-05
1978,3.5493369068717584e-05
1979,3.627570913522504e-05
1980,3.57474600605201e-05
1981,3.7605252146022394e-05
1982,3.636436667875387e-05
1983,3.6265060771256685e-05
1984,3.6242483474779874e-05
1985,3.70067500625737e-05
1986,3.80382698494941e-05
1987,3.8861468055984005e-05
1988,3.8006390241207555e-05
1989,3.712573743541725e-05
1990,3.787768218899146e-05
1991,3.864859900204465e-05
1992,3.8468449929496273e-05
1993,3.6148001527180895e-05
1994,3.825656676781364e-05
1995,4.057735714013688e-05
1996,3.7876998248975724e-05
1997,3.8655656680930406e-05
1998,3.813657895079814e-05
1999,3.885144178639166e-05
2000,3.783473948715255e-05
2001,3.986401134170592e-05
2002,3.630559876910411e-05
2003,4.244232695782557e-05
2004,3.979878601967357e-05
2005,4.017972605652176e-05
2006,4.197109228698537e-05
2007,3.788927642744966e-05
2008,3.602455399231985e-05
2009,3.789467518799938e-05
2010,4.4330419768812135e-05
2011,5.256221993477084e-05
2012,5.62824061489664e-05
2013,5.98255246586632e-05
2014,5.449115269584581e-05
2015,5.6701217545196414e-05
2016,7.106248813215643e-05
2017,8.146732579916716e-05
2018,9.756476356415078e-05
2019,8.882417023414746e-05
