,la
1800,6.530506652779877e-05
1801,6.944342749193311e-05
1802,5.647414582199417e-05
1803,5.334505476639606e-05
1804,5.87831818847917e-05
1805,6.598640175070614e-05
1806,6.418420525733382e-05
1807,6.336155638564378e-05
1808,4.900997373624705e-05
1809,5.798037818749435e-05
1810,6.045217378414236e-05
1811,5.4820324294269085e-05
1812,5.0071303121512756e-05
1813,5.598970892606303e-05
1814,7.039205956971273e-05
1815,6.325577851384878e-05
1816,5.805512410006486e-05
1817,6.13941956544295e-05
1818,5.7360666687600315e-05
1819,5.602792589343153e-05
1820,5.280023833620362e-05
1821,5.489584873430431e-05
1822,5.204229091759771e-05
1823,6.016713450662792e-05
1824,6.294029299169779e-05
1825,6.24616804998368e-05
1826,5.687056545866653e-05
1827,6.453680543927476e-05
1828,5.1635979616548866e-05
1829,6.363663851516321e-05
1830,5.626986239803955e-05
1831,4.943834210280329e-05
1832,3.954200292355381e-05
1833,4.7335670387838036e-05
1834,4.9814017984317616e-05
1835,5.274889917927794e-05
1836,4.791756146005355e-05
1837,5.788398266304284e-05
1838,5.54285834368784e-05
1839,5.2378367399796844e-05
1840,5.053361746831797e-05
1841,5.342374788597226e-05
1842,5.1329872803762555e-05
1843,5.1080543926218525e-05
1844,5.533024886972271e-05
1845,5.313986184773967e-05
1846,5.2127423259662464e-05
1847,5.6693635997362435e-05
1848,5.42217749170959e-05
1849,5.4566080507356673e-05
1850,5.228524241829291e-05
1851,5.348290505935438e-05
1852,5.2847190090687945e-05
1853,5.225084169069305e-05
1854,5.469525422086008e-05
1855,5.865769344381988e-05
1856,5.505782610271126e-05
1857,6.165691593196243e-05
1858,6.02260697633028e-05
1859,5.931865598540753e-05
1860,5.395245170802809e-05
1861,5.807482375530526e-05
1862,5.5087053624447435e-05
1863,5.6063683587126434e-05
1864,5.77345272176899e-05
1865,5.2820309065282345e-05
1866,5.259726458461955e-05
1867,5.2453793614404276e-05
1868,4.931578951072879e-05
1869,5.06889155076351e-05
1870,5.195096673560329e-05
1871,4.9040085286833346e-05
