,law
1800,0.00032453713356517255
1801,0.0003015142574440688
1802,0.00032841128995642066
1803,0.0002769320853985846
1804,0.00031644431874156
1805,0.00031116689206101
1806,0.00033441977575421333
1807,0.000363202445441857
1808,0.00033845819416455925
1809,0.0003902400203514844
1810,0.000373790884623304
1811,0.00045035569928586483
1812,0.000433972425526008
1813,0.00041474582394585013
1814,0.00037632122985087335
1815,0.00033004925353452563
1816,0.0005076085799373686
1817,0.00041384805808775127
1818,0.00040573879959993064
1819,0.00039138877764344215
1820,0.000357036420609802
1821,0.0003531140391714871
1822,0.00039347869460470974
1823,0.00039514023228548467
1824,0.0003770685289055109
1825,0.0003834410454146564
1826,0.0004327787028159946
1827,0.00039070393540896475
1828,0.00040043386979959905
1829,0.00038362230407074094
1830,0.00040379364509135485
1831,0.0003926437930203974
1832,0.0005638947477564216
1833,0.00040544132934883237
1834,0.0004021484055556357
1835,0.00038197264075279236
1836,0.00041573430644348264
1837,0.00040819557034410536
1838,0.0004192526394035667
1839,0.00041782422340475023
1840,0.00040413180249743164
1841,0.0004373233241494745
1842,0.0003989750111941248
1843,0.00044063542736694217
1844,0.0004201650444883853
1845,0.0004015832091681659
1846,0.00042872902122326195
1847,0.000405629602028057
1848,0.00041554143535904586
1849,0.0004298845597077161
1850,0.00042388614383526146
1851,0.0004658651596400887
1852,0.00041838077595457435
1853,0.00044172388152219355
1854,0.00041035073809325695
1855,0.00039928866317495704
1856,0.0004250092606525868
1857,0.0003998366591986269
1858,0.0004231708589941263
1859,0.0004012672579847276
1860,0.0004115804622415453
1861,0.00040767539758235216
1862,0.0003826536703854799
1863,0.0003945532953366637
1864,0.00040048931259661913
1865,0.0003819332632701844
1866,0.0004137051582802087
1867,0.0004210838524159044
1868,0.0004470460116863251
1869,0.00042029222822748125
1870,0.00044170059845782816
1871,0.0004260433779563755
1872,0.0004669147019740194
1873,0.00045905145816504955
1874,0.00045796565245836973
1875,0.0004336923302616924
1876,0.00042571427184157073
1877,0.00045439766836352646
1878,0.00044673975207842886
1879,0.0004411902045831084
1880,0.00042573633254505694
1881,0.00043159944470971823
1882,0.0004461596254259348
1883,0.0004429482505656779
1884,0.00044164655264467
1885,0.0004262977163307369
1886,0.0004868469841312617
1887,0.00046880458830855787
1888,0.0004557308566290885
1889,0.0004358624864835292
1890,0.0004299657593946904
1891,0.0004289112985134125
1892,0.00042773140012286603
1893,0.00043063098564743996
1894,0.0004761313903145492
1895,0.0004675488162320107
1896,0.00044454209273681045
1897,0.000439236406236887
1898,0.0004251154023222625
1899,0.00040353063377551734
1900,0.00040981810889206827
1901,0.00045522424625232816
1902,0.00039652211125940084
1903,0.000430727144703269
1904,0.00040541213820688426
