,list
1800,3.6359080695547163e-05
1801,4.0445207559969276e-05
1802,4.6242435928434134e-05
1803,4.0567832911619917e-05
1804,3.6560311855282634e-05
1805,4.238944165990688e-05
1806,3.885008118231781e-05
1807,3.8322315958794206e-05
1808,3.696015846799128e-05
1809,3.8176989619387314e-05
1810,3.8731450331397355e-05
1811,4.320185325923376e-05
1812,4.595146674546413e-05
1813,4.038014230900444e-05
1814,5.523867002921179e-05
1815,4.421020275913179e-05
1816,5.2705174311995506e-05
1817,4.648190224543214e-05
1818,4.1004350350704044e-05
1819,4.407366941450164e-05
1820,4.716290641226806e-05
1821,4.7772409743629396e-05
1822,4.312379314796999e-05
1823,4.312008968554437e-05
1824,3.8788417441537604e-05
1825,4.0048071241471916e-05
1826,4.405403888085857e-05
1827,4.0728762542130426e-05
1828,4.418382013682276e-05
1829,4.064738459419459e-05
1830,4.133571565034799e-05
1831,4.6111250412650406e-05
1832,5.5548585805809125e-05
1833,4.6026088966755196e-05
1834,5.2380604756763205e-05
1835,4.6740155084989965e-05
1836,4.5582764869323e-05
1837,4.943069870932959e-05
1838,5.3277362894732505e-05
1839,4.6178312913980335e-05
1840,4.774402259499766e-05
1841,4.7193505452014506e-05
1842,4.75195083708968e-05
1843,4.979958612238988e-05
1844,4.654784788726829e-05
1845,4.583215923048556e-05
1846,4.785806231666356e-05
1847,4.85061937069986e-05
1848,4.8169571527978405e-05
1849,5.084844451630488e-05
1850,4.822698247153312e-05
1851,5.136900654179044e-05
1852,5.258386954665184e-05
1853,5.032256740378216e-05
1854,4.981505117029883e-05
1855,5.121593858348206e-05
1856,5.4743657528888434e-05
1857,5.3792307880939916e-05
1858,5.9321253502275795e-05
1859,5.90546042076312e-05
1860,5.8118373999604955e-05
1861,5.918369424762204e-05
1862,5.904246791033074e-05
1863,6.373925862135366e-05
1864,6.264745752559975e-05
1865,6.29434798611328e-05
1866,6.512478285003453e-05
1867,6.449417560361326e-05
1868,6.44827086944133e-05
1869,6.782459968235344e-05
1870,6.702420796500519e-05
1871,6.609998672502115e-05
1872,6.845591269666329e-05
1873,6.833449879195541e-05
1874,7.08433726686053e-05
1875,6.826309981988743e-05
1876,7.165291754063219e-05
1877,7.84064395702444e-05
1878,7.304501923499629e-05
1879,7.430049299728125e-05
1880,7.440554327331483e-05
1881,7.125138654373586e-05
1882,7.774772529955953e-05
1883,7.085143442964181e-05
1884,7.786136848153546e-05
1885,8.295688894577324e-05
1886,8.107112080324441e-05
1887,7.789791561663151e-05
1888,8.242666081059724e-05
1889,8.821176015771925e-05
1890,8.164138125721365e-05
1891,8.540750422980636e-05
1892,8.304909715661779e-05
1893,8.376607001991943e-05
1894,8.722990605747327e-05
1895,8.754355076234788e-05
1896,8.578804408898577e-05
1897,8.89962466317229e-05
1898,8.693114068591967e-05
1899,8.461150719085708e-05
1900,8.50866490509361e-05
1901,8.680640894453973e-05
1902,8.772786532063037e-05
1903,8.679945312906057e-05
1904,8.767079270910472e-05
1905,8.809140854282305e-05
1906,8.890083699952811e-05
1907,9.209735435433686e-05
1908,9.317186777479947e-05
1909,9.391913044964895e-05
1910,9.064009645953774e-05
1911,9.450224024476483e-05
1912,9.221778600476682e-05
1913,0.00010146736894967034
1914,9.992953710025176e-05
1915,9.832059004111215e-05
1916,9.987265366362408e-05
1917,0.00010056511382572353
1918,0.00010277267574565485
1919,9.882494487101212e-05
1920,9.531369141768664e-05
1921,9.777117520570755e-05
1922,9.940234303940088e-05
1923,9.609811968402937e-05
1924,9.638267511036247e-05
1925,9.92097775451839e-05
1926,9.742151451064274e-05
1927,9.834350203163922e-05
1928,9.784013673197478e-05
1929,0.00010958185157505795
1930,0.00010228145401924849
1931,0.00010226585436612368
1932,0.00010205623402725905
1933,0.00010444771032780409
1934,0.00010519305942580104
1935,0.00010075391764985397
1936,0.00010573604959063232
1937,0.00010286091855959967
1938,0.00010297160042682663
1939,0.00010951114381896332
1940,0.00010737338743638247
1941,0.00010720636055339128
1942,0.00011229493247810751
1943,9.953534754458815e-05
1944,9.904951002681628e-05
1945,0.00010087193368235603
1946,9.684343967819586e-05
1947,9.973370470106602e-05
1948,0.00010105536784976721
1949,9.491592209087685e-05
1950,9.351378685096279e-05
1951,9.821708226809278e-05
1952,9.090240928344429e-05
1953,9.410032362211496e-05
1954,9.625776147004217e-05
1955,9.507796494290233e-05
1956,9.278370998799801e-05
1957,8.92176030902192e-05
1958,8.731627167435363e-05
1959,8.970251656137407e-05
1960,8.467699808534235e-05
1961,8.940464613260701e-05
1962,8.351563155883923e-05
1963,8.669101225677878e-05
1964,8.458328375127167e-05
1965,8.664788765599951e-05
1966,8.739694021642208e-05
1967,8.680643804837018e-05
1968,8.551978680770844e-05
1969,8.474429341731593e-05
1970,8.58102721394971e-05
1971,8.698338206158951e-05
1972,8.691829862073064e-05
1973,8.659587183501571e-05
1974,8.829902071738616e-05
1975,8.995546522783116e-05
1976,8.954568329500034e-05
1977,9.098900045501068e-05
1978,8.947921742219478e-05
1979,9.052822133526206e-05
1980,9.168365795630962e-05
1981,8.999708370538428e-05
1982,8.986899047158659e-05
1983,9.154103463515639e-05
1984,9.265824337489903e-05
1985,9.391977800987661e-05
1986,9.848218905972317e-05
1987,9.684927499620244e-05
1988,9.824045991990715e-05
1989,9.757419320521876e-05
1990,0.00010084622772410512
1991,0.00010052079596789554
1992,0.0001047068799380213
1993,0.00010924188245553523
1994,0.00010709262278396636
1995,0.00010811648826347664
1996,0.00010484331141924486
1997,0.00010728976485552266
1998,0.00010654253128450364
1999,0.00010869144171010703
2000,0.00010291369835613295
2001,0.00010558080248301849
2002,0.00010597810614854097
2003,0.00010564209514996037
2004,0.00010587719589238986
2005,0.00010201801342191175
2006,0.00010091708099935204
2007,0.0001024223820422776
2008,0.00010081131767947227
2009,0.00010427129018353298
2010,0.00010988593567162752
2011,0.00010390101670054719
2012,9.218144987244159e-05
2013,9.12073883228004e-05
2014,8.913489728001878e-05
2015,8.825335680739954e-05
2016,8.762162178754807e-05
2017,7.720603753114119e-05
2018,7.279769488377497e-05
2019,7.482904038624838e-05
