,me
1800,0.0012311926111578941
1801,0.001312134088948369
1802,0.0009687908459454775
1803,0.0010332866804674268
1804,0.0012962789041921496
1805,0.0011593142990022898
1806,0.0012121559120714664
1807,0.001055319095030427
1808,0.0014783517690375447
1809,0.001153859426267445
1810,0.0011778617044910789
1811,0.0013586079003289342
1812,0.0011283064959570765
1813,0.0010190978646278381
1814,0.0010497201001271605
1815,0.0009852017974480987
1816,0.0011032945476472378
1817,0.0010170728201046586
1818,0.0009434340172447264
1819,0.0008931254269555211
1820,0.0012858533300459385
1821,0.001244639279320836
1822,0.0011126294266432524
1823,0.0011238709557801485
1824,0.0012870323844254017
1825,0.0011464714771136642
1826,0.0010493071749806404
1827,0.0010881494963541627
1828,0.0010219526011496782
1829,0.0009369345498271286
1830,0.0010546185076236725
1831,0.0010316583793610334
1832,0.0008372256415896118
1833,0.001073561143130064
1834,0.0010291264625266194
1835,0.0010395045392215252
1836,0.0010529779829084873
1837,0.001091698301024735
1838,0.001059951027855277
1839,0.0010862152557820082
1840,0.0010923576774075627
1841,0.0009817543905228376
1842,0.0010305754840373993
1843,0.001049343729391694
1844,0.0010596299543976784
1845,0.0009489250369369984
1846,0.0010067663388326764
1847,0.0009925133781507611
1848,0.001004713703878224
1849,0.0009167772368527949
1850,0.0010392203694209456
1851,0.0009513564291410148
1852,0.0010198280215263367
1853,0.0011043986305594444
1854,0.0010200218530371785
1855,0.0009488221257925034
1856,0.001000937889330089
1857,0.0010490986751392484
1858,0.0009614109294489026
1859,0.0009710079757496715
1860,0.0010145072592422366
1861,0.0009240625659003854
1862,0.0010013577993959188
1863,0.0009211489814333618
1864,0.0010195800568908453
1865,0.0009962276089936495
1866,0.0009903499158099294
1867,0.0009687468409538269
1868,0.0009965946665033698
1869,0.0010038971668109298
1870,0.0009442782029509544
1871,0.0009672923479229212
1872,0.0010090750874951482
1873,0.0009420243441127241
1874,0.0009225413086824119
1875,0.0009459051070734859
1876,0.0009038688149303198
1877,0.000864190049469471
1878,0.0008010173914954066
1879,0.0008303661015816033
1880,0.0008454261114820838
1881,0.0008436631760559976
1882,0.0008706185035407543
1883,0.0008893636404536664
1884,0.000826727133244276
1885,0.0008151045185513794
1886,0.0007792651886120439
1887,0.0008264685166068375
1888,0.0008027348085306585
1889,0.0008408611174672842
1890,0.0008022806723602116
1891,0.0007967211422510445
1892,0.0008199755102396011
1893,0.0008390009752474725
1894,0.0008128232439048588
1895,0.0008023798582144082
1896,0.0008148729102686048
1897,0.0007606674334965646
1898,0.0007681911229155958
1899,0.0009396130917593837
1900,0.0008603752939961851
1901,0.0007951801526360214
1902,0.0007627426530234516
1903,0.0007393917767331004
1904,0.0007711091311648488
1905,0.0006583460490219295
1906,0.0006651528528891504
1907,0.000623173313215375
1908,0.0006220151553861797
1909,0.0006421037833206356
1910,0.000617790559772402
1911,0.0005829678848385811
1912,0.0006019442225806415
1913,0.0005696814623661339
1914,0.0005467651062645018
1915,0.0004954179166816175
1916,0.0005065572913736105
1917,0.0005058954702690244
1918,0.000484300049720332
1919,0.0004969922010786831
1920,0.0005172528326511383
1921,0.0004897305043414235
1922,0.0005255547002889216
1923,0.0005691497935913503
1924,0.0006018371786922216
1925,0.0005884785787202418
1926,0.000572248303797096
1927,0.0005924697034060955
1928,0.0005485990550369024
1929,0.0005644782795570791
1930,0.0005522526917047799
1931,0.0005349298589862883
1932,0.0005185736226849258
1933,0.0004946219851262867
1934,0.0005300195189192891
1935,0.00050907745026052
1936,0.0005091593484394252
1937,0.0004707428452093154
1938,0.0004800893075298518
1939,0.0004598886298481375
1940,0.0004402774793561548
1941,0.0004130001470912248
1942,0.0004412299022078514
1943,0.0004336198326200247
1944,0.00044652289943769574
1945,0.00044400221668183804
1946,0.0004960251972079277
1947,0.00045171467354521155
1948,0.00045887092710472643
1949,0.0004173804773017764
1950,0.00045422976836562157
1951,0.0004710251232609153
1952,0.0004977327771484852
1953,0.0004577580839395523
1954,0.0004387618973851204
1955,0.000451515952590853
1956,0.00045574235264211893
1957,0.0004427703097462654
1958,0.00044058822095394135
1959,0.0004129657172597945
1960,0.0004103530663996935
1961,0.0004220015835016966
1962,0.00041669263737276196
1963,0.000407701067160815
1964,0.00040883186738938093
