,member
1800,4.780810559168458e-05
1801,5.2864339522784576e-05
1802,6.017908890498802e-05
1803,4.419870674610138e-05
1804,4.919780258205719e-05
1805,5.320788113749586e-05
1806,6.013261008774862e-05
1807,5.402923488873057e-05
1808,5.7658791774883866e-05
1809,5.811973460367881e-05
1810,5.463937850436196e-05
1811,5.5513937695650384e-05
1812,0.00010506032413104549
1813,7.353368710028008e-05
1814,7.65315126045607e-05
1815,6.838228000560775e-05
1816,7.885476225055754e-05
1817,6.87852589180693e-05
1818,7.536234625149518e-05
1819,7.15817732270807e-05
1820,6.675803888356313e-05
1821,6.647457485087216e-05
1822,6.709127774229273e-05
1823,7.48524398659356e-05
1824,6.225188553798944e-05
1825,8.30149874673225e-05
1826,8.741096098674461e-05
1827,7.06167338648811e-05
1828,8.361786603927612e-05
1829,9.499873704044148e-05
1830,7.861106132622808e-05
1831,0.00010918232874246314
1832,0.000105945291579701
1833,0.00010299247514922172
1834,9.587342356098816e-05
1835,7.246730092447251e-05
1836,8.397985948249698e-05
1837,7.386028300970793e-05
1838,6.998393655521795e-05
1839,6.32689188933e-05
1840,6.381536513799801e-05
1841,6.956969446036965e-05
1842,6.465634214691818e-05
1843,6.71906309435144e-05
1844,6.605095404665917e-05
1845,6.0946924349991605e-05
1846,6.624647357966751e-05
1847,6.303733971435577e-05
1848,6.960245809750631e-05
1849,7.105962868081406e-05
1850,7.226007437566295e-05
1851,7.515973265981302e-05
1852,7.809843373252079e-05
1853,8.62483648234047e-05
1854,7.117601489881054e-05
1855,7.075576286297292e-05
1856,7.468355033779517e-05
1857,8.215077104978263e-05
1858,7.9620789620094e-05
1859,7.732900121482089e-05
1860,7.531071605626494e-05
1861,7.397396984742954e-05
1862,7.47519516153261e-05
1863,7.722243753960356e-05
1864,7.762981113046408e-05
1865,8.274363790405914e-05
1866,8.230755338445306e-05
1867,9.165172377834097e-05
1868,9.780405525816604e-05
1869,9.268333087675273e-05
1870,9.777747618500143e-05
1871,8.986453030956909e-05
1872,0.00011003688996424899
1873,9.050804510479793e-05
1874,9.181178029393777e-05
1875,9.447919728700072e-05
1876,0.0001029304476105608
1877,0.00010724727326305583
1878,0.00010613397898850963
1879,0.0001083671668311581
1880,0.00010490213026059791
1881,0.00011135022214148194
1882,0.00010437278979225084
1883,0.00010289897909387946
1884,0.0001043864103849046
1885,0.0001147963193943724
1886,0.00012068937212461606
1887,0.00011518364772200584
1888,0.00012132850679336116
1889,0.00011275522410869598
1890,0.0001205757653224282
1891,0.0001306645426666364
1892,0.00012126603542128578
1893,0.00012243192759342492
1894,0.00012404969311319292
1895,0.00012112308468203992
1896,0.0001228288747370243
1897,0.00013398095325101167
1898,0.0001275925023946911
1899,0.00012879056157544255
1900,0.0001331142266280949
1901,0.00013297777331899852
