,members
1800,8.690542745171115e-05
1801,8.441443787887692e-05
1802,0.0001086419724742882
1803,7.277312397491187e-05
1804,8.870945748640224e-05
1805,0.00010069961717817932
1806,9.100972965825349e-05
1807,9.992418927140534e-05
1808,0.00010042845678981394
1809,8.963285654317588e-05
1810,9.259022772312164e-05
1811,9.609455446479842e-05
1812,0.0001208418543683365
1813,0.0001085560506908223
1814,0.00010536003537708893
1815,0.00010060502972919494
1816,0.0001144170091720298
1817,0.00011539441766217351
1818,0.00012344433343969285
1819,0.00010705050226533785
1820,0.00010396805009804666
1821,0.00010678516991902143
1822,0.00010222029231954366
1823,0.000107771331386175
1824,9.811478957999498e-05
1825,0.0001171240583062172
1826,0.00012558522576000541
1827,0.00011853419709950686
1828,0.00013951791333965957
1829,0.00013154845510143787
1830,0.00012863993470091373
1831,0.00014008302241563797
1832,0.00015256257029250264
1833,0.00012798189709428698
1834,0.000130916727357544
1835,0.00014170104986988008
1836,0.00014685939822811633
1837,0.00013822827895637602
1838,0.0001331071980530396
1839,0.0001281304139411077
1840,0.0001338105503236875
1841,0.0001450816635042429
1842,0.0001298786955885589
1843,0.00013517809566110373
1844,0.00014159556303638965
1845,0.00013297460100147873
1846,0.00012987192894797772
1847,0.00013122304517310113
1848,0.00013940720236860216
1849,0.00014601813745684922
1850,0.00013824057532474399
1851,0.00014337676111608744
1852,0.00014261688920669258
1853,0.00014099037798587233
1854,0.00013688227045349777
1855,0.00013492416474036872
1856,0.00014058694068808109
1857,0.00014008412836119533
1858,0.00014193433162290603
1859,0.000140663018100895
1860,0.00013704883167520165
1861,0.00014278908201958984
1862,0.00013382981705944985
1863,0.00014424207620322704
1864,0.00014263507910072803
1865,0.00015350054309237748
1866,0.000150040490552783
1867,0.00016851727559696883
1868,0.0001647389872232452
1869,0.0001618599781068042
1870,0.00016381920431740582
1871,0.0001648291654419154
1872,0.00017201861192006618
1873,0.00016914081061258912
1874,0.00016970427532214671
1875,0.00016773394600022584
1876,0.0001724340982036665
1877,0.00018150040705222636
1878,0.00016712149954400957
1879,0.00017266695795115083
1880,0.0001661287242313847
1881,0.00017913022020366043
1882,0.00016505086387041956
1883,0.00016940802743192762
1884,0.00017380538338329643
1885,0.0001820941542973742
1886,0.0001861908531282097
1887,0.00018274896137882024
1888,0.00018300206284038723
1889,0.0001884060475276783
1890,0.00019379622244741768
1891,0.00019590456213336438
1892,0.00019304196757730097
1893,0.00020076036162208766
1894,0.00020046776626259089
1895,0.0001995208440348506
1896,0.00020202421001158655
1897,0.00021124880004208535
1898,0.00019946563406847417
1899,0.00019851834804285318
1900,0.00020301628683228046
1901,0.00021806909353472292
1902,0.00021539197769016027
1903,0.00022887512750457972
1904,0.00021842418937012553
1905,0.00022777797130402178
1906,0.00022103470109868795
1907,0.00023394011077471077
1908,0.00024165501235984266
1909,0.0002465010911691934
1910,0.0002500817063264549
1911,0.000252597063081339
1912,0.00025803453172557056
1913,0.00027624182985164225
1914,0.000268542324192822
1915,0.0002740616037044674
1916,0.0002785075339488685
1917,0.00027740822406485677
1918,0.0002773882879409939
1919,0.0002864411217160523
1920,0.0002750155981630087
1921,0.00027682865038514137
1922,0.00026632618391886353
1923,0.00026847803383134305
