,money
1800,0.0002105270978063345
1801,0.0002313660370418802
1802,0.00019124418031424284
1803,0.00017235420818906277
1804,0.00018353939231019467
1805,0.0002227018412668258
1806,0.00023522332776337862
1807,0.00018353282939642668
1808,0.00018468263442628086
1809,0.0002134031237801537
1810,0.00019860304018948227
1811,0.0002687619416974485
1812,0.00026512108161114156
1813,0.0001996062637772411
1814,0.00021507609926629812
1815,0.00019446272926870733
1816,0.00025298891705460846
1817,0.00022320615244098008
1818,0.00021585656213574111
1819,0.00023207765480037779
1820,0.0002049962931778282
1821,0.00024014036171138287
1822,0.00021216813183855265
1823,0.0002245862124254927
1824,0.00020692285033874214
1825,0.0002310401905560866
1826,0.00024222888168878853
1827,0.00021567879593931139
1828,0.0002280459739267826
1829,0.00020481212413869798
1830,0.00021456288232002407
1831,0.0002121151628671214
1832,0.00022340938448905945
1833,0.00021703932725358754
1834,0.0002565110335126519
1835,0.00021853081125300378
1836,0.00024623190984129906
1837,0.0002643077459651977
1838,0.0002365089749218896
1839,0.0002198250003857538
1840,0.0002405567211098969
1841,0.00022746766626369208
1842,0.00020814796152990311
1843,0.00022757195984013379
1844,0.00021452148212119937
1845,0.0002050712500931695
1846,0.00023433701426256448
1847,0.0002322856744285673
1848,0.00022874391288496554
1849,0.00023121919366531074
1850,0.00021780138195026666
1851,0.000221917885937728
1852,0.00022448798699770123
1853,0.00024256890174001455
1854,0.00022018435993231833
1855,0.0002238546294393018
1856,0.00022372533567249775
1857,0.00023268121003638953
1858,0.00024419312831014395
1859,0.00022815080592408776
1860,0.00023565049923490733
1861,0.00023467348364647478
1862,0.00022371418890543282
1863,0.0002373395545873791
1864,0.00023730297107249498
1865,0.00024067841877695173
1866,0.00023876068007666618
1867,0.00024109287187457085
1868,0.00024907884653657675
1869,0.00025582071975804865
1870,0.0002583400928415358
1871,0.0002520575071685016
1872,0.00026458175852894783
1873,0.0002586193731985986
1874,0.0002595954283606261
1875,0.0002531887439545244
1876,0.00027246546233072877
1877,0.0002688371459953487
1878,0.0002743820659816265
1879,0.00027274989406578243
1880,0.00025945372181013227
1881,0.0002604516048450023
1882,0.0002612598182167858
1883,0.000248626311076805
1884,0.00025448022643104196
1885,0.0002474956272635609
1886,0.00027881519054062665
1887,0.0002721966593526304
1888,0.00027055188547819853
1889,0.0002672740665730089
1890,0.0002513799408916384
1891,0.0002593591052573174
1892,0.00025895031285472214
1893,0.00027320353547111154
1894,0.0002704412618186325
1895,0.0002745462115854025
1896,0.00028243448468856514
1897,0.00026143164723180234
1898,0.00025977438781410456
1899,0.0002581491426099092
1900,0.00025381913292221725
1901,0.00026040634838864207
1902,0.00024023177684284747
1903,0.0002545996103435755
1904,0.0002483164716977626
1905,0.00025514542357996106
1906,0.00025598760112188756
1907,0.000251976860454306
1908,0.0002557925181463361
1909,0.00025797486887313426
1910,0.0002502878487575799
1911,0.00025212421314790845
1912,0.00025493689463473856
1913,0.0002662846236489713
1914,0.0002620352024678141
