,movies
1800,3.968465556170031e-09
1801,4.050596746907331e-09
1802,4.2053871496250395e-09
1803,1.7289885079208034e-08
1804,6.500766591699403e-09
1805,1.5194437708032638e-08
1806,2.4569997147949607e-09
1807,1.4948799531566692e-08
1808,1.8177425786802814e-08
1809,0.0
1810,2.6361874461144907e-08
1811,1.3180338598317576e-08
1812,2.026357925899447e-08
1813,7.627817488753408e-09
1814,1.312550068632845e-08
1815,3.3419156331149225e-09
1816,9.5049905723954e-09
1817,2.3403311288916484e-08
1818,1.2167864937850936e-08
1819,1.4643299017791378e-08
1820,8.396030537483057e-09
1821,1.2532440862855765e-08
1822,2.1041641762309382e-09
1823,1.0317785736901897e-08
1824,3.599519127206463e-09
1825,7.860441186835487e-09
1826,8.849154298218309e-09
1827,1.8776802335196408e-09
1828,8.863176303997022e-10
1829,4.147438392720915e-09
1830,5.123959923025723e-09
1831,4.633831096612084e-09
1832,3.064661200369301e-07
1833,4.002790987556182e-09
1834,1.8857615913248083e-08
1835,4.112718698934259e-08
1836,1.1546956724117763e-09
1837,8.72132055462771e-09
1838,1.2902643398149394e-08
1839,7.881423513822483e-09
1840,5.4208988409243375e-09
1841,3.205681498030799e-09
1842,8.487520908317947e-09
1843,5.291017401987119e-09
1844,4.898432770517047e-09
1845,1.4048366914209964e-08
1846,7.3443473525003355e-09
1847,6.544719877155103e-09
1848,4.204542047858695e-09
1849,2.739261040218821e-09
1850,8.484764890681618e-09
1851,2.296882239960496e-09
1852,4.514121076937272e-09
1853,2.492170203538535e-08
1854,6.500003202347671e-09
1855,1.2387585179851612e-08
1856,2.0268924316724224e-09
1857,1.0605390343698673e-08
1858,6.247708128626073e-09
1859,1.3567773571310227e-08
1860,3.7063354607624888e-09
1861,3.6290213056844323e-09
1862,6.39758557241521e-09
1863,5.9775304706022325e-09
1864,6.721915024598957e-09
1865,7.020502401644535e-09
1866,1.0693285368290617e-08
1867,7.911980404173846e-09
1868,1.8575151417010716e-09
1869,7.741933316651739e-09
1870,9.377103538099618e-09
1871,4.077864712570545e-09
1872,4.710720258316314e-09
1873,1.005227723283042e-08
1874,9.657102673088502e-09
1875,9.173183102006988e-09
1876,4.095919159396999e-09
1877,9.458290151087567e-09
1878,4.7736885555593744e-09
1879,1.0464631827744597e-08
1880,3.6699256966699068e-09
1881,4.5719552588252554e-09
1882,6.843107414056249e-09
1883,2.3941504778690614e-08
1884,8.617407232236474e-09
1885,9.301548864470988e-09
1886,3.260446845843035e-08
1887,2.990068859176631e-09
1888,4.469584702349039e-09
1889,8.111053162451753e-09
1890,2.2438783275902097e-08
1891,7.371776078457515e-09
1892,1.2640541946495887e-08
1893,1.044711961384337e-08
1894,1.702735907826991e-08
1895,8.966161146872764e-09
1896,6.457268497683799e-09
1897,2.010351440873137e-09
1898,1.1263082910772937e-08
1899,7.325800854829367e-09
1900,8.595464606742098e-08
1901,5.9345572900326715e-09
1902,5.9923754847091004e-09
1903,5.312757789255329e-09
1904,1.1875724403864751e-08
1905,1.8079205688081856e-08
1906,1.3835177448129343e-08
1907,6.658570583795154e-09
1908,9.498795527917991e-09
1909,1.6942365732575126e-08
1910,2.3484229672021684e-08
1911,2.2096370955182465e-08
1912,1.0871838185266824e-07
1913,3.658069545053877e-07
1914,6.608486842196726e-07
1915,1.0424859056001878e-06
1916,1.3343390037334757e-06
1917,1.252545416718931e-06
1918,1.5172548728514812e-06
1919,1.6872836567927152e-06
1920,2.054624928859994e-06
1921,2.3301163309952244e-06
1922,2.2130423076305306e-06
1923,2.1766400095657445e-06
1924,2.01346574613126e-06
1925,2.3996244635782205e-06
1926,2.4717217002034886e-06
1927,2.7225610210734885e-06
1928,2.905415612985962e-06
1929,3.4495849376980914e-06
1930,3.1031520393298706e-06
1931,2.844456957973307e-06
1932,2.6920017717202427e-06
1933,3.827653927146457e-06
1934,3.3518178952363087e-06
1935,3.397108912395197e-06
1936,3.820727670245105e-06
1937,4.135077688260935e-06
1938,4.131731657253113e-06
1939,4.398912551550893e-06
1940,5.060091552877566e-06
1941,4.9870081966219004e-06
1942,4.773105956701329e-06
1943,4.609694315149682e-06
1944,5.437253093987238e-06
1945,5.48647039977368e-06
1946,5.141632755112369e-06
1947,5.308118943503359e-06
1948,5.175292244530283e-06
1949,4.627677299140487e-06
1950,4.809221991308732e-06
1951,4.753885605168762e-06
1952,4.666490895033348e-06
1953,4.881852873950265e-06
1954,4.6309673962241504e-06
1955,4.6131672206684016e-06
1956,4.486446869123029e-06
1957,4.1943271753552835e-06
1958,4.08375535698724e-06
