,much
1800,0.0009475108236074448
1801,0.001006634091027081
1802,0.0009045156766660511
1803,0.0008718971512280405
1804,0.0009488161304034293
1805,0.0009324522688984871
1806,0.0009452765807509422
1807,0.0009402773575857282
1808,0.0009721923270262778
1809,0.0009799744002521038
1810,0.0009202022338286042
1811,0.0009124649805016816
1812,0.0009153388091363013
1813,0.0008934966172091663
1814,0.0009303354891017079
1815,0.0009108224185183644
1816,0.0008686271612532437
1817,0.000903079635463655
1818,0.0008786158286966383
1819,0.0008613028912805021
1820,0.0009078664006665349
1821,0.0008708717650733888
1822,0.0008782233926467597
1823,0.0008926421869546175
1824,0.0009363564313389361
1825,0.0008859284571371973
1826,0.0008716830052435398
1827,0.0008772165165282786
1828,0.0008554853266105056
1829,0.0008628754294477403
1830,0.0009197683539241552
1831,0.0008617551065981388
1832,0.0007048764964565635
1833,0.0008973349467851222
1834,0.0008665334898978472
1835,0.0008770605199970305
1836,0.0008628913783468306
1837,0.0008624345064163208
1838,0.0008749089320190251
1839,0.00086840835865587
1840,0.0008493789355270565
1841,0.0008363510714843869
1842,0.0008543793228454888
1843,0.0008520353003405035
1844,0.0008550292695872486
1845,0.0008339991909451783
1846,0.0008181579760275781
1847,0.000832613673992455
1848,0.0008419226505793631
1849,0.0008242801413871348
1850,0.0008091861382126808
1851,0.0008057918748818338
1852,0.0008248942904174328
1853,0.0008207131759263575
1854,0.000807392701972276
1855,0.0008067269809544086
1856,0.0007979401852935553
1857,0.0008021836401894689
1858,0.0007947577396407723
1859,0.0007907747058197856
1860,0.0007931379368528724
1861,0.0007941423682495952
1862,0.0008014417835511267
1863,0.0007757976418361068
1864,0.0007774890982545912
1865,0.0007909180712886155
1866,0.000768491649068892
1867,0.0007748944335617125
1868,0.0007677589892409742
1869,0.0007942112279124558
1870,0.0007697824621573091
1871,0.000771483639255166
1872,0.0007492636214010417
1873,0.0007634198991581798
1874,0.0007694986998103559
1875,0.0007612219778820872
1876,0.0007587993168272078
1877,0.0007358127040788531
1878,0.0007453977013938129
1879,0.0007356998394243419
1880,0.00073966447962448
1881,0.0007248769397847354
1882,0.0007425436633639038
1883,0.0007355028646998107
1884,0.000717850576620549
1885,0.0007255775271914899
1886,0.0007036428432911634
1887,0.0006990411784499884
1888,0.0007051980937831104
1889,0.0007060563657432795
1890,0.0007051447173580527
1891,0.0006973726558499038
1892,0.0007025292725302279
1893,0.0007013534195721149
1894,0.0007024371880106628
1895,0.0006738969823345542
1896,0.0006860776920802891
1897,0.0006689139408990741
1898,0.0006682622479274869
1899,0.0006849642959423363
1900,0.000683210208080709
1901,0.0006541399634443223
1902,0.0006679891957901418
1903,0.0006594034493900836
1904,0.0006576826563104987
1905,0.0006415921961888671
1906,0.0006312907789833844
1907,0.0006265529664233327
1908,0.00062928645638749
1909,0.0006296031642705202
1910,0.0006216998444870114
1911,0.0006105899810791016
1912,0.0006031596567481756
1913,0.0005934750661253929
1914,0.0005836530472151935
1915,0.0005651300889439881
1916,0.0005692760460078716
1917,0.0005583377205766737
1918,0.0005621050368063152
1919,0.0005741365603171289
1920,0.0005868098232895136
1921,0.0005714564467780292
1922,0.0005753574660047889
1923,0.0005655302666127682
1924,0.0005824188119731843
1925,0.0005618835566565394
1926,0.0005758460029028356
1927,0.0005630873492918909
1928,0.000565709313377738
1929,0.0005528607289306819
1930,0.0005542574217543006
1931,0.000530523422639817
1932,0.0005462800618261099
1933,0.0005209377850405872
1934,0.000536834413651377
1935,0.0005209898226894438
1936,0.000513065024279058
1937,0.000516148516908288
1938,0.0005104959127493203
1939,0.0004946780391037464
1940,0.0004865319933742285
1941,0.0004745502374134958
1942,0.000499175803270191
1943,0.0004932362353429198
1944,0.0005037768860347569
1945,0.0004959625075571239
1946,0.0005012117326259613
1947,0.000503380608279258
1948,0.000503387360367924
1949,0.0004856772138737142
1950,0.0004977620556019247
1951,0.0004950499860569835
1952,0.0004983312101103365
1953,0.00048626193893142045
1954,0.00048126911860890687
1955,0.00048394009354524314
1956,0.0004902271903119981
1957,0.0004776141722686589
1958,0.0004843403003178537
1959,0.0004717547562904656
1960,0.00046755815856158733
1961,0.00046921553439460695
1962,0.0004724656173493713
1963,0.0004712326917797327
1964,0.0004646301968023181
1965,0.00047193621867336333
1966,0.00047544052358716726
1967,0.00047639591502957046
1968,0.0004902913933619857
1969,0.0004896934260614216
1970,0.00047103859833441675
1971,0.00045434030471369624
1972,0.00044768222142010927
1973,0.0004294090031180531
1974,0.00043316074879840016
1975,0.0004190068575553596
1976,0.00041242866427637637
1977,0.0004085839609615505
1978,0.00039873833884485066
1979,0.0003979002358391881
1980,0.00040297990199178457
1981,0.00038910494185984135
1982,0.00039064811426214874
1983,0.0003931957471650094
1984,0.0003967167576774955
1985,0.0003838813572656363
1986,0.0003937101864721626
1987,0.0003877660783473402
1988,0.0003898938884958625
1989,0.00038505264092236757
1990,0.00038818345637992024
1991,0.0003865196486003697
1992,0.00038830924313515425
1993,0.0003807115135714412
1994,0.0003866414481308311
1995,0.0003798247780650854
1996,0.00039458469836972654
1997,0.0003990380500908941
1998,0.0004060801584273577
1999,0.00041252278606407344
2000,0.000431770458817482
2001,0.00042907934403046966
2002,0.00044279874418862164
2003,0.00044684819295071065
2004,0.0004614735662471503
2005,0.00046162770013324916
2006,0.00047909634304232895
2007,0.0004894296871498227
2008,0.0005146776675246656
2009,0.0005446404684334993
2010,0.0005550641217269003
2011,0.0005650903331115842
2012,0.0005392720340751112
2013,0.0005562033620662987
2014,0.0005924178985878825
2015,0.000582006701733917
2016,0.0005624383338727057
2017,0.0005831486778333783
2018,0.0005803621606901288
2019,0.0005827559507451952
