,must
1800,0.0008200714946724474
1801,0.0009090673411265016
1802,0.0008552285726182163
1803,0.0007964700344018638
1804,0.0009029662469401956
1805,0.000848970958031714
1806,0.000878888473380357
1807,0.0008577536209486425
1808,0.0009104490745812654
1809,0.0009203995577991009
1810,0.0008534085936844349
1811,0.0009789366740733385
1812,0.0009415117674507201
1813,0.0008771715802140534
1814,0.0008879696251824498
1815,0.0008775318856351078
1816,0.0008651469834148884
1817,0.0009087066864594817
1818,0.0008568759076297283
1819,0.0008276845328509808
1820,0.0008664164342917502
1821,0.0008603670867159963
1822,0.0008778920164331794
1823,0.0008741681813262403
1824,0.0009058243595063686
1825,0.0008868647273629904
1826,0.0008704775827936828
1827,0.0008594236569479108
1828,0.0008714815485291183
1829,0.000843990477733314
1830,0.000922393286600709
1831,0.000873876444529742
1832,0.0007905345410108566
1833,0.0009058408904820681
1834,0.0008607077761553228
1835,0.0008584001334384084
1836,0.0008629843359813094
1837,0.0008672649273648858
1838,0.0008680628961883485
1839,0.0008511270279996097
1840,0.0008212721440941095
1841,0.0008244168129749596
1842,0.0008386901463381946
1843,0.0008362241787835956
1844,0.0008626830531284213
1845,0.0008397836936637759
1846,0.0008561860886402428
1847,0.0008480760152451694
1848,0.0008509409381076694
1849,0.0008269979734905064
1850,0.0008218861185014248
1851,0.0008273921557702124
1852,0.0008173173409886658
1853,0.0008417839999310672
1854,0.0008128462359309196
1855,0.0008063393761403859
1856,0.0007900978089310229
1857,0.0007868033135309815
1858,0.0007820443715900183
1859,0.0007875504670664668
1860,0.0008004886331036687
1861,0.0007982560782693326
1862,0.0008009662269614637
1863,0.0007822157931514084
1864,0.0007909626001492143
1865,0.0007780097075738013
1866,0.0007766192429699004
1867,0.0007707996410317719
1868,0.000774285988882184
1869,0.0007761635351926088
1870,0.0007836593431420624
1871,0.0008038731757551432
1872,0.000774903513956815
1873,0.0007802170002833009
1874,0.000782264512963593
1875,0.0007771073724143207
1876,0.0007734473911114037
1877,0.0007683046860620379
1878,0.000768500380218029
1879,0.0007682901923544705
1880,0.0007659127586521208
1881,0.0007616328657604754
1882,0.0007640378316864371
1883,0.0007895998423919082
1884,0.0007708573830313981
1885,0.0007459622574970126
1886,0.0007761925226077437
1887,0.000758713111281395
1888,0.000743164389859885
1889,0.0007277493714354932
1890,0.0007544655818492174
1891,0.0007324545294977725
1892,0.0007578146178275347
1893,0.0007513398886658251
1894,0.0007500419160351157
1895,0.0007302466547116637
1896,0.0007475113379769027
1897,0.0007217042148113251
1898,0.0007314992835745215
1899,0.0007463271031156182
1900,0.0007419290486723185
1901,0.0007359068258665502
1902,0.0007322371238842607
1903,0.0007302802987396717
1904,0.0007224446744658053
1905,0.0007225907174870372
1906,0.0007281467551365495
1907,0.0007244004518724978
1908,0.0007260892889462411
1909,0.0007260915590450168
1910,0.0007298642885871232
