,n
1800,8.231787796830758e-05
1801,9.35606803977862e-05
1802,9.978122398024425e-05
1803,8.389916183659807e-05
1804,8.232895925175399e-05
1805,8.143914601532742e-05
1806,8.975419768830761e-05
1807,0.00010948500857921317
1808,8.288360550068319e-05
1809,9.175942977890372e-05
1810,0.00010504767851671204
1811,0.00010025789379142225
1812,0.00010981719970004633
1813,0.00010280773130943999
1814,9.431328362552449e-05
1815,9.868008783087134e-05
1816,0.00010031567217083648
1817,7.921289216028526e-05
1818,0.00011313680442981422
1819,9.696526831248775e-05
1820,7.417053711833432e-05
1821,7.957473280839622e-05
1822,7.724492024863139e-05
1823,7.710068166488782e-05
1824,7.51651605241932e-05
1825,7.822011684766039e-05
1826,9.153466817224398e-05
1827,9.740841778693721e-05
1828,9.22895924304612e-05
1829,8.210103260353208e-05
1830,6.689329165965319e-05
1831,6.827563629485667e-05
1832,8.936267113313079e-05
1833,7.52744817873463e-05
1834,6.619738269364461e-05
1835,6.426808977266774e-05
1836,0.00010819729504873976
1837,7.053687295410782e-05
1838,7.130235462682322e-05
1839,6.709666195092723e-05
1840,7.315231778193265e-05
1841,8.094452641671523e-05
1842,7.38493909011595e-05
1843,8.110654016491026e-05
1844,6.821508577559143e-05
1845,8.95195989869535e-05
1846,7.804884080542251e-05
1847,6.795523222535849e-05
1848,7.067601836752146e-05
1849,6.584041693713516e-05
1850,6.793963257223368e-05
1851,6.98263684171252e-05
1852,7.226355228340253e-05
1853,8.275866275653243e-05
1854,7.420728798024356e-05
1855,7.713005470577627e-05
1856,8.376369078177959e-05
1857,8.117259858408943e-05
1858,6.992655107751489e-05
1859,8.60200307215564e-05
1860,7.985805132193491e-05
1861,7.130381709430367e-05
1862,7.194341014837846e-05
1863,9.029742795974016e-05
1864,7.168448064476252e-05
1865,7.461155473720282e-05
1866,8.31229190225713e-05
1867,7.474447920685634e-05
1868,7.982052193256095e-05
1869,7.624194404343143e-05
1870,8.781203359831125e-05
1871,9.225885878549889e-05
1872,7.073645247146487e-05
1873,9.410853817826137e-05
1874,7.444404764100909e-05
1875,7.877499592723325e-05
1876,7.626355363754556e-05
1877,7.38330782041885e-05
1878,7.303406891878694e-05
1879,7.726198964519426e-05
1880,8.177181734936312e-05
1881,8.238104783231393e-05
1882,9.05294218682684e-05
1883,8.580175199313089e-05
1884,7.880773773649707e-05
1885,7.71357081248425e-05
1886,7.475462189177051e-05
1887,7.449521945090964e-05
1888,7.48212551116012e-05
1889,7.504288078052923e-05
1890,8.097382669802755e-05
1891,7.799017475917935e-05
1892,7.5972406193614e-05
1893,7.52656560507603e-05
1894,7.440938497893512e-05
1895,7.831186667317525e-05
1896,7.628649473190308e-05
1897,0.00010143336112378165
1898,7.582633406855166e-05
1899,6.877529813209549e-05
1900,7.084899698384106e-05
1901,7.251284114317968e-05
1902,8.098542457446456e-05
1903,7.475720485672355e-05
1904,7.979382644407451e-05
1905,7.701716822339222e-05
1906,8.465946302749217e-05
1907,7.953984459163621e-05
1908,7.541061495430768e-05
1909,7.312281377380714e-05
1910,7.780632586218417e-05
1911,8.516191155649722e-05
1912,7.995711348485202e-05
1913,8.00070192781277e-05
1914,8.330929995281622e-05
1915,7.29670500732027e-05
1916,7.505256508011371e-05
1917,7.92681603343226e-05
1918,7.50511753722094e-05
1919,7.795789861120284e-05
1920,7.81830822234042e-05
1921,7.967391866259277e-05
1922,7.710982754360884e-05
1923,7.732480298727751e-05
1924,8.044299465836957e-05
1925,7.781704334774986e-05
1926,8.241844625445083e-05
1927,8.723153587197885e-05
1928,8.108351175906137e-05
1929,8.536736277164891e-05
1930,9.083563782041892e-05
1931,7.708709745202214e-05
1932,7.99715198809281e-05
1933,7.485338574042544e-05
1934,8.617512503406033e-05
1935,8.766414248384535e-05
1936,8.960109698818997e-05
1937,9.16580538614653e-05
1938,9.23421248444356e-05
1939,8.71466618264094e-05
1940,8.995777898235247e-05
1941,9.160063927993178e-05
1942,9.147194941760972e-05
1943,0.00010208674211753532
1944,8.802867523627356e-05
1945,9.10108647076413e-05
1946,9.334575588582084e-05
1947,9.438667620997876e-05
1948,9.674485772848129e-05
1949,9.128895908361301e-05
1950,0.00010496759932721034
1951,9.8049858934246e-05
1952,0.00010239614493912086
1953,0.00010009089601226151
1954,9.734391642268747e-05
1955,9.96469971141778e-05
1956,0.00010605426359688863
1957,0.00011271683615632355
1958,0.00011318993347231299
1959,0.00011695781722664833
1960,0.00011055835784645751
1961,0.00012036979023832828
1962,0.0001275590038858354
1963,0.00012057329149683937
1964,0.00012565322685986757
1965,0.00012471021909732372
1966,0.00013228922034613788
1967,0.0001285948237637058
1968,0.0001299152208957821
1969,0.00012570632679853588
1970,0.00012525742931757122
1971,0.00012892000086139888
1972,0.00012498241267167032
1973,0.00012669339776039124
1974,0.00013028350076638162
1975,0.000128714760649018
1976,0.00012121406325604767
1977,0.000122460289276205
1978,0.00012347265146672726
1979,0.00012665479152929038
1980,0.00012356812658254057
1981,0.00012725230772048235
1982,0.00012598751345649362
1983,0.0001287686318391934
1984,0.00013249517360236496
1985,0.00013554716133512557
1986,0.00014261488104239106
1987,0.00014396583719644696
1988,0.00013639850658364594
1989,0.00013781696907244623
1990,0.00013306416803970933
1991,0.00013781558664049953
1992,0.0001346271892543882
1993,0.00013565077097155154
1994,0.0001294019166380167
1995,0.0001350907259620726
1996,0.00013143490650691092
1997,0.0001367524528177455
1998,0.00012855904060415924
1999,0.00012937274004798383
2000,0.00012113787670386955
2001,0.00012146866356488317
2002,0.00012590769620146602
2003,0.00013756167027167976
2004,0.00012691787560470402
2005,0.0001323677133768797
2006,0.00013250604388304055
2007,0.00012067431816831231
2008,0.0001346570352325216
2009,0.00012404477456584573
2010,0.00012816034723073244
2011,0.0001447205140721053
2012,0.00015160963812377304
2013,0.00016120699001476169
2014,0.00014919716340955347
2015,0.00013400151510722935
2016,0.0001549071166664362
2017,0.00017821863002609462
2018,0.00023847351258154958
2019,0.00018773054762277752
