,network
1800,1.1151388434882392e-06
1801,3.8075609154475387e-07
1802,3.4904712720162934e-07
1803,1.9595202616073948e-07
1804,2.7628257726064476e-07
1805,3.464331825853151e-07
1806,3.53807962483188e-07
1807,3.3741576999091194e-07
1808,4.2353400431238697e-07
1809,3.330125366574066e-07
1810,2.621542023462098e-07
1811,2.04295247385744e-07
1812,1.6337510544417455e-07
1813,3.6308412632024556e-07
1814,2.789169002426206e-07
1815,3.5591401115198096e-07
1816,3.489689390789863e-07
1817,1.5065882053022506e-07
1818,3.9748357494318043e-07
1819,3.5010796750611917e-07
1820,2.7826845894196595e-07
1821,4.824989900953369e-07
1822,3.4192666475973965e-07
1823,3.63186046570263e-07
1824,4.274428988537693e-07
1825,3.729342381575407e-07
1826,3.2722207379265456e-06
1827,4.2998877347599773e-07
1828,4.032745266613347e-07
1829,5.225772383710137e-07
1830,5.460677243718237e-07
1831,6.448748308685026e-07
1832,1.502815393905621e-06
1833,4.676593903241155e-07
1834,7.82916174557613e-07
1835,6.75320336540608e-07
1836,7.534389396823826e-07
1837,6.471219649029081e-07
1838,7.237210297716956e-07
1839,9.011094448396761e-07
1840,7.795252372488903e-07
1841,9.878841638055746e-07
1842,9.378710501550813e-07
1843,8.78838022799755e-07
1844,1.0036889079856337e-06
1845,1.3375747585087083e-06
1846,1.321982495028351e-06
1847,1.6160784070962109e-06
1848,1.381425704494177e-06
1849,1.6924067267609644e-06
1850,1.4962882914915099e-06
1851,1.7046695575118065e-06
1852,1.7116042272391496e-06
1853,1.7056413526006509e-06
1854,2.124526190527831e-06
1855,1.8188513877248624e-06
1856,2.9477771477104397e-06
1857,2.274502776344889e-06
1858,2.1951507278572535e-06
1859,2.692333282539039e-06
1860,2.169890876757563e-06
1861,2.56531484410516e-06
1862,2.7287835564493435e-06
1863,2.640787670316058e-06
1864,2.703000518522458e-06
1865,2.7200544536754023e-06
1866,2.71776525551104e-06
1867,3.139407908747671e-06
1868,3.1896631753625115e-06
1869,3.412644218769856e-06
1870,3.294085672678193e-06
1871,2.831606479958282e-06
1872,3.0483902264677454e-06
1873,3.570332410163246e-06
1874,3.5350676625967026e-06
