,new
1800,0.00041175607475452125
1801,0.0004069918068125844
1802,0.0004198027600068599
1803,0.00040220594382844865
1804,0.0003930818638764322
1805,0.0003957269946113229
1806,0.0003950978280045092
1807,0.0004220067639835179
1808,0.00038393810973502696
1809,0.0003669779980555177
1810,0.0003812161448877305
1811,0.0003840025747194886
1812,0.00037627568235620856
1813,0.00039121400914154947
1814,0.0004027149698231369
1815,0.00038902906817384064
1816,0.0003727422736119479
1817,0.00038887234404683113
1818,0.00038660145946778357
1819,0.00037694780621677637
1820,0.00037684026756323874
1821,0.0003578763862606138
1822,0.0003722045512404293
1823,0.0003840063000097871
1824,0.00036981370067223907
1825,0.00038156763184815645
1826,0.0003881091543007642
1827,0.00037803806480951607
1828,0.00038050589500926435
1829,0.0003711650497280061
1830,0.00038328388473019004
1831,0.00038557336665689945
1832,0.00036963800084777176
1833,0.0003773090720642358
1834,0.00037665810668841004
1835,0.0003978596650995314
1836,0.0003905798657797277
1837,0.0003998783649876714
1838,0.00038251589285209775
1839,0.00038182924618013203
1840,0.000397020106902346
1841,0.00039811304304748774
1842,0.00038830036646686494
1843,0.00038736651185899973
1844,0.00039366696728393435
1845,0.00039916730020195246
1846,0.0003993791760876775
1847,0.00041689397767186165
1848,0.00041272860835306346
1849,0.0004161708930041641
1850,0.0004070642462465912
1851,0.0004177205846644938
1852,0.0004029304545838386
1853,0.0004106511769350618
1854,0.0004153703630436212
1855,0.0004072684096172452
1856,0.00040845596231520176
1857,0.00041067396523430943
1858,0.0004058874910697341
1859,0.00041993893682956696
1860,0.0004067902045790106
1861,0.0004197358211968094
1862,0.00042009534081444144
1863,0.0004213885695207864
1864,0.0004227060417179018
1865,0.00042510428465902805
1866,0.0004161502583883703
1867,0.00042094208765774965
1868,0.0004222701536491513
1869,0.00043740219553001225
1870,0.000426622194936499
1871,0.00043012594687752426
1872,0.0004179204406682402
1873,0.0004392295377328992
1874,0.0004380382306408137
1875,0.00043526035733520985
1876,0.0004343023174442351
1877,0.0004399490135256201
1878,0.0004494551394600421
1879,0.0004449805710464716
1880,0.00044256466208025813
1881,0.00045170358498580754
