,next
1800,0.0002340283535886556
1801,0.00023069768212735653
1802,0.0002384538674959913
1803,0.0003106934600509703
1804,0.00021856877719983459
1805,0.0002219269226770848
1806,0.00022978599008638412
1807,0.00021735769405495375
1808,0.00024333392502740026
1809,0.00023806776152923703
1810,0.0002318116748938337
1811,0.00023668758512940258
1812,0.00025201941025443375
1813,0.0002487980527803302
1814,0.00024368475715164095
1815,0.0002414751215837896
1816,0.0002683218044694513
1817,0.0002476304362062365
1818,0.00023296457948163152
1819,0.00023975341173354536
1820,0.0002430650929454714
1821,0.00024324088008143008
1822,0.00023107299057301134
1823,0.00025180657394230366
1824,0.00023246144701261073
1825,0.00023137644166126847
1826,0.00023965869331732392
1827,0.00024095425033010542
1828,0.00023604145098943263
1829,0.00023718869488220662
1830,0.00023274708655662835
1831,0.00022864635684527457
1832,0.00020231978851370513
1833,0.00023290971876122057
1834,0.00023699796292930841
1835,0.00023041119857225567
1836,0.0002348651032662019
1837,0.00024122357717715204
1838,0.0002374819596298039
1839,0.0002400324447080493
1840,0.0002441529359202832
1841,0.0002447249135002494
1842,0.00024022442812565714
1843,0.00023945770226418972
1844,0.00023337554011959583
1845,0.0002364714746363461
1846,0.0002356837794650346
1847,0.00024268569541163743
1848,0.0002376673510298133
1849,0.00023915756901260465
1850,0.00023008519201539457
1851,0.00023300645989365876
1852,0.0002365753025515005
1853,0.0002378364442847669
1854,0.00023106862499844283
1855,0.0002300020569236949
1856,0.00023277844593394548
1857,0.0002422278339508921
1858,0.0002329053677385673
1859,0.00022903688659425825
1860,0.00023438730568159372
1861,0.00023560372937936336
1862,0.00023384540691040456
1863,0.0002336962497793138
1864,0.0002354631433263421
1865,0.00024261022917926311
1866,0.0002377882628934458
1867,0.00023491955653298646
1868,0.00023468527069780976
1869,0.00023793346190359443
1870,0.00023795005108695477
1871,0.00022926695237401873
1872,0.00023683396284468472
1873,0.00023349667026195675
1874,0.0002316511672688648
1875,0.00023225296172313392
1876,0.00023174736998043954
1877,0.0002330341812921688
1878,0.00023070114548318088
1879,0.00022891032858751714
1880,0.00023041946406010538
1881,0.0002246770600322634
1882,0.0002290801057824865
1883,0.0002252930135000497
1884,0.00022418251319322735
1885,0.00022639539383817464
1886,0.0002268612151965499
1887,0.00022512421128340065
1888,0.00022296096722129732
1889,0.00022444056230597198
1890,0.00022244802676141262
1891,0.00022011328837834299
1892,0.00022031237313058227
1893,0.0002153558743884787
1894,0.00022402968897949904
