,no
1800,0.0017231156816706061
1801,0.0017300948966294527
1802,0.0016800941666588187
1803,0.0015978619921952486
1804,0.0016956242034211755
1805,0.0017211377853527665
1806,0.0017429809086024761
1807,0.0016700649866834283
1808,0.001805890817195177
1809,0.0017733948770910501
1810,0.0016841122414916754
1811,0.0018122290493920445
1812,0.0018728270661085844
1813,0.001674394472502172
1814,0.0017164741875603795
1815,0.001700136112049222
1816,0.0017932441551238298
1817,0.0017678174190223217
1818,0.0017128161853179336
1819,0.0016306671313941479
1820,0.001758948084898293
1821,0.0017107182648032904
1822,0.0017204866744577885
1823,0.0017654907424002886
1824,0.0017450334271416068
1825,0.0017395190661773086
1826,0.0017383573576807976
1827,0.001696455874480307
1828,0.00171067810151726
1829,0.0016772497911006212
1830,0.001763158943504095
1831,0.0017419643700122833
1832,0.0016891640843823552
1833,0.00175370741635561
1834,0.0017369275446981192
1835,0.0017259108135476708
1836,0.001751926844008267
1837,0.0017217072891071439
1838,0.001710459473542869
1839,0.0017321956111118197
1840,0.0017087339656427503
1841,0.001697530155070126
1842,0.001674631959758699
1843,0.001741659129038453
1844,0.0017480263486504555
1845,0.0016752851661294699
1846,0.0017093101050704718
1847,0.001665814546868205
1848,0.001701160566881299
1849,0.0017032852629199624
1850,0.0017052065813913941
1851,0.0016731811920180917
1852,0.001691599958576262
1853,0.0017208160134032369
1854,0.0016747056506574154
1855,0.0016754243988543749
1856,0.001678621512837708
1857,0.001644858974032104
1858,0.0016641770489513874
1859,0.0016174553893506527
1860,0.0016532979207113385
1861,0.0016301583964377642
1862,0.001631612074561417
1863,0.0016322031151503325
1864,0.0016602030955255032
1865,0.0016271109925583005
1866,0.0016536327311769128
1867,0.0016186847351491451
1868,0.0016336935805156827
1869,0.0016328239580616355
1870,0.0016262453282251954
1871,0.0016334127867594361
1872,0.0016334406100213528
1873,0.0016071986174210906
1874,0.0016140558291226625
1875,0.0016148451250046492
1876,0.0016045727534219623
1877,0.0015963298501446843
1878,0.001599965151399374
1879,0.0015844831941649318
1880,0.001571978093124926
1881,0.0015628261025995016
1882,0.0016067404067143798
1883,0.0015840042615309358
1884,0.0015963767655193806
1885,0.0015700377989560366
1886,0.0016038486501201987
1887,0.0015810023760423064
1888,0.0015788167947903275
1889,0.0015350774629041553
1890,0.0015540437307208776
1891,0.0015157917514443398
1892,0.0015490708174183965
1893,0.0015293057076632977
1894,0.0015575084835290909
1895,0.0015203809598460793
1896,0.0015168099198490381
1897,0.001485259155742824
1898,0.0015156371518969536
1899,0.0015275769401341677
1900,0.0014999331906437874
1901,0.0014841870870441198
1902,0.0014743872452527285
1903,0.0014614338288083673
1904,0.0014620388392359018
1905,0.0014392100274562836
1906,0.0014703269116580486
1907,0.0014206607593223453
1908,0.0014279676834121346
1909,0.0013991481391713023
1910,0.001406230847351253
1911,0.0013780728913843632
1912,0.0014082873240113258
1913,0.0013564862310886383
1914,0.001368069788441062
1915,0.0013443060452118516
1916,0.0013465320225805044
1917,0.0013303166488185525
1918,0.0013526469701901078
1919,0.0013351800153031945
1920,0.001339488779194653
1921,0.0013268660986796021
1922,0.0013295101234689355
1923,0.0013021479826420546
1924,0.0013040615012869239
1925,0.0012709829024970531
1926,0.0013037902535870671
1927,0.0012730825692415237
1928,0.0012977155856788158
1929,0.0012836743844673038
1930,0.0012658318737521768
1931,0.0012758160009980202
1932,0.001286852639168501
1933,0.001270432025194168
1934,0.0013144570402801037
1935,0.0012742590624839067
1936,0.0012961451429873705
1937,0.001244093058630824
1938,0.001256326911970973
1939,0.0012176743475720286
1940,0.0012343830894678831
1941,0.0011897024232894182
1942,0.0012214453890919685
1943,0.0011950236512348056
1944,0.0011929614702239633
1945,0.0011795221362262964
1946,0.0011959265684708953
1947,0.0011856189230456948
1948,0.001181705156341195
1949,0.0011699349852278829
1950,0.0011661822209134698
1951,0.0011504330905154347
1952,0.0011967092286795378
1953,0.0011624196777120233
1954,0.0011593265226110816
1955,0.0011526249581947923
1956,0.001165621681138873
1957,0.0011559419799596071
1958,0.0011477728839963675
1959,0.0011274222051724792
1960,0.0011409526923671365
1961,0.0011360949138179421
1962,0.0011465562274679542
1963,0.0011374222813174129
1964,0.0011180570581927896
1965,0.0011340872151777148
1966,0.001133676036261022
1967,0.001117826090194285
1968,0.0011368177365511656
1969,0.0011270398972555995
1970,0.0011353299487382174
1971,0.0011006086133420467
1972,0.0010852074483409524
