,o
1800,9.608845721231773e-05
1801,9.903303725877777e-05
1802,0.00011722516501322389
1803,9.237985068466514e-05
1804,8.516654634149745e-05
1805,7.484476373065263e-05
1806,8.330702985404059e-05
1807,8.142397564370185e-05
1808,6.386820314219221e-05
1809,6.56957708997652e-05
1810,5.9006662922911346e-05
1811,5.85009329370223e-05
1812,5.810961374663748e-05
1813,6.0497750382637605e-05
1814,5.601471639238298e-05
1815,5.7283774367533624e-05
1816,7.371528045041487e-05
1817,5.847610009368509e-05
1818,6.262664828682318e-05
1819,6.88128566252999e-05
1820,5.377297929953784e-05
1821,7.467078830813989e-05
1822,6.606864917557687e-05
1823,6.553960702149197e-05
1824,5.289853288559243e-05
1825,5.8314864872954786e-05
1826,6.234228931134567e-05
1827,5.9782523749163374e-05
1828,5.5705062550259754e-05
1829,5.76958482270129e-05
1830,5.503205829882063e-05
1831,5.405209230957553e-05
1832,4.668812107411213e-05
1833,5.292356581776403e-05
1834,5.496995072462596e-05
1835,5.0258615374332294e-05
1836,5.1848721341229975e-05
1837,4.7570152673870325e-05
1838,4.666827589971945e-05
1839,4.5919277908978984e-05
1840,4.538918437901884e-05
1841,4.691621506935917e-05
1842,5.206828791415319e-05
1843,5.3172610932961106e-05
1844,4.619663013727404e-05
1845,5.08261400682386e-05
1846,4.8281279305228963e-05
1847,4.6877492422936484e-05
1848,4.421823541633785e-05
1849,4.420573895913549e-05
1850,5.6730412325123325e-05
1851,5.744043301092461e-05
1852,6.46271655568853e-05
1853,5.656694702338427e-05
1854,6.598186155315489e-05
1855,7.530802395194769e-05
1856,6.847483746241778e-05
1857,7.64319920563139e-05
1858,6.333669443847612e-05
1859,6.591920100618154e-05
1860,6.962216139072552e-05
1861,6.61889134789817e-05
1862,7.009279943304136e-05
1863,7.413503772113472e-05
1864,7.384300261037424e-05
1865,6.842805305495858e-05
1866,7.777728023938835e-05
1867,7.702181028435007e-05
1868,6.901411688886583e-05
1869,7.337649731198326e-05
1870,7.115829794202e-05
1871,6.931021198397502e-05
1872,7.082844967953861e-05
1873,7.086352707119659e-05
1874,7.5358351750765e-05
1875,7.907341205282137e-05
1876,7.426993397530168e-05
1877,7.707672193646431e-05
1878,7.825592183507979e-05
1879,7.507031841669232e-05
1880,7.924690726213157e-05
1881,7.964269752847031e-05
1882,7.74060536059551e-05
1883,7.619246025569737e-05
1884,7.696869579376653e-05
1885,8.015031198738143e-05
1886,8.06117313914001e-05
1887,8.087453170446679e-05
1888,8.05878298706375e-05
1889,7.376153371296823e-05
1890,7.7065997174941e-05
1891,7.533614552812651e-05
1892,7.649762846995145e-05
1893,7.703918527113274e-05
1894,7.124139665393159e-05
1895,7.647223537787795e-05
1896,7.741312583675608e-05
1897,7.295518298633397e-05
1898,7.40500254323706e-05
1899,7.637038652319461e-05
1900,7.082350930431858e-05
1901,7.517165067838505e-05
1902,7.280035060830414e-05
1903,7.743824971839786e-05
1904,7.3861243436113e-05
1905,7.488888513762504e-05
1906,7.103828102117404e-05
1907,7.246178574860096e-05
1908,7.217643724288791e-05
1909,7.202014967333525e-05
1910,7.377493602689356e-05
1911,7.527743582613766e-05
1912,6.83882026351057e-05
1913,7.040154741844162e-05
1914,6.565023795701563e-05
1915,6.507364014396444e-05
1916,6.756056973244995e-05
1917,6.868373020552099e-05
1918,6.804038275731727e-05
1919,6.99034208082594e-05
1920,7.13144545443356e-05
1921,6.964882049942389e-05
1922,6.875983672216535e-05
1923,6.849643250461668e-05
1924,6.425636092899367e-05
1925,6.90635060891509e-05
