,off
1800,0.0002788283454719931
1801,0.0002640502934809774
1802,0.0002581182634457946
1803,0.00023760623298585415
1804,0.0002591368102002889
1805,0.00027860826230607927
1806,0.00025847391225397587
1807,0.00025217345682904124
1808,0.00025700335390865803
1809,0.00027129481895826757
1810,0.00025592694873921573
1811,0.0002598503779154271
1812,0.00022568814165424556
1813,0.00026398198679089546
1814,0.00024104326439555734
1815,0.00024655985180288553
1816,0.00023869475990068167
1817,0.00024075571855064481
1818,0.0002366122353123501
1819,0.00023641074949409813
1820,0.00025474876747466624
1821,0.00024172320263460279
1822,0.00025386529159732163
1823,0.0002606984635349363
1824,0.0002619342994876206
1825,0.0002607421774882823
1826,0.00025096398894675076
1827,0.00026151296333409846
1828,0.0002536658721510321
1829,0.00024102756287902594
1830,0.00024999212473630905
1831,0.0002494800428394228
1832,0.00022184655244927853
1833,0.0002602127497084439
1834,0.0002492944186087698
1835,0.0002538340340834111
1836,0.0002510146878194064
1837,0.0002730668638832867
1838,0.0002614497789181769
1839,0.00026380387134850025
1840,0.0002618326689116657
1841,0.0002755416790023446
1842,0.0002715454902499914
1843,0.0002676498261280358
1844,0.00026616957620717585
1845,0.00026488577714189887
1846,0.0002701691701076925
1847,0.0002655389253050089
1848,0.0002678545715752989
1849,0.0002643108309712261
1850,0.00025715073570609093
1851,0.0002526605094317347
1852,0.0002657925651874393
1853,0.00026570854242891073
1854,0.00025862667826004326
1855,0.00025990852736867964
1856,0.0002701283374335617
1857,0.0002746025566011667
1858,0.0002583868335932493
1859,0.0002659756864886731
1860,0.00027289512217976153
1861,0.0002703758073039353
1862,0.0002778300840873271
1863,0.0002767652040347457
1864,0.0002798760251607746
1865,0.0002751194406300783
1866,0.00026969268219545484
1867,0.00026366280508227646
1868,0.0002647788787726313
1869,0.0002747423422988504
1870,0.00026118409004993737
1871,0.00026406461256556213
1872,0.0002691988192964345
1873,0.0002653946285136044
1874,0.0002632761897984892
1875,0.0002621589810587466
1876,0.0002643893822096288
1877,0.00025837571593001485
1878,0.0002625711204018444
1879,0.0002596666745375842
1880,0.00026348207029514015
1881,0.0002554369275458157
1882,0.00026486124261282384
1883,0.0002692855487111956
1884,0.0002636431891005486
1885,0.0002657996956259012
1886,0.00024982058675959706
1887,0.0002543709415476769
1888,0.0002533055958338082
1889,0.00025511346757411957
1890,0.0002577548730187118
1891,0.0002515374799259007
1892,0.0002577525738161057
1893,0.0002542257134336978
1894,0.00026173974038101733
1895,0.00025307005853392184
1896,0.0002604666806291789
1897,0.0002519110857974738
1898,0.00026145303854718804
1899,0.00027623059577308595
1900,0.00025989330606535077
1901,0.00024592882255092263
1902,0.00025182063109241426
1903,0.0002465557190589607
1904,0.00025058785104192793
1905,0.00024398911045864224
1906,0.0002394544571870938
1907,0.00023749445972498506
1908,0.00023815421445760876
1909,0.00023732603585813195
1910,0.00023723050253465772
1911,0.0002308950643055141
1912,0.0002300525375176221
1913,0.00022562402591574937
1914,0.00022845120111014694
1915,0.0002265684597659856
1916,0.00022547846310772002
1917,0.00022203031403478235
1918,0.00022443689522333443
1919,0.00021778856171295047
1920,0.00022685651492793113
1921,0.00022073212312534451
1922,0.00022091293067205697
1923,0.00023211879306472838
1924,0.00023308818344958127
1925,0.00023505229910369962
1926,0.0002276249142596498
1927,0.00023112911731004715
1928,0.00023136349045671523
1929,0.00022889724641572684
1930,0.00023097630764823407
1931,0.00022552799782715738
1932,0.0002261600166093558
1933,0.00021925293549429625
1934,0.00022645070566795766
1935,0.00022196976351551712
1936,0.0002294877340318635
1937,0.00022772635566070676
1938,0.0002278320025652647
1939,0.0002245435753138736
1940,0.00023980028345249593
1941,0.00022939460177440196
1942,0.00025200258824042976
1943,0.000245257921051234
1944,0.00025592773454263806
1945,0.00024233559088315815
1946,0.00024593231501057744
1947,0.00024235651653725654
1948,0.00024164489877875894
1949,0.0002330390561837703
1950,0.00023339857580140233
1951,0.00023972857161425054
1952,0.00024484755704179406
1953,0.00023915927158668637
1954,0.0002335402969038114
1955,0.00023346496163867414
1956,0.00023315983708016574
1957,0.00022730129421688616
1958,0.0002308039111085236
1959,0.00022467497910838574
1960,0.0002239168097730726
1961,0.00022283910948317498
1962,0.00022299200645647943
1963,0.00021342971012927592
1964,0.00021418383403215557
1965,0.00021066640329081565
1966,0.0002132343070115894
1967,0.00021311378804966807
1968,0.00021781116083730012
1969,0.00021711818408221006
1970,0.00021612287673633546
1971,0.00021103832114022225
1972,0.00021030864445492625
1973,0.0002085224841721356
1974,0.00020921560644637793
1975,0.00020607808255590498
1976,0.00020472504547797143
1977,0.0002066564338747412
1978,0.00020084186689928174
1979,0.00020261606550775468
1980,0.0002067800669465214
1981,0.0002107475884258747
1982,0.00020854825561400503
1983,0.000213286213693209
