,on
1800,0.004175036214292049
1801,0.003978929482400417
1802,0.004327187780290842
1803,0.003890437074005604
1804,0.0039530545473098755
1805,0.004167001694440842
1806,0.004023218993097544
1807,0.004031065851449966
1808,0.0038512202445417643
1809,0.004024711437523365
1810,0.003893796820193529
1811,0.0038942694664001465
1812,0.004153021611273289
1813,0.004300110507756472
1814,0.0043312250636518
1815,0.004456238821148872
1816,0.003950695041567087
1817,0.004386046901345253
1818,0.004308781586587429
1819,0.004359648562967777
1820,0.0042894864454865456
1821,0.004232469480484724
1822,0.004157442133873701
1823,0.004174248781055212
1824,0.004272185731679201
1825,0.004190643783658743
1826,0.004231967497617006
1827,0.004336906131356955
1828,0.004349554888904095
1829,0.004399002995342016
1830,0.0043379757553339005
1831,0.004407438915222883
1832,0.004662226419895887
1833,0.004470461513847113
1834,0.004593906924128532
1835,0.004456753376871347
1836,0.004443313926458359
1837,0.00448924396187067
1838,0.004470955114811659
1839,0.00445413077250123
1840,0.004442272242158651
1841,0.004531512968242168
1842,0.004523066803812981
1843,0.004513157997280359
1844,0.004452557768672705
1845,0.004415974486619234
1846,0.004534428007900715
1847,0.004492748528718948
1848,0.004447202663868666
1849,0.004463415127247572
1850,0.004436430521309376
1851,0.0044934372417628765
1852,0.004578334745019674
1853,0.004510974511504173
1854,0.004504709038883448
1855,0.004551989492028952
1856,0.00451859924942255
1857,0.004546349868178368
1858,0.004558412358164787
1859,0.004519008100032806
1860,0.004533835686743259
1861,0.004597858525812626
1862,0.004607191774994135
1863,0.004612891469150782
1864,0.004646251909434795
1865,0.004670419730246067
1866,0.004686115309596062
1867,0.004580845590680838
1868,0.0046673184260725975
1869,0.004569088574498892
1870,0.004633761011064053
1871,0.00457931961864233
1872,0.004532347433269024
1873,0.004642004147171974
1874,0.0046235243789851665
1875,0.00468746991828084
1876,0.004663013853132725
1877,0.004677176009863615
1878,0.004691222216933966
1879,0.004723376594483852
1880,0.004680654499679804
1881,0.004636787809431553
1882,0.00466610211879015
1883,0.004600992426276207
1884,0.004685994237661362
1885,0.004652662202715874
1886,0.004671162459999323
1887,0.0046294876374304295
1888,0.00466867396607995
1889,0.0046525695361196995
1890,0.004619983956217766
1891,0.00465303473174572
1892,0.00465404475107789
1893,0.004689308349043131
1894,0.004638932179659605
1895,0.004648773930966854
1896,0.004638261161744595
1897,0.004642188083380461
1898,0.004654886666685343
1899,0.004638205748051405
1900,0.0046257623471319675
1901,0.004583957139402628
1902,0.004610675852745771
1903,0.004629184026271105
1904,0.004650383722037077
1905,0.004656462464481592
1906,0.004680946934968233
1907,0.004681950900703669
1908,0.0047146594151854515
1909,0.004742179065942764
1910,0.004768203478306532
1911,0.0047902981750667095
1912,0.004785867407917976
1913,0.004757692571729422
1914,0.004772436339408159
1915,0.004795421380549669
1916,0.004810156766325235
1917,0.004821203649044037
1918,0.0047499388456344604
1919,0.004768987186253071
1920,0.004823257680982351
1921,0.004850418772548437
1922,0.004848440643399954
1923,0.004856467247009277
1924,0.004775169771164656
1925,0.004839922301471233
1926,0.004780833143740892
1927,0.0047622076235711575
1928,0.00483141653239727
1929,0.0048109134659171104
1930,0.004775638226419687
1931,0.004846084397286177
1932,0.00482897600159049
1933,0.004832124803215265
1934,0.0048389439471066
1935,0.004848313983529806
1936,0.004862111061811447
1937,0.004843700677156448
1938,0.004851092118769884
1939,0.0048407576978206635
1940,0.004852213431149721
1941,0.0048735132440924644
1942,0.004861786495894194
1943,0.004917117301374674
1944,0.004897987935692072
1945,0.004921682178974152
1946,0.004961162339895964
1947,0.005030534230172634
1948,0.004912347067147493
1949,0.004891383461654186
1950,0.004933718591928482
1951,0.004968688357621431
1952,0.004944192711263895
1953,0.004962604027241468
1954,0.004941671621054411
1955,0.0049946922808885574
1956,0.0050114733166992664
1957,0.004957325290888548
1958,0.004934406373649836
1959,0.004964448511600494
1960,0.004910276737064123
1961,0.004906098358333111
1962,0.00492563983425498
1963,0.004855653271079063
1964,0.004859092179685831
1965,0.004823175258934498
1966,0.004858799744397402
1967,0.0048032174818217754
1968,0.004792669788002968
1969,0.00483326381072402
1970,0.004826552700251341
1971,0.0048311795108020306
1972,0.004871048498898745
1973,0.004856823943555355
1974,0.004882947076112032
1975,0.004892376717180014
1976,0.004873473662883043
1977,0.0048843566328287125
1978,0.004850663244724274
1979,0.004860858432948589
1980,0.0048459367826581
1981,0.004824131261557341
1982,0.004794827662408352
1983,0.004833833780139685
1984,0.004790994338691235
1985,0.0047997599467635155
1986,0.004801778122782707
1987,0.004789966158568859
1988,0.004801995120942593
1989,0.004755811300128698
1990,0.004773236345499754
1991,0.004775174427777529
1992,0.004768291488289833
1993,0.00475634541362524
1994,0.0047310106456279755
1995,0.004713522735983133
1996,0.004713171161711216
1997,0.0047075278125703335
1998,0.004739767871797085
1999,0.004751625005155802
2000,0.0047676097601652145
2001,0.004772190470248461
2002,0.0047652036882936954
2003,0.004770993255078793
2004,0.00479164021089673
2005,0.004798553884029388
2006,0.00477640749886632
2007,0.004792898427695036
2008,0.004796991124749184
2009,0.0048517873510718346
2010,0.004924180917441845
2011,0.004940117243677378
2012,0.004806062672287226
2013,0.004858322907239199
2014,0.004924290347844362
2015,0.004900846164673567
2016,0.004848741926252842
2017,0.004782297648489475
2018,0.004635580815374851
2019,0.00475891912356019
