,online
1800,6.746391534306895e-08
1801,5.2657757265706095e-08
1802,2.9437710935553696e-08
1803,4.3224709145306406e-08
1804,4.875574788343329e-08
1805,1.82333259601819e-08
1806,2.948399568936111e-08
1807,2.3490970946227208e-08
1808,4.7261305979873214e-08
1809,2.714776137224817e-08
1810,1.9039131160525358e-08
1811,3.130330483713806e-08
1812,2.912889485173764e-08
1813,1.9832326003665912e-08
1814,2.62510013726569e-08
1815,1.6709577721485402e-08
1816,3.53042501899381e-08
1817,2.3403311288916484e-08
1818,2.5687715066169403e-08
1819,1.4643299017791378e-08
1820,1.799149451642279e-08
1821,2.631812456854732e-08
1822,3.156246108915184e-08
1823,2.0635571473803793e-08
1824,2.6996392676892356e-08
1825,1.9214411395296338e-08
1826,3.5396617192873236e-08
1827,1.6899122101676767e-08
1828,2.038530588777121e-08
1829,1.9907705706145862e-08
1830,1.829985585288796e-08
1831,1.776301949973913e-08
1832,1.918487768648447e-08
1833,2.401674414898025e-08
1834,1.2354989920027037e-08
1835,7.390973166820913e-08
1836,2.829004408511082e-08
1837,4.1280916462937967e-08
1838,2.1699900543126205e-08
1839,2.627141348909845e-08
1840,1.5178516221681093e-08
1841,2.2439769153947964e-08
1842,2.546256183677542e-08
1843,2.4338680404412116e-08
1844,2.1553104190275008e-08
1845,2.5542485460050557e-08
1846,2.6164236999193236e-08
1847,2.8983759392531283e-08
1848,1.4482312238328632e-08
1849,3.378421808974963e-08
1850,3.393905956272647e-08
1851,3.598449183073171e-08
1852,3.3855908299074144e-08
1853,2.492170203538535e-08
1854,2.9575014437455138e-08
1855,3.610096044326383e-08
1856,2.4998339398507596e-08
1857,3.4290764006073005e-08
1858,2.3153271300202505e-08
1859,2.9222897879321863e-08
1860,2.42596502886272e-08
1861,3.064506870487094e-08
1862,3.3267447463458666e-08
1863,2.94606863349145e-08
1864,3.3609573790727154e-08
1865,2.067147875095543e-08
1866,2.2054901904766666e-08
1867,3.1647921616695385e-08
1868,2.4147697175180838e-08
1869,3.994837527443451e-08
1870,2.0871617323336977e-08
1871,3.3563960499805034e-08
1872,2.6047512591276245e-08
1873,2.838290136253363e-08
1874,4.260486718976608e-08
1875,4.041933721055102e-08
1876,2.9217556374305786e-08
1877,2.4202094550673792e-08
1878,3.1169378189588315e-08
1879,3.4613780286463225e-08
1880,4.0858505911955945e-08
1881,2.9463711470611997e-08
1882,3.568191786484931e-08
1883,9.300354264496491e-08
1884,3.159716044365268e-08
1885,2.472850901824586e-08
1886,3.50779103541754e-08
1887,2.2425517443025456e-08
1888,2.864597448137829e-08
1889,3.340981535870924e-08
1890,2.6114101103758003e-08
1891,3.232240075590198e-08
1892,4.543267451140309e-08
1893,2.762289419422359e-08
1894,2.5809892889583352e-08
1895,2.1550247808477252e-08
1896,1.9533237249902413e-08
1897,2.025815604156378e-08
1898,1.6894624366159405e-08
1899,4.151287313902685e-08
1900,6.040231710358057e-07
1901,2.083408467967729e-08
1902,2.511697694274062e-08
1903,2.4033903756048858e-08
1904,1.4514773383211832e-08
1905,1.73560366079073e-08
1906,2.0641191866843656e-08
