,or
1800,0.004381261300295591
1801,0.004437412600964308
1802,0.004304798319935799
1803,0.004193736240267754
1804,0.003926748875528574
1805,0.004256894811987877
1806,0.004101073835045099
1807,0.004496007692068815
1808,0.004140844568610191
1809,0.004351838491857052
1810,0.004419615026563406
1811,0.004452278837561607
1812,0.004295173566788435
1813,0.00453956937417388
1814,0.004259538371115923
1815,0.004253841005265713
1816,0.004439209587872028
1817,0.004363630898296833
1818,0.004429394844919443
1819,0.004894571844488382
1820,0.004253433085978031
1821,0.004473972134292126
1822,0.004593418911099434
1823,0.004863040521740913
1824,0.00455494923517108
1825,0.004429465625435114
1826,0.0046007935889065266
1827,0.004483985714614391
1828,0.004371160641312599
1829,0.004582111723721027
1830,0.0045005157589912415
1831,0.004445110447704792
1832,0.005027512554079294
1833,0.004223530180752277
1834,0.004330931697040796
1835,0.004416925832629204
1836,0.004540720023214817
1837,0.004445517901331186
1838,0.004470664542168379
1839,0.004358738660812378
1840,0.004403608851134777
1841,0.004490912426263094
1842,0.004530026577413082
1843,0.004427683539688587
1844,0.0042805420234799385
1845,0.004753535147756338
1846,0.0044729518704116344
1847,0.004536473657935858
1848,0.004320255480706692
1849,0.004383886232972145
1850,0.004397786222398281
1851,0.004546283278614283
1852,0.004395571071654558
1853,0.004319355823099613
1854,0.00443051615729928
1855,0.004418895114213228
1856,0.004453541245311499
1857,0.004429555032402277
1858,0.004429368767887354
1859,0.0044709062203764915
1860,0.004373816307634115
1861,0.004520454443991184
1862,0.0045885005965828896
1863,0.004479634575545788
1864,0.004395500291138887
1865,0.004382689483463764
1866,0.004472627770155668
1867,0.0044489470310509205
1868,0.004496627952903509
1869,0.004392379429191351
1870,0.0045243483036756516
1871,0.004500861279666424
1872,0.0045579117722809315
1873,0.004515544511377811
1874,0.004439820535480976
1875,0.004402029328048229
1876,0.004422370344400406
1877,0.004428124520927668
1878,0.004373161122202873
1879,0.004326400812715292
1880,0.004341240972280502
1881,0.004288863856345415
1882,0.004331397823989391
1883,0.004345463588833809
1884,0.004428146407008171
1885,0.004330079071223736
1886,0.004285798408091068
1887,0.0043848659843206406
1888,0.004331609699875116
1889,0.004365314729511738
1890,0.004316395148634911
1891,0.0042970567010343075
1892,0.0043111746199429035
1893,0.004205071832984686
1894,0.00445497315376997
1895,0.004377967678010464
1896,0.004297363571822643
1897,0.004378731828182936
1898,0.004249058198183775
1899,0.004148456268012524
1900,0.0041919429786503315
1901,0.004270168021321297
1902,0.004140757489949465
1903,0.004262315109372139
1904,0.004280101042240858
1905,0.004366715904325247
1906,0.004381203558295965
1907,0.004458447452634573
1908,0.004317722283303738
1909,0.004545420408248901
1910,0.004371269140392542
1911,0.0046036201529204845
1912,0.004519945941865444
1913,0.004606286995112896
1914,0.004624091554433107
1915,0.004619392566382885
1916,0.004488620441406965
1917,0.004596497863531113
1918,0.004452772904187441
1919,0.004487633239477873
1920,0.004374874290078878
1921,0.0044496008194983006
1922,0.004330070689320564
1923,0.004399518482387066
1924,0.004257116001099348
1925,0.004352327901870012
1926,0.004228026140481234
1927,0.004302171058952808
1928,0.004105673171579838
1929,0.004278070759028196
1930,0.004306653514504433
1931,0.004456881899386644
1932,0.004139070864766836
1933,0.004445294849574566
1934,0.004230736289173365
1935,0.004445603583008051
1936,0.004421812016516924
1937,0.004426161292940378
1938,0.0043448531068861485
1939,0.0047426423989236355
1940,0.004416442010551691
1941,0.0046213665045797825
1942,0.004476435482501984
1943,0.004604296293109655
1944,0.0044871121644973755
1945,0.004551793448626995
1946,0.004297077190130949
1947,0.004373272880911827
1948,0.004426306579262018
1949,0.004623806104063988
1950,0.004284056834876537
1951,0.004370812326669693
1952,0.004213306587189436
1953,0.004386466462165117
1954,0.004487819503992796
1955,0.0043000890873372555
1956,0.004039105959236622
1957,0.004350058734416962
1958,0.004080316983163357
1959,0.00426276633515954
1960,0.0040757921524345875
1961,0.004196835216134787
1962,0.004006021656095982
1963,0.004197264555841684
1964,0.003968917764723301
1965,0.004105950705707073
1966,0.00398095091804862
1967,0.004140730015933514
1968,0.004048310685902834
1969,0.004039747640490532
1970,0.004070041701197624
1971,0.0041858539916574955
1972,0.004179936368018389
1973,0.004182934295386076
1974,0.00409617368131876
1975,0.004236698616296053
1976,0.00418469263240695
1977,0.00420072115957737
1978,0.004175347741693258
1979,0.004205870907753706
1980,0.004062829539179802
1981,0.0041556451469659805
1982,0.004141208250075579
1983,0.004220860544592142
1984,0.003964481875300407
1985,0.004020655527710915
1986,0.0039423140697181225
1987,0.004050227347761393
1988,0.0039982544258236885
1989,0.003995487466454506
1990,0.003977273125201464
1991,0.00397256575524807
1992,0.004064141772687435
1993,0.0041624694131314754
1994,0.0040058558806777
1995,0.004173030145466328
1996,0.004094181582331657
1997,0.004229703452438116
1998,0.00416572717949748
1999,0.004228842444717884
2000,0.004100588150322437
2001,0.004148357082158327
2002,0.004090293776243925
2003,0.004124503582715988
2004,0.0040510836988687515
2005,0.00407211622223258
2006,0.0040286146104335785
2007,0.0039595263078808784
2008,0.003979573026299477
2009,0.003934255801141262
2010,0.003844676772132516
2011,0.0037327574100345373
2012,0.003630497958511114
2013,0.0036004974972456694
2014,0.0034493287093937397
2015,0.0034222935792058706
2016,0.0034540339838713408
2017,0.003136871848255396
2018,0.0031494167633354664
2019,0.0031133361626416445
