,out
1800,0.0009502570028416812
1801,0.0008789065759629011
1802,0.0007942504598759115
1803,0.0008955064695328474
1804,0.0008127973414957523
1805,0.0008104439475573599
1806,0.0008507778984494507
1807,0.0008092789212241769
1808,0.0009308041189797223
1809,0.0008964263251982629
1810,0.0008431288879364729
1811,0.0008942200802266598
1812,0.0008654523990117013
1813,0.0008410736918449402
1814,0.0008396579651162028
1815,0.0008365850662812591
1816,0.0008917636587284505
1817,0.000829100317787379
1818,0.0008100647828541696
1819,0.0008133021765388548
1820,0.0008895559003576636
1821,0.00084946263814345
1822,0.000841124914586544
1823,0.0008816950139589608
1824,0.0008549533085897565
1825,0.0008566666510887444
1826,0.0008558616973459721
1827,0.000846449809614569
1828,0.0008443983388133347
1829,0.0008382413070648909
1830,0.0008348299306817353
1831,0.0008584303432144225
1832,0.0008189424406737089
1833,0.0008546278695575893
1834,0.0008470769389532506
1835,0.0008440043893642724
1836,0.0008656320278532803
1837,0.00088242202764377
1838,0.0008934552897699177
1839,0.0008919391548261046
1840,0.0008803170640021563
1841,0.0008966349414549768
1842,0.000877052138093859
1843,0.000906853936612606
1844,0.0009074817062355578
1845,0.0008749931585043669
1846,0.0008865159470587969
1847,0.0008989383350126445
1848,0.0009017247939482331
1849,0.0009041602024808526
1850,0.0009284848929382861
1851,0.0009056093986146152
1852,0.0009218960185535252
1853,0.0009358534589409828
1854,0.0009024585015140474
1855,0.0009250981383956969
1856,0.0009333264897577465
1857,0.000956430216319859
1858,0.000939480378292501
1859,0.0009373908978886902
1860,0.0009675729088485241
1861,0.0009743639966472983
1862,0.0010084958048537374
1863,0.000992900226265192
1864,0.0009947754442691803
1865,0.0010212763445451856
1866,0.0010174557100981474
1867,0.0010257164249196649
1868,0.0010252055944874883
1869,0.0010359056759625673
1870,0.0010154253104701638
1871,0.0010137000354006886
1872,0.0010327005293220282
1873,0.0010093494784086943
1874,0.0010043213842436671
1875,0.0010006842203438282
1876,0.0009993285639211535
1877,0.000992253073491156
1878,0.0009875301038846374
1879,0.0010028549004346132
1880,0.0009932552929967642
1881,0.0009867219487205148
1882,0.0010085755493491888
1883,0.001002974808216095
1884,0.0009955205023288727
1885,0.0010098764905706048
1886,0.001002901466563344
1887,0.0010053697042167187
1888,0.001006558770313859
1889,0.0010080229258164763
1890,0.0009966425132006407
1891,0.0009950952371582389
1892,0.001000786665827036
1893,0.0010016488377004862
1894,0.0010221839183941483
