,page
1800,5.470529868034646e-05
1801,6.344449502648786e-05
1802,6.0633272369159386e-05
1803,5.150944707565941e-05
1804,6.01320898567792e-05
1805,6.587396637769416e-05
1806,8.977385732578114e-05
1807,6.922789179952815e-05
1808,6.0292702983133495e-05
1809,5.230106762610376e-05
1810,7.334605470532551e-05
1811,0.00010327619384042919
1812,5.564252205658704e-05
1813,6.475101690739393e-05
1814,7.198024832177907e-05
1815,7.103742973413318e-05
1816,5.667418736265972e-05
1817,6.0967089666519314e-05
1818,6.186007522046566e-05
1819,5.9031131968367845e-05
1820,6.303380359895527e-05
1821,7.00099699315615e-05
1822,6.559731991728768e-05
1823,6.0481826949398965e-05
1824,6.0563710576388985e-05
1825,6.094549098634161e-05
1826,5.4944401199463755e-05
1827,5.884368147235364e-05
1828,5.530887938220985e-05
1829,6.141360790934414e-05
1830,5.316547321854159e-05
1831,5.9174020861973986e-05
1832,0.00012409959163051099
1833,5.226644134381786e-05
1834,6.588656106032431e-05
1835,5.604443867923692e-05
1836,5.619095463771373e-05
1837,5.790375143988058e-05
1838,5.145105023984797e-05
1839,5.570012581301853e-05
1840,6.287754513323307e-05
1841,5.75270205445122e-05
1842,5.982641232549213e-05
1843,5.601600423688069e-05
1844,5.347227124730125e-05
1845,5.2001094445586205e-05
1846,5.2178373152855784e-05
1847,5.479146057041362e-05
1848,5.536167373065837e-05
1849,5.776097168563865e-05
1850,5.916808368056081e-05
1851,5.345687532098964e-05
1852,5.6964068789966404e-05
1853,5.463900379254483e-05
1854,5.215667624725029e-05
1855,5.924627839704044e-05
1856,6.320796092040837e-05
1857,6.079045488149859e-05
1858,6.177146133268252e-05
1859,6.13966112723574e-05
1860,6.520050374092534e-05
1861,6.547117664013058e-05
1862,9.060431329999119e-05
1863,6.772499182261527e-05
1864,6.088829104555771e-05
1865,6.332532211672515e-05
1866,6.087420115363784e-05
1867,6.510570528917015e-05
1868,6.849679630249739e-05
1869,6.349717295961455e-05
1870,7.019003533059731e-05
1871,7.133282633731142e-05
1872,7.4071365816053e-05
1873,7.256857497850433e-05
1874,7.40038012736477e-05
1875,7.06349455867894e-05
1876,7.396847649943084e-05
1877,7.568857836304232e-05
1878,7.668509351788089e-05
1879,7.937772170407698e-05
1880,7.490587449865416e-05
1881,7.867116073612124e-05
1882,7.618676318088546e-05
1883,7.850995461922139e-05
1884,7.68210957176052e-05
1885,7.697984983678907e-05
1886,7.900714263087139e-05
1887,7.872594869695604e-05
1888,8.105592132778838e-05
1889,8.756441820878536e-05
1890,7.952517626108602e-05
1891,8.634391269879416e-05
1892,8.714536670595407e-05
1893,8.676970901433378e-05
1894,9.866422624327242e-05
1895,9.750606113811955e-05
1896,8.909060852602124e-05
1897,8.947052992880344e-05
1898,8.898309170035645e-05
1899,9.05139313545078e-05
1900,9.695930930320174e-05
1901,8.957242243923247e-05
1902,9.809887706069276e-05
1903,9.852205403149128e-05
1904,9.710875747259706e-05
1905,9.976551518775523e-05
1906,0.00010594376362860203
1907,0.00010614105849526823
1908,0.00010772786481538787
1909,0.00010546860721660778
1910,9.881229925667867e-05
1911,0.00010232358908979222
1912,0.00010404416389064863
1913,0.00010787545033963397
1914,0.00010892623686231673
1915,0.00010987813584506512
1916,0.00011651265231193975
1917,0.00011809195711975917
1918,0.00010919738269876689
1919,0.00011651392560452223
1920,0.00011400983203202486
1921,0.00011831823212560266
1922,0.00011649412772385404
1923,0.0001188339592772536
1924,0.00012030320795020089
1925,0.00012243360106367618
1926,0.00012351974146440625
1927,0.00013136280176695436
1928,0.00012813378998544067
1929,0.00013348905486054718
1930,0.00012447035987861454
1931,0.0001420092157786712
1932,0.00013431122351903468
1933,0.00013979675713926554
1934,0.00013418748858384788
1935,0.0001524387625977397
1936,0.00013490249693859369
1937,0.00014261157775763422
1938,0.00014517885574605316
1939,0.00016481867351103574
1940,0.0001581595279276371
1941,0.00016976414190139621
1942,0.00013795548875350505
1943,0.00016274834342766553
1944,0.00015004984743427485
1945,0.0001508515269961208
1946,0.00014846445992588997
1947,0.00014289160026237369
1948,0.00014092614583205432
1949,0.00014043175906408578
1950,0.000137248556711711
1951,0.0001448920666007325
1952,0.00013578226207755506
1953,0.00014153050142340362
1954,0.00014014630869496614
1955,0.0001456086029065773
1956,0.00013777887215837836
1957,0.00014442425162997097
1958,0.00013510696589946747
1959,0.00013863187632523477
1960,0.00012547218648251146
1961,0.00012876937398687005
1962,0.00011639148578979075
1963,0.00012235634494572878
1964,0.00011465041461633518
1965,0.00011548546171979979
1966,0.00011717246525222436
1967,0.00011322001955704764
1968,0.00010663308785296977
1969,0.00011042172991437837
1970,0.00010414858115836978
1971,0.0001030978819471784
1972,0.00010608854063320905
1973,0.000106038962258026
1974,0.00010445971565786749
1975,0.00011660742165986449
1976,9.776568185770884e-05
1977,0.00010500245844013989
1978,9.423392475582659e-05
1979,9.56386502366513e-05
1980,9.428412158740684e-05
1981,9.524716733722016e-05
1982,9.100243187276646e-05
1983,9.538288577459753e-05
1984,9.138423047261313e-05
1985,9.059128205990419e-05
1986,9.323727135779336e-05
1987,9.144211071543396e-05
1988,9.215892350766808e-05
1989,9.222433436661959e-05
1990,8.967962639871985e-05
1991,8.987456385511905e-05
1992,8.976633398560807e-05
1993,9.121404582401738e-05
1994,9.367377060698345e-05
1995,9.526198118692264e-05
1996,0.00010485463280929253
1997,0.00011026681022485718
1998,0.00011274719872744754
1999,0.00011389626160962507
2000,0.00010584687697701156
2001,0.00011113945947727188
2002,0.0001085378899006173
2003,0.000108297863334883
2004,0.00010808101069414988
2005,9.92772402241826e-05
2006,0.00010200801625614986
2007,0.00010029205441242084
2008,9.971870167646557e-05
2009,0.00010171005851589143
2010,0.00010693401418393478
2011,9.911709639709443e-05
2012,8.510840416420251e-05
2013,8.173417882062495e-05
