,posts
1800,1.7108055544667877e-05
1801,1.3970508007332683e-05
1802,1.574497036926914e-05
1803,1.4439934602705762e-05
1804,1.640468508412596e-05
1805,2.115673487423919e-05
1806,1.452332526241662e-05
1807,1.6503474398632534e-05
1808,1.3860286344424821e-05
1809,1.493669788033003e-05
1810,1.3768220924248453e-05
1811,1.5256241567840334e-05
1812,1.435421290807426e-05
1813,1.5344117855420336e-05
1814,1.8931894373963587e-05
1815,1.717410486890003e-05
1816,1.2613122635229956e-05
1817,1.4318437933980022e-05
1818,1.203266583615914e-05
1819,1.3139033399056643e-05
1820,1.256885843758937e-05
1821,1.133684600063134e-05
1822,1.2011621038254816e-05
1823,1.388980308547616e-05
1824,1.1488765267131384e-05
1825,1.3290258721099235e-05
1826,1.1416392226237804e-05
1827,1.4610230209655128e-05
1828,1.3626246982312296e-05
1829,1.225734013132751e-05
1830,1.2144516404077876e-05
1831,1.1453285878815223e-05
1832,1.2019079804304056e-05
1833,1.137459730671253e-05
1834,1.346888984699035e-05
1835,1.207231980515644e-05
1836,1.3161798960936721e-05
1837,1.3643633792526089e-05
1838,1.4747722161700949e-05
1839,1.3328012755664531e-05
1840,1.3960440810478758e-05
1841,1.2587108358275145e-05
1842,1.2462863196560647e-05
1843,1.2627013347810134e-05
1844,1.227596203534631e-05
1845,1.305859495914774e-05
1846,1.3646715160575695e-05
1847,1.372708265989786e-05
1848,1.38932091431343e-05
1849,1.5112046639842447e-05
1850,1.3856045370630454e-05
1851,1.4851641026325524e-05
1852,1.461371448385762e-05
1853,1.2745955245918594e-05
1854,1.432178214599844e-05
1855,1.6598301954218186e-05
1856,1.523783885204466e-05
1857,1.5236410945362877e-05
1858,1.6425225112470798e-05
1859,1.5617551980540156e-05
1860,1.4747508430446032e-05
1861,1.5531000826740637e-05
1862,1.3815800230077002e-05
1863,1.315312874794472e-05
1864,1.3299506463226862e-05
1865,1.3251587915874552e-05
1866,1.3098271665512584e-05
1867,1.3601353202830069e-05
1868,1.3829509953211527e-05
1869,1.4314835425466299e-05
1870,1.4025726159161422e-05
1871,1.3150171980669256e-05
1872,1.3278966434882022e-05
1873,1.2808080100512598e-05
1874,1.354749474558048e-05
1875,1.2970594070793595e-05
1876,1.4645367627963424e-05
1877,1.3379307347349823e-05
1878,1.4750135960639454e-05
1879,1.3867783309251536e-05
1880,1.4989444025559351e-05
1881,1.5450161299668252e-05
1882,1.4933615602785721e-05
1883,1.4066555195313413e-05
1884,1.5137470654735807e-05
