,press
1800,3.414467937545851e-05
1801,4.172519766143523e-05
1802,4.159128002356738e-05
1803,4.091939263162203e-05
1804,4.205020741210319e-05
1805,4.5932785724289715e-05
1806,4.691149661084637e-05
1807,5.284400685923174e-05
1808,5.128396878717467e-05
1809,4.543992326944135e-05
1810,4.988545333617367e-05
1811,4.8195553972618654e-05
1812,5.498395694303326e-05
1813,5.234361015027389e-05
1814,6.339944957289845e-05
1815,5.745421367464587e-05
1816,5.4615677072433755e-05
1817,6.068332368158735e-05
1818,5.358051566872746e-05
1819,5.1326096581760794e-05
1820,5.9303565649315715e-05
1821,5.589092688751407e-05
1822,5.144365786691196e-05
1823,5.1923223509220406e-05
1824,6.248585123103112e-05
1825,6.092452895245515e-05
1826,5.111173231853172e-05
1827,5.086166493128985e-05
1828,4.863313370151445e-05
1829,4.869590338785201e-05
1830,5.390991282183677e-05
1831,5.472322663990781e-05
1832,4.742305100080557e-05
1833,5.562611477216706e-05
1834,5.215236160438508e-05
1835,5.226609937380999e-05
1836,5.4387899581342936e-05
1837,5.1709870604099706e-05
1838,4.9261707317782566e-05
1839,5.030817919760011e-05
1840,4.539243673207238e-05
1841,4.782609539688565e-05
1842,4.743516183225438e-05
1843,4.612603515852243e-05
1844,4.4057484046788886e-05
1845,4.488963895710185e-05
1846,4.417762465891428e-05
1847,4.6040702727623284e-05
1848,4.867551979259588e-05
1849,4.601912951329723e-05
1850,4.973599789082073e-05
1851,4.956595512339845e-05
1852,5.149408389115706e-05
1853,4.8391633754363284e-05
1854,4.721244840766303e-05
1855,4.8975201934808865e-05
1856,4.890485797659494e-05
1857,4.587184957927093e-05
1858,4.722826270153746e-05
1859,4.845051807933487e-05
1860,4.5720007619820535e-05
1861,4.617365266312845e-05
1862,4.611763870343566e-05
1863,4.9185255193151534e-05
1864,4.755319969262928e-05
1865,4.542342867353e-05
1866,4.586216527968645e-05
1867,4.457576869754121e-05
1868,4.4753112888429314e-05
1869,4.420922778081149e-05
1870,4.428503234521486e-05
1871,4.47316633653827e-05
1872,4.450162305147387e-05
1873,4.314940088079311e-05
1874,4.4997839722782373e-05
1875,4.2357172787887976e-05
1876,4.339871884440072e-05
1877,4.196086956653744e-05
1878,4.1753490222617984e-05
1879,4.172838816884905e-05
1880,4.2422383558005095e-05
1881,4.184380668448284e-05
1882,4.206335870549083e-05
1883,3.9732771256240085e-05
1884,4.37123526353389e-05
1885,4.205865479889326e-05
1886,4.025055386591703e-05
1887,4.2587766074575484e-05
1888,4.363554035080597e-05
1889,4.296096449252218e-05
1890,4.261182766640559e-05
1891,4.257124965079129e-05
1892,4.089801586815156e-05
1893,4.2394589399918914e-05
1894,4.2128733184654266e-05
1895,4.1053062886931e-05
1896,4.165148129686713e-05
1897,4.184530916973017e-05
1898,4.2834391933865845e-05
1899,4.364739288575947e-05
1900,4.298824569559656e-05
1901,3.997643943876028e-05
1902,4.171687760390341e-05
1903,4.194523353362456e-05
1904,4.164612619206309e-05
1905,4.251023710821755e-05
1906,4.0679551602806896e-05
1907,4.137424912187271e-05
1908,4.272696969565004e-05
1909,4.170211104792543e-05
1910,4.2257561290171e-05
1911,4.081344013684429e-05
1912,4.047912443638779e-05
1913,4.27678860432934e-05
1914,4.188952880213037e-05
1915,4.4036656618118286e-05
1916,4.471927240956575e-05
1917,4.653837822843343e-05
1918,4.884458030574024e-05
1919,4.887317118118517e-05
1920,4.782895484822802e-05
1921,4.836622247239575e-05
1922,4.731674198410474e-05
1923,4.562774847727269e-05
1924,4.758249633596279e-05
1925,4.393270501168445e-05
1926,4.436397284734994e-05
1927,4.460394848138094e-05
1928,4.77364519611001e-05
1929,4.7170004108920693e-05
1930,4.665105734602548e-05
1931,4.635052027879283e-05
1932,4.7014538722578436e-05
1933,4.7521003580186516e-05
1934,5.050129766459577e-05
1935,5.11711259605363e-05
1936,5.067913298262283e-05
1937,5.1665665523614734e-05
1938,5.3747513447888196e-05
1939,5.2956671424908563e-05
1940,5.657452857121825e-05
1941,6.02078580413945e-05
1942,6.281397509155795e-05
1943,6.412099173758179e-05
1944,6.293970363913104e-05
1945,6.0703721828758717e-05
1946,6.453876994783059e-05
1947,6.381933781085536e-05
1948,6.221912917681038e-05
1949,6.135281000752002e-05
1950,5.9242847783025354e-05
1951,6.1018989072181284e-05
1952,6.0328562540235e-05
1953,5.787052941741422e-05
1954,5.7272889534942806e-05
1955,5.602068267762661e-05
1956,6.057400969439186e-05
1957,5.4827331041451544e-05
1958,5.506596789928153e-05
1959,5.421032619778998e-05
1960,5.5865039030322805e-05
1961,5.434876220533624e-05
1962,5.5410899221897125e-05
1963,5.646890713251196e-05
1964,5.735049853683449e-05
1965,5.779239654657431e-05
1966,5.8832276408793405e-05
1967,5.803526801173575e-05
1968,6.144307553768158e-05
1969,6.304578710114583e-05
1970,6.109711102908477e-05
1971,6.0761951317545027e-05
1972,5.954353036941029e-05
1973,5.8505753258941695e-05
1974,5.8013785746879876e-05
1975,5.4685802751919255e-05
1976,5.4847045248607174e-05
1977,5.5002106819301844e-05
1978,5.514195800060406e-05
1979,5.3616546210832894e-05
1980,5.575292743742466e-05
1981,5.46663322893437e-05
1982,5.5941105529200286e-05
1983,5.528634210349992e-05
1984,5.645015698974021e-05
1985,5.6567918363725767e-05
1986,5.700380279449746e-05
1987,5.7960787671618164e-05
1988,5.984703966532834e-05
1989,5.951714047114365e-05
1990,6.111009861342609e-05
1991,5.90598865528591e-05
1992,5.970618803985417e-05
1993,5.9519257774809375e-05
1994,5.9545913245528936e-05
1995,5.522645733435638e-05
1996,5.524926382349804e-05
1997,5.658204827341251e-05
1998,5.566134495893493e-05
1999,5.462803164846264e-05
2000,5.415538544184528e-05
2001,5.365801916923374e-05
2002,5.2116916776867583e-05
2003,5.309661355568096e-05
2004,5.409529330790974e-05
2005,5.20447465532925e-05
2006,5.1592513045761734e-05
2007,5.29158569406718e-05
2008,5.116602551424876e-05
2009,5.427714131656103e-05
2010,5.417191641754471e-05
2011,5.2691553719341755e-05
2012,4.927742702420801e-05
2013,5.25693321833387e-05
2014,5.0611492042662576e-05
2015,5.083637734060176e-05
2016,5.0132061005569994e-05
2017,4.4742864702129737e-05
2018,4.3256583012407646e-05
2019,4.423553400556557e-05
