,private
1800,0.00011222820467082784
1801,0.000126504193758592
1802,0.00013593494077213109
1803,0.00011732339044101536
1804,0.00013046064123045653
1805,0.00012484054605010897
1806,0.00013000477338209748
1807,0.00011888994049513713
1808,0.0001161701075034216
1809,0.00011358079791534692
1810,0.00011880711099365726
1811,0.00012841603893321007
1812,0.00014989476767368615
1813,0.00014300023030955344
1814,0.00014085631119087338
1815,0.00011650419037323445
1816,0.00013146760466042906
1817,0.00012408875045366585
1818,0.0001232820941368118
1819,0.00011934688518522307
1820,0.00012801788398064673
1821,0.0001211473427247256
1822,0.00011792367149610072
1823,0.00011358127812854946
1824,0.00011407506099203601
1825,0.00012303162657190114
1826,0.00012306420831009746
1827,0.00012264162069186568
1828,0.00011779781925724819
1829,0.00011352120054652914
1830,0.00012056384730385616
1831,0.00011825691035483032
1832,0.00011691166582750157
1833,0.00011410155275370926
1834,0.00011729697143891826
1835,0.0001111834790208377
1836,0.00011685635399771854
1837,0.00011616682604653761
1838,0.00011515081860125065
1839,0.00011514549987623468
1840,0.00011675315181491897
1841,0.00011145780445076525
1842,0.0001036543762893416
1843,0.00010733305680332705
1844,0.00010832834959728643
1845,0.00010671863128663972
1846,0.00010612628102535382
1847,0.00010627503070281819
1848,0.00010729197674663737
1849,0.00010494793968973681
1850,0.00010232032946078107
1851,0.00010922134970314801
1852,0.00010529187420615926
1853,0.00012078552390448749
1854,0.00010959330393234268
1855,0.00010702837607823312
1856,0.0001051257859217003
1857,0.00010254918015561998
1858,0.00010610850586090237
1859,0.00010222343553323299
1860,0.00010454528091941029
1861,0.00010317387932445854
1862,0.00010177493095397949
1863,0.00010079995263367891
1864,0.000104004233435262
1865,9.863688319455832e-05
1866,0.00010026993550127372
1867,0.0001026084937620908
1868,0.00010567589197307825
1869,0.00010021189518738538
1870,0.00010206311708316207
1871,0.00010031107376562431
1872,0.0001026937025017105
1873,0.00010478523472556844
1874,0.00010492584260646254
1875,0.00010422083141747862
1876,0.00010406965884612873
1877,9.890283399727196e-05
1878,0.000100517034297809
1879,0.00010100408690050244
1880,9.882473386824131e-05
1881,9.988960664486513e-05
1882,9.841488645179197e-05
1883,9.717235661810264e-05
1884,0.0001042396979755722
1885,9.796822996577248e-05
1886,0.00011057929077651352
1887,0.00010800128802657127
1888,0.00010193314665229991
1889,0.0001023195800371468
1890,0.00010210942127741873
1891,0.00010547952842898667
1892,0.00010016548912972212
1893,0.00010320391447748989
1894,0.000108406922663562
1895,0.00015041144797578454
1896,0.00011870929301949218
1897,0.0001288018247578293
1898,0.0001200921687996015
1899,0.00011864039697684348
1900,0.00012603630602825433
1901,0.0001294688117923215
1902,0.00013561714149545878
1903,0.00011098427057731897
1904,0.00011942911805817857
1905,0.00010747713531600311
1906,0.00012946914648637176
1907,0.00010877507884288207
1908,0.00010831529652932659
1909,0.00010623829439282417
1910,0.00010795484558911994
1911,0.0001105920528061688
1912,0.00010751466470537707
1913,0.00010726407344918698
1914,0.00011050066677853465
1915,0.0001103329923353158
1916,0.00010728077177191153
1917,0.00010735466639744118
1918,0.00010886858217418194
1919,0.00012077027349732816
1920,0.00011030755558749661
1921,0.00010922274668700993
1922,0.00010364605259383097
1923,0.00010446702799526975
1924,0.0001102608657674864
1925,0.00010485077655175701
1926,0.00011049632303183898
1927,0.00010817282600328326
1928,0.00011196156265214086
1929,0.00010844723146874458
1930,0.00011543164873728529
1931,0.00011020462989108637
1932,0.00012023188901366666
1933,0.00012089425581507385
1934,0.00012197565229143947
1935,0.00012432200310286134
1936,0.00012311078899074346
1937,0.00012592924758791924
1938,0.0001282955490751192
1939,0.00013342068996280432
1940,0.0001223891886183992
1941,0.0001312194362981245
1942,0.00011942226410610601
1943,0.00012375145161058754
1944,0.00013302515435498208
1945,0.00013724561722483486
1946,0.00012952130055055022
1947,0.00013302992738317698
1948,0.00013034891162533313
1949,0.00013271530042402446
1950,0.00013079577183816582
1951,0.00012627692194655538
1952,0.00012797767703887075
1953,0.00013143954856786877
1954,0.0001360186724923551
1955,0.0001412476267432794
1956,0.00013852799020241946
1957,0.00013311192742548883
1958,0.00013359510921873152
1959,0.00013895760639570653
1960,0.00013490680430550128
1961,0.00014317387831397355
1962,0.000136688890052028
1963,0.0001421847118763253
1964,0.00014505603758152574
1965,0.00014767562970519066
1966,0.0001467139518354088
1967,0.00015448368503712118
1968,0.0001514655159553513
1969,0.00015521638852078468
1970,0.00014800968347117305
1971,0.000153141503687948
1972,0.00015167953097261488
1973,0.00015677115879952908
1974,0.00015731419262010604
1975,0.00015895836986601353
1976,0.0001596405782038346
1977,0.00015792761405464262
1978,0.00015933210670482367
1979,0.0001568272855365649
1980,0.00015616243763361126
1981,0.00015484941832255572
1982,0.00016066196258179843
1983,0.00016001315088942647
1984,0.00015466097102034837
1985,0.00015344975690823048
1986,0.00015524000627920032
1987,0.00015474374231416732
1988,0.00015585591609124094
1989,0.0001505481923231855
1990,0.00015387535677291453
1991,0.00015279017679858953
1992,0.00015707676357124
1993,0.0001578019291628152
1994,0.0001580973039381206
1995,0.00016125707770697773
1996,0.00016158120706677437
1997,0.00016397428407799453
1998,0.00015942243044264615
1999,0.00015950504166539758
2000,0.00015350805188063532
2001,0.00015292648458853364
2002,0.00015272315067704767
2003,0.00014710691175423563
2004,0.00014514966460410506
2005,0.00014319762703962624
2006,0.000139524694532156
2007,0.0001387164811603725
2008,0.00013185733405407518
2009,0.00012653428711928427
2010,0.00012294974294491112
2011,0.00011147278564749286
2012,0.00010345298505853862
2013,0.00010983166430378333
2014,0.00010630840552039444
2015,0.00010836729779839516
2016,0.00011501288099680096
2017,0.00010456916061230004
2018,9.911139204632491e-05
2019,0.00010359437874285504
