,profile
1800,1.3413413171292632e-06
1801,1.0815093673954834e-06
1802,1.1901245215995004e-06
1803,8.472043191432022e-07
1804,2.0249888166290475e-06
1805,1.4343548855322297e-06
1806,1.6093348449430778e-06
1807,1.183090716949664e-06
1808,8.543389640180976e-07
1809,1.5781897673150524e-06
1810,1.198000745716854e-06
1811,9.588695775164524e-07
1812,7.826807291166915e-07
1813,1.1151869330205955e-06
1814,1.0221483535133302e-06
1815,1.3985917348691146e-06
1816,1.4311800669020158e-06
1817,2.673828248589416e-06
1818,1.1424273225202342e-06
1819,1.5202407439574017e-06
1820,1.017119188873039e-06
1821,1.2206596693431493e-06
1822,1.3761233503828407e-06
1823,1.6209240811804193e-06
1824,1.7808621350923204e-06
1825,1.483003188695875e-06
1826,1.5721997215223382e-06
1827,1.5979059071469237e-06
1828,1.7495909787612618e-06
1829,1.7717857190291397e-06
1830,1.9097728909400757e-06
1831,2.0720947304653237e-06
1832,1.7482834664406255e-06
1833,1.3676201433554525e-06
1834,2.152369233954232e-06
1835,2.0211928131175227e-06
1836,2.4843277515174123e-06
1837,1.7227514490514295e-06
1838,1.817513293644879e-06
1839,1.7381166799168568e-06
1840,1.876715145954222e-06
1841,1.885474944174348e-06
1842,2.4974531243060483e-06
1843,1.7555596514284844e-06
1844,1.7560881815370522e-06
1845,1.8616213992572739e-06
1846,2.181730224037892e-06
1847,1.957806261998485e-06
1848,2.1812229533679783e-06
1849,2.210583716077963e-06
1850,2.1954328985884786e-06
1851,2.4339296942343935e-06
1852,2.45267256104853e-06
1853,2.024639115916216e-06
1854,2.3208260699902894e-06
1855,2.667577973625157e-06
1856,2.509292698960053e-06
1857,2.572867742856033e-06
1858,2.436606109768036e-06
1859,2.8457534426706843e-06
1860,2.683723778318381e-06
1861,2.873781568268896e-06
1862,3.058472429984249e-06
1863,2.455911044307868e-06
1864,2.683230377442669e-06
1865,2.548052179918159e-06
1866,2.352856881771004e-06
1867,2.883916749851778e-06
1868,2.6847285425901646e-06
1869,2.9883863135182764e-06
1870,2.8391448267939268e-06
1871,2.649043608471402e-06
1872,2.761590621958021e-06
1873,3.3488865938124945e-06
1874,3.3280080060649198e-06
1875,3.5766813653026475e-06
1876,3.931809260393493e-06
1877,4.238705059833592e-06
1878,3.5864441088051535e-06
1879,3.1176552965916926e-06
1880,3.3951705518120434e-06
1881,3.3418452858313685e-06
1882,4.4360444917401765e-06
1883,4.5663819037145e-06
1884,3.486956529741292e-06
1885,4.1459952626610175e-06
1886,3.1212593967211433e-06
1887,3.6536505376716377e-06
1888,4.034409812447848e-06
1889,3.93289519706741e-06
1890,3.897384431184037e-06
1891,3.440540240262635e-06
1892,3.3473620533186477e-06
1893,3.445778929744847e-06
1894,3.5307573398313252e-06
1895,3.7156087273615412e-06
1896,4.123450253246119e-06
1897,3.3687301765894517e-06
1898,5.04660192746087e-06
1899,3.5595253393694293e-06
1900,4.419447122927522e-06
1901,3.4661602512642276e-06
1902,3.912638476322172e-06
1903,4.06894014304271e-06
1904,4.200767307338538e-06
1905,4.225230895826826e-06
1906,4.57910891782376e-06
1907,5.07560662299511e-06
1908,4.421422545419773e-06
1909,4.18400395574281e-06
1910,3.829980414593592e-06
1911,3.884157649736153e-06
1912,3.889745130436495e-06
1913,3.7919930946372915e-06
1914,4.283676844352158e-06
1915,3.845453193207504e-06
1916,3.9172437027445994e-06
1917,3.844195362034952e-06
1918,3.3436731428082567e-06
1919,3.2705740977689857e-06
1920,3.3823052945081145e-06
1921,3.3745818655006588e-06
1922,3.4891586437879596e-06
1923,6.645881967415335e-06
1924,4.191637799522141e-06
1925,5.417497959570028e-06
1926,5.1304423323017545e-06
1927,6.147387466626242e-06
1928,6.658203801634954e-06
1929,5.277072432363639e-06
1930,6.494876743090572e-06
1931,5.761562078987481e-06
1932,6.499461505882209e-06
1933,6.5651233853714075e-06
1934,7.273626579262782e-06
1935,8.487807463097852e-06
1936,6.6835168581746984e-06
1937,6.09865764999995e-06
1938,8.441108548140619e-06
1939,7.589128472318407e-06
1940,7.827668014215305e-06
1941,7.536850262113148e-06
1942,7.464697318937397e-06
1943,6.7665787355508655e-06
1944,7.040726359264227e-06
1945,6.245269105420448e-06
1946,6.959029633435421e-06
1947,7.603952781209955e-06
1948,9.172315913019702e-06
1949,9.515755664324388e-06
1950,1.0162009857594967e-05
1951,9.416439752385486e-06
1952,9.294650226365775e-06
1953,1.097996391763445e-05
1954,1.0819800081662834e-05
1955,9.731686986924615e-06
1956,1.2090486961824354e-05
1957,1.2017919289064594e-05
1958,1.2232902008690871e-05
1959,1.3786362615064718e-05
1960,1.3957361261418555e-05
1961,1.3277454854687676e-05
1962,1.5285781046259217e-05
1963,1.892660657176748e-05
1964,1.6322082956321537e-05
1965,1.572548717376776e-05
1966,1.6175790733541362e-05
1967,1.6583249816903844e-05
1968,1.7442684111301787e-05
1969,1.8758188161882572e-05
1970,1.9465864170342684e-05
1971,2.0547078747767955e-05
1972,2.1476462279679254e-05
1973,2.0774072254425846e-05
1974,2.3103759303921834e-05
1975,2.2954280211706646e-05
1976,2.350217073399108e-05
1977,2.4275948817376047e-05
1978,2.4421118723694235e-05
1979,2.4140153982443735e-05
1980,2.5496023226878606e-05
1981,2.587393464636989e-05
1982,2.6473588150111027e-05
1983,2.6641631848178804e-05
1984,2.749853410932701e-05
1985,2.7654778023133986e-05
1986,2.8426427888916805e-05
1987,2.867684088414535e-05
1988,2.8416567147360183e-05
1989,2.9216818802524358e-05
1990,2.9711469323956408e-05
1991,3.0044860977795906e-05
1992,2.966271676996257e-05
1993,3.001924960699398e-05
1994,3.104420829913579e-05
1995,3.099645982729271e-05
1996,3.074081541853957e-05
1997,3.099555033259094e-05
1998,3.061230017920025e-05
1999,3.058054426219314e-05
2000,2.959363700938411e-05
2001,2.8970767743885517e-05
2002,2.9862909286748618e-05
2003,3.0706421966897324e-05
2004,3.0114051696727984e-05
