,register
1800,1.1151388207508717e-05
1801,9.433840205019806e-06
1802,9.592487913323566e-06
1803,1.1543879736564122e-05
1804,1.1620119948929641e-05
1805,7.855524017941207e-06
1806,9.88696683634771e-06
1807,1.1405933946662117e-05
1808,1.0508369086892344e-05
1809,1.1032850125047844e-05
1810,1.0584292795101646e-05
1811,1.6175570635823533e-05
1812,1.1099375115009025e-05
1813,1.3746853255725e-05
1814,1.2416723620845005e-05
1815,1.4091187040321529e-05
1816,1.2059117580065504e-05
1817,1.1382785487512592e-05
1818,1.2697842976194806e-05
1819,1.5672323570470326e-05
1820,1.1883982551808003e-05
1821,1.4798305528529454e-05
1822,1.3373015463002957e-05
1823,1.2221416909596883e-05
1824,1.1258395716140512e-05
1825,9.627293366065715e-06
1826,1.0739923709479626e-05
1827,1.243869246536633e-05
1828,1.3271720490592998e-05
1829,1.317558235314209e-05
1830,1.1655544767563697e-05
1831,1.2744580089929514e-05
1832,1.6597870853729546e-05
1833,1.1460657333373092e-05
1834,1.3994302207720466e-05
1835,1.0368224138801452e-05
1836,1.2702806998277083e-05
1837,1.653155413805507e-05
1838,1.7308309907093644e-05
1839,1.4435616321861744e-05
1840,1.3787514035357162e-05
1841,1.4028061741555575e-05
1842,1.2819339644920547e-05
1843,1.5031251678010449e-05
1844,1.2283309843041934e-05
1845,1.674011946306564e-05
1846,1.7780665075406432e-05
1847,1.4480660865956452e-05
1848,1.3017729543207679e-05
1849,1.4197589734976646e-05
1850,1.4517433555738535e-05
1851,1.3426425539364573e-05
1852,1.513547158538131e-05
1853,1.3181254871597048e-05
1854,1.2476106348913163e-05
1855,1.2777970368915703e-05
1856,1.39075218612561e-05
1857,1.826849256758578e-05
1858,1.6012876585591584e-05
1859,1.6345340554835275e-05
1860,1.7021851817844436e-05
1861,1.4725358596479055e-05
1862,1.671390600677114e-05
1863,1.550998422317207e-05
1864,1.429672192898579e-05
1865,1.6464247892145067e-05
1866,1.71526971826097e-05
1867,2.0988834876334295e-05
1868,2.0927383957314305e-05
1869,1.9122884623357095e-05
1870,1.9011018594028428e-05
1871,1.7750944607541896e-05
1872,2.0907009457005188e-05
1873,1.9336443074280396e-05
1874,2.2971407815930434e-05
1875,2.065256194327958e-05
1876,1.9220782633055933e-05
1877,1.9529699784470722e-05
1878,1.9039996914216317e-05
1879,2.0960656911483966e-05
1880,1.7909236703417264e-05
1881,1.9770659491769038e-05
1882,1.8673617887543514e-05
1883,1.775561941030901e-05
1884,2.0490428141783923e-05
1885,1.9585206246119924e-05
1886,1.9670613255584612e-05
1887,2.2701671696268022e-05
1888,2.055501136055682e-05
1889,2.189404949604068e-05
1890,1.9757155314437114e-05
1891,2.1880186977796257e-05
1892,1.9544659153325483e-05
1893,2.1159845346119255e-05
1894,2.2797124984208494e-05
