,related
1800,4.55143308499828e-05
1801,4.901222200714983e-05
1802,4.4186002924107015e-05
1803,3.7908070225967094e-05
1804,4.116285344935022e-05
1805,4.440726479515433e-05
1806,4.3422554881544784e-05
1807,4.246953903930262e-05
1808,4.07828702009283e-05
1809,3.890455263899639e-05
1810,4.0809645724948496e-05
1811,3.938285226467997e-05
1812,4.08855703426525e-05
1813,3.607194958021864e-05
1814,4.06102990382351e-05
1815,3.996931263827719e-05
1816,3.963988638133742e-05
1817,4.140776945860125e-05
1818,3.9545560866827145e-05
1819,3.730846583493985e-05
1820,4.292051016818732e-05
1821,3.881171505781822e-05
1822,3.7869693187531084e-05
1823,4.0852239180821925e-05
1824,4.0433398680761456e-05
1825,3.951094186049886e-05
1826,3.906213532900438e-05
1827,3.7404330214485526e-05
1828,3.567871681298129e-05
1829,3.618142363848165e-05
1830,3.77789547201246e-05
1831,3.583804937079549e-05
1832,4.106990309082903e-05
1833,3.702848334796727e-05
1834,3.38182071573101e-05
1835,3.446160553721711e-05
1836,3.40225305990316e-05
1837,3.2952637411653996e-05
1838,3.454213583609089e-05
1839,3.462467066128738e-05
1840,3.390718120499514e-05
1841,3.27812995237764e-05
1842,3.0723233066964895e-05
1843,3.286145147285424e-05
1844,3.446243499638513e-05
1845,3.408431803109124e-05
1846,3.131446283077821e-05
1847,3.381984060979448e-05
1848,3.194704549969174e-05
1849,3.219179416191764e-05
1850,3.197356636519544e-05
1851,3.099757668678649e-05
1852,3.131144694634713e-05
1853,3.0946106562623754e-05
1854,3.242201637476683e-05
1855,3.104541247012094e-05
1856,2.9320010071387514e-05
1857,3.020132498932071e-05
1858,2.8428908990463242e-05
1859,3.0573413823731244e-05
1860,2.897545709856786e-05
1861,2.7260401111561805e-05
1862,2.6658739443519153e-05
1863,2.658335870364681e-05
1864,2.6935109417536296e-05
1865,2.743690311035607e-05
1866,2.5997382181230932e-05
1867,2.580953878350556e-05
1868,2.5669311071396805e-05
1869,2.8316895622992888e-05
1870,2.5806997655308805e-05
1871,2.6764279027702287e-05
1872,2.702291021705605e-05
1873,2.6940104362438433e-05
1874,2.6350824555265717e-05
1875,2.7525282348506153e-05
1876,2.6471105229575187e-05
1877,2.7060446882387623e-05
1878,2.566587681940291e-05
1879,2.6107378289452754e-05
1880,2.687168489501346e-05
1881,2.652496004884597e-05
1882,2.542018955864478e-05
1883,2.8621609089896083e-05
1884,2.6358660761616193e-05
1885,2.6793451979756355e-05
1886,2.666798172867857e-05
1887,2.466550540702883e-05
1888,2.6349624022259377e-05
1889,2.6528165108175017e-05
1890,2.806337215588428e-05
1891,2.599779691081494e-05
1892,2.603292159619741e-05
1893,2.624405169626698e-05
1894,2.650102396728471e-05
1895,2.6742598493001424e-05
1896,2.689113352971617e-05
1897,2.5389654183527455e-05
1898,2.6301668185624294e-05
1899,2.563908310548868e-05
1900,2.7527463316801004e-05
1901,2.6033892936538905e-05
1902,2.63515339611331e-05
1903,2.6234270990244113e-05
1904,2.6405252356198616e-05
1905,2.6541840270510875e-05
1906,2.7530219085747376e-05
1907,2.6660916773835197e-05
1908,2.683836646610871e-05
1909,2.713080721150618e-05
1910,2.871341712307185e-05
1911,2.839460466930177e-05
1912,2.877168844861444e-05
1913,3.108404780505225e-05
1914,2.924641921708826e-05
1915,2.901414336520247e-05
1916,2.9909029763075523e-05
1917,3.002272205776535e-05
1918,3.1192033929983154e-05
1919,3.057255889871158e-05
1920,3.306462895125151e-05
1921,3.182519503752701e-05
1922,3.394024315639399e-05
1923,3.565340375644155e-05
1924,3.5574114008340985e-05
1925,3.922964970115572e-05
1926,3.8693848182447255e-05
1927,4.211507621221244e-05
1928,4.176233051111922e-05
1929,4.206157609587535e-05
1930,4.434311267687008e-05
1931,4.487951082410291e-05
1932,4.832647027797066e-05
1933,5.018471347284503e-05
1934,5.04408853885252e-05
1935,5.5722448450978845e-05
