,report
1800,7.274991367012262e-05
1801,7.08813895471394e-05
1802,8.850657468428835e-05
1803,0.00017096525698434561
1804,7.868852844694629e-05
1805,9.847211185842752e-05
1806,7.976649794727564e-05
1807,7.712726801401004e-05
1808,9.510065137874335e-05
1809,8.096729288809001e-05
1810,7.190494216047227e-05
1811,8.933304343372583e-05
1812,0.00010310868674423546
1813,0.00010239430412184447
1814,0.00010499744530534372
1815,9.376747038913891e-05
1816,0.00011539466504473239
1817,0.00011600728612393141
1818,0.00011552440992090851
1819,0.00011246320354985073
1820,0.00010363101318944246
1821,0.00011289974645478651
1822,8.784674719208851e-05
1823,0.00011451710452092811
1824,9.478613355895504e-05
1825,0.0001135012716986239
1826,0.00013178652443457395
1827,0.00010478676267666742
1828,0.00013151978782843798
1829,0.00010436613956699148
1830,0.00010814116831170395
1831,0.0001171285766758956
1832,0.0001491127477493137
1833,0.00012428798072505742
1834,0.00016846353537403047
1835,0.0001360630412818864
1836,0.00014721330080647022
1837,0.00014782522339373827
1838,0.00014921731781214476
1839,0.00013914286682847887
1840,0.0001384942006552592
1841,0.00014792830916121602
1842,0.00013329280773177743
1843,0.00013655005022883415
1844,0.00014373961312230676
1845,0.00012026508920826018
1846,0.0001411230186931789
1847,0.00014270060637500137
1848,0.00014505484432447702
1849,0.00016852481348905712
1850,0.00015140003233682364
1851,0.0001680127315921709
1852,0.00017488420417066664
1853,0.00016917051107157022
1854,0.0001713722595013678
1855,0.0001908091508084908
1856,0.0001848333195084706
1857,0.0001766052155289799
1858,0.000192830731975846
1859,0.000174632208654657
1860,0.00018303266551811248
1861,0.00018944338080473244
1862,0.0001793337141862139
1863,0.00019613472977653146
1864,0.00020151746866758913
1865,0.0002170680818380788
1866,0.00021087091590743512
1867,0.00021061098959762603
1868,0.00024603470228612423
1869,0.0002071670169243589
1870,0.00022686872398480773
1871,0.00021140434546396136
1872,0.00023445366241503507
1873,0.00022320460993796587
1874,0.0002383549144724384
1875,0.00023252271057572216
1876,0.00023983954451978207
1877,0.00024489598581567407
1878,0.00023943754786159843
1879,0.0002449322200845927
1880,0.0002434141788398847
1881,0.00023880694061517715
1882,0.00024143166956491768
1883,0.00021701962396036834
1884,0.00024358560040127486
1885,0.00025850842939689755
1886,0.00026462392997927964
1887,0.0002586377668194473
1888,0.00024970757658593357
1889,0.0002825948758982122
1890,0.0002433542103972286
1891,0.0002764797827694565
1892,0.0002616610436234623
1893,0.0002643369371071458
1894,0.00023437228810507804
1895,0.0002678878081496805
1896,0.00024708962882868946
1897,0.0002766828110907227
1898,0.00024252543516922742
1899,0.0002570445940364152
1900,0.00024834845680743456
1901,0.0002708338724914938
1902,0.0002518253750167787
1903,0.00026420532958582044
1904,0.00024635758018121123
1905,0.000259591470239684
1906,0.00024661829229444265
1907,0.0002626568602863699
1908,0.00024624975048936903
1909,0.0002626219647936523
1910,0.00025304974406026304
1911,0.0002719316689763218
1912,0.0002627578505780548
1913,0.00028868656954728067
1914,0.0002761690993793309
1915,0.00029103358974680305
1916,0.00028639627271331847
1917,0.000291999225737527
1918,0.00027022790163755417
1919,0.00028447568183764815
