,school
1800,6.692817260045558e-05
1801,5.640455856337212e-05
1802,5.322758443071507e-05
1803,4.0775310480967164e-05
1804,4.697129043051973e-05
1805,5.130857971380465e-05
1806,5.650607999996282e-05
1807,5.385198528529145e-05
1808,5.701712871086784e-05
1809,5.0757262215483934e-05
1810,6.572454731212929e-05
1811,6.257201312109828e-05
1812,5.840849917149171e-05
1813,6.845661118859425e-05
1814,6.318779924185947e-05
1815,6.754846981493756e-05
1816,8.474106289213523e-05
1817,7.224309956654906e-05
1818,7.397386070806533e-05
1819,0.00013990208390168846
1820,7.659939001314342e-05
1821,7.413439743686467e-05
1822,7.149318844312802e-05
1823,7.511244621127844e-05
1824,7.198048115242273e-05
1825,8.292502752738073e-05
1826,7.942607771838084e-05
1827,8.489837637171149e-05
1828,9.381317795487121e-05
1829,8.765776874497533e-05
1830,8.25901806820184e-05
1831,0.00010381789616076276
1832,0.00010690748604247347
1833,0.00010299647692590952
1834,0.00010244107397738844
1835,0.00012424583837855607
1836,0.00010863203351618722
1837,0.00010782982280943543
1838,0.00012608346878550947
1839,0.00012564986536744982
1840,0.00011549387272680178
1841,0.00011739686306100339
1842,0.00012797748786397278
1843,0.00010730501526268199
1844,0.00011715630535036325
1845,0.00010999871301464736
1846,0.0001231697533512488
1847,0.00013363009202294052
1848,0.00012014012463623658
1849,0.0001364138297503814
1850,0.00012975666322745383
1851,0.00013784279872197658
1852,0.00013535252946894616
1853,0.00012896049884147942
1854,0.00015341470134444535
1855,0.0001445546222385019
1856,0.00014241451572161168
1857,0.00015320688544306904
1858,0.0001485664542997256
1859,0.00014837995695415884
1860,0.000148432663991116
1861,0.00018122888286598027
1862,0.00015609383990522474
1863,0.00015004370652604848
1864,0.00017188212950713933
1865,0.00017284437490161508
1866,0.00015892628289293498
1867,0.0001802273327484727
1868,0.00022069879923947155
1869,0.00019204423006158322
1870,0.0002322436193935573
1871,0.000195723696378991
1872,0.00023227842757478356
1873,0.00021979866141919047
1874,0.00022680501569993794
1875,0.00022829043155070394
1876,0.00023488893930334598
1877,0.0002062232670141384
1878,0.00021976658899802715
1879,0.00021835285588167608
1880,0.00020320451585575938
1881,0.0002296488091815263
1882,0.00019410278764553368
1883,0.00020510389003902674
1884,0.0002206917997682467
1885,0.00020822969963774085
1886,0.0002246020594611764
1887,0.00022840923338662833
1888,0.00022131981677375734
1889,0.00022527716646436602
1890,0.00022139785869512707
1891,0.0002447962760925293
1892,0.0002171738597098738
1893,0.00023475493071600795
1894,0.00022283365251496434
1895,0.0002397037169430405
1896,0.00023957483062986284
1897,0.00024561313330195844
1898,0.00024117283464875072
1899,0.00023038015933707356
1900,0.0002462577249389142
1901,0.0002629593655001372
1902,0.00026757270097732544
1903,0.0002626627392601222
1904,0.00025187883875332773
1905,0.00026894660550169647
1906,0.0002710785483941436
1907,0.0002655057469382882
1908,0.0002666171931196004
1909,0.00026874925242736936
1910,0.00027474251692183316
1911,0.00027774457703344524
1912,0.0002900955732911825
1913,0.00031635831692256033
1914,0.00032351742265746
1915,0.00033862408599816263
1916,0.0003138238680548966
1917,0.0003183535300195217
1918,0.0003051277599297464
1919,0.0003094495623372495
1920,0.0002847255382221192
1921,0.00030800740933045745
1922,0.0002965767926070839
1923,0.0003242612292524427
1924,0.00032972372719086707
1925,0.00032835936872288585
1926,0.0003196839534211904
1927,0.00035189365735277534
1928,0.000329970964230597
1929,0.0003708275035023689
1930,0.0003597908653318882
1931,0.0003445607435423881
1932,0.0003749403404071927
1933,0.0003692269092425704
1934,0.00032003846717998385
1935,0.00031648389995098114
1936,0.00031044482602737844
1937,0.0003516759898047894
1938,0.000327530549839139
1939,0.00033537420677021146
1940,0.00032089510932564735
1941,0.00032760572503320873
1942,0.00030814961064606905
1943,0.0002962574071716517
1944,0.00029887747950851917
1945,0.0002972210349980742
1946,0.0002782215306069702
1947,0.00028832285897806287
1948,0.0002762713993433863
1949,0.0002915685763582587
1950,0.0002729471889324486
1951,0.0002778240595944226
1952,0.0002680400211829692
1953,0.00029472235473804176
1954,0.0002788066922221333
1955,0.0002953008806798607
1956,0.00027023706934414804
1957,0.00027474339003674686
1958,0.00027176697039976716
1959,0.0002820701338350773
1960,0.0002697739109862596
1961,0.0002747742983046919
1962,0.00024787680013105273
1963,0.00026395052555017173
1964,0.00024385331198573112
1965,0.0002630351227708161
1966,0.0002580512373242527
1967,0.0002785326505545527
1968,0.0002528485201764852
1969,0.00027755406335927546
1970,0.00026673785760067403
1971,0.00027180492179468274
1972,0.00027105872868560255
1973,0.000245670264121145
1974,0.00023408225388266146
1975,0.00022706418531015515
1976,0.00021846660820301622
1977,0.00021774588094558567
1978,0.00021764168923255056
1979,0.00020543528080452234
1980,0.00020525329455267638
1981,0.00020023257820867002
1982,0.0001985233830055222
1983,0.00020098408276680857
1984,0.00018965182243846357
1985,0.0001955343032022938
1986,0.00018163079221267253
1987,0.0001893163425847888
1988,0.00018832244677469134
1989,0.00018948684737551957
1990,0.0001981927634915337
1991,0.00018991681281477213
1992,0.00019849039381369948
1993,0.0002206641947850585
