,sex
1800,2.7513371605891734e-05
1801,2.9658469429705292e-05
1802,2.61070435954025e-05
1803,2.7303609385853633e-05
1804,3.563395148376003e-05
1805,2.2657945009996183e-05
1806,2.775426946755033e-05
1807,2.4962360839708708e-05
1808,3.538599412422627e-05
1809,2.2898231691215187e-05
1810,2.7873289582203142e-05
1811,3.242033926653676e-05
1812,1.764577791618649e-05
1813,2.0175577446934767e-05
1814,1.9427381630521268e-05
1815,1.9155861082253978e-05
1816,1.7385986211593263e-05
1817,2.3030321244732477e-05
1818,2.0132407371420413e-05
1819,2.0648383724619634e-05
1820,2.4566787033108994e-05
1821,2.16197131521767e-05
1822,2.253033744636923e-05
1823,2.8599870347534306e-05
1824,2.7236661480856128e-05
1825,2.188346661569085e-05
1826,2.080534613924101e-05
1827,2.253685670439154e-05
1828,1.8641032511368394e-05
1829,1.8352415281697176e-05
1830,1.825227627705317e-05
1831,1.8288958017365076e-05
1832,1.8137579900212586e-05
1833,2.0538320313789882e-05
1834,1.893304579425603e-05
1835,2.370058609812986e-05
1836,1.9046126908506267e-05
1837,2.0676507119787857e-05
1838,1.8254895621794276e-05
1839,1.8466176697984338e-05
1840,1.9739118215511553e-05
1841,1.9831948520732112e-05
1842,1.7576594473212026e-05
1843,1.8439724954077974e-05
1844,1.679917477304116e-05
1845,1.628886820981279e-05
1846,1.613140011613723e-05
1847,1.4936920706531964e-05
1848,1.7301224943366833e-05
1849,1.5681356671848334e-05
1850,1.593650995346252e-05
1851,1.5663972590118647e-05
1852,1.7186386685352772e-05
1853,1.6483545550727285e-05
1854,1.7988433683058247e-05
1855,1.6566094927839004e-05
1856,1.7076905351132154e-05
1857,1.6547237464692444e-05
1858,1.5351721231127158e-05
1859,1.686891664576251e-05
1860,1.5235734281304758e-05
1861,1.497777793701971e-05
1862,1.546808380226139e-05
1863,1.4318747162178624e-05
1864,1.4294745596998837e-05
1865,1.3824538655171636e-05
1866,1.4676867976959329e-05
1867,1.4231344721338246e-05
1868,1.537217576697003e-05
1869,1.657671782595571e-05
1870,1.620514740352519e-05
1871,1.6904315998544917e-05
1872,1.4919683053449262e-05
1873,1.6510866771568544e-05
1874,1.6270514606731012e-05
1875,1.545165287097916e-05
1876,1.520678233646322e-05
1877,1.3935399692854844e-05
1878,1.3982134078105446e-05
1879,1.3195363862905651e-05
1880,1.3663378013006877e-05
1881,1.4379561434907373e-05
1882,1.3479455446940847e-05
1883,1.613772656128276e-05
1884,1.3536400729208253e-05
1885,1.2797117051377427e-05
1886,1.2772856280207634e-05
1887,1.2652690202230588e-05
1888,1.2727346074825618e-05
1889,1.3218892490840517e-05
1890,1.3376416063692886e-05
1891,1.3371645763982087e-05
1892,1.4399226529349107e-05
1893,1.4595158063457347e-05
1894,1.4098115570959635e-05
1895,1.4832075976300985e-05
1896,1.5220750356093049e-05
1897,1.4249369996832684e-05
1898,1.4139170161797665e-05
1899,1.3471062629832886e-05
1900,1.3948969353805296e-05
1901,1.2972184777026996e-05
1902,1.4641030247730669e-05
1903,1.3113403838360682e-05
1904,1.2651485121750738e-05
1905,1.212644565384835e-05
1906,1.2847747711930424e-05
1907,1.3067889085505158e-05
1908,1.2462953236536123e-05
1909,1.2778561540471856e-05
1910,1.445202997274464e-05
1911,2.3667134882998653e-05
1912,1.6688609321136028e-05
1913,1.8096259736921638e-05
1914,1.8561295291874558e-05
1915,1.619505746930372e-05
1916,1.619772592675872e-05
1917,1.579074887558818e-05
1918,1.5308776710298844e-05
1919,1.6194509953493252e-05
1920,1.7873584511107765e-05
1921,1.8025686586042866e-05
1922,1.9058812540606596e-05
1923,1.91181170521304e-05
1924,1.972377867787145e-05
1925,2.046307963610161e-05
1926,2.171698179154191e-05
1927,2.2755591999157332e-05
1928,2.1062089217593893e-05
1929,2.5355044272146188e-05
1930,2.4440345441689715e-05
1931,2.5968623958760872e-05
1932,2.5611276214476675e-05
1933,2.5967172405216843e-05
1934,2.3783344659022987e-05
1935,2.221211980213411e-05
1936,2.5210478270309977e-05
1937,2.471326843078714e-05
1938,2.593326280475594e-05
1939,2.5387475034222007e-05
1940,2.4703647795831785e-05
1941,2.385106017754879e-05
1942,2.3373249860014766e-05
1943,2.1088389985379763e-05
1944,2.1011175704188645e-05
1945,2.0774903532583266e-05
1946,2.2274150978773832e-05
1947,2.3188742488855496e-05
1948,2.7117795980302617e-05
1949,2.5160315999528393e-05
1950,2.546158248151187e-05
1951,2.408256295893807e-05
1952,2.725695048866328e-05
1953,2.708683314267546e-05
1954,2.4764369300100952e-05
1955,2.5756840841495432e-05
1956,2.4943814423750155e-05
1957,2.471369043632876e-05
1958,2.511951061023865e-05
1959,2.5841251044766977e-05
1960,2.7763786420109682e-05
1961,2.8028460292262025e-05
1962,2.951748865598347e-05
1963,3.157989340252243e-05
1964,3.1733285140944645e-05
1965,3.2624349842080846e-05
1966,3.2045223633758724e-05
1967,3.2687235943740234e-05
1968,3.243090395699255e-05
1969,3.639318674686365e-05
1970,3.9029739127727225e-05
1971,4.507447374635376e-05
1972,4.5237346057547256e-05
1973,4.525767144514248e-05
1974,4.818977686227299e-05
1975,5.264209539745934e-05
1976,5.2413466619327664e-05
1977,5.266309017315507e-05
1978,5.4526437452295795e-05
1979,5.479193714563735e-05
1980,5.4464606364490464e-05
1981,5.233654155745171e-05
1982,5.3098683565622196e-05
1983,5.540988058783114e-05
1984,5.081982089905068e-05
1985,5.157545820111409e-05
1986,4.941848965245299e-05
1987,5.0476421165512875e-05
1988,4.988335058442317e-05
1989,4.875435843132436e-05
1990,4.8932823119685054e-05
1991,4.9091773689724505e-05
1992,5.2147162932669744e-05
1993,5.632956890622154e-05
1994,5.4248223023023456e-05
1995,5.245072316029109e-05
1996,5.492678610607982e-05
1997,5.52845376660116e-05
1998,5.7484481658320874e-05
1999,5.6528780987719074e-05
2000,5.59103318664711e-05
2001,5.529521149583161e-05
2002,5.945085649727844e-05
2003,5.84342451475095e-05
2004,6.290013698162511e-05
2005,6.245181430131197e-05
2006,6.210108404047787e-05
2007,6.263349496293813e-05
2008,6.204080273164436e-05
2009,6.66460909997113e-05
2010,6.690762529615313e-05
2011,6.508098886115476e-05
2012,6.394910451490432e-05
2013,7.189760071923956e-05
2014,7.175071368692443e-05
2015,6.950704118935391e-05
2016,7.223523425636813e-05
2017,6.535257853101939e-05
2018,6.151238630991429e-05
2019,6.206210673553869e-05
