,shall
1800,0.0011193612590432167
1801,0.0011920258402824402
1802,0.001136690960265696
1803,0.0013253906508907676
1804,0.0011901473626494408
1805,0.0011188819771632552
1806,0.0011582542210817337
1807,0.0011830630246549845
1808,0.001628591911867261
1809,0.0011938137467950583
1810,0.0012577836168929935
1811,0.0014426769921556115
1812,0.0013409145176410675
1813,0.0012569407699629664
1814,0.0012445551110431552
1815,0.0012816848466172814
1816,0.0013749240897595882
1817,0.001184131484478712
1818,0.0012853280641138554
1819,0.0013169890735298395
1820,0.0013394620036706328
1821,0.001472001546062529
1822,0.0013858204474672675
1823,0.0015052792150527239
1824,0.0012054952094331384
1825,0.0013108454877510667
1826,0.0012829022016376257
1827,0.0013328178320080042
1828,0.0013216094812378287
1829,0.0012391858035698533
1830,0.0011949308682233095
1831,0.001283358782529831
1832,0.0012894973624497652
1833,0.0012288254220038652
1834,0.0012526984792202711
1835,0.0011594166280701756
1836,0.0013806055067107081
1837,0.0013950362335890532
1838,0.0013111724983900785
1839,0.001268911873921752
1840,0.0012746885186061263
1841,0.0012731502065435052
1842,0.001220116624608636
1843,0.0012655589962378144
1844,0.0012133294949308038
1845,0.0012870151549577713
1846,0.0012922149617224932
1847,0.0012953842524439096
1848,0.0011635865084826946
1849,0.001204628380946815
1850,0.0012714259792119265
1851,0.001315332599915564
1852,0.0012222235091030598
1853,0.0012359097599983215
1854,0.0011570925125852227
1855,0.0011595562100410461
1856,0.0011851864401251078
1857,0.0012203212827444077
1858,0.0011095334775745869
1859,0.0011477337684482336
1860,0.001109065255150199
1861,0.0012439264683052897
1862,0.00124199443962425
1863,0.0011781870853155851
1864,0.001130381366237998
1865,0.0011529630282893777
1866,0.001211928785778582
1867,0.0012221075594425201
1868,0.0012585243675857782
1869,0.00118654512334615
1870,0.0012224460951983929
1871,0.0012234295718371868
1872,0.0011830178555101156
1873,0.0011911931214854121
1874,0.001126117305830121
1875,0.0011175164254382253
1876,0.001070171594619751
1877,0.0010953237069770694
1878,0.0010022142669185996
1879,0.0009946704376488924
1880,0.000959043565671891
1881,0.0010623130947351456
1882,0.0009941390017047524
1883,0.0009498783037997782
1884,0.0009606683743186295
1885,0.000987919163890183
1886,0.0009245242108590901
1887,0.0010489883134141564
1888,0.0009775686776265502
1889,0.0010928739793598652
1890,0.000996583723463118
1891,0.0010478559415787458
1892,0.0009764754795469344
1893,0.000966448918916285
1894,0.0010370732052251697
1895,0.0010481333592906594
1896,0.0010012552374973893
1897,0.0010340423323214054
1898,0.0009723951225169003
1899,0.0010343294125050306
1900,0.0009624648373574018
1901,0.0010626341681927443
1902,0.0009263012325391173
1903,0.0010191925102844834
1904,0.0010235783411189914
1905,0.0010207879822701216
1906,0.000963446160312742
1907,0.00106383569072932
1908,0.0009372346103191376
1909,0.0011593897361308336
1910,0.0009559259633533657
