,should
1800,0.0010822878684848547
1801,0.001102438778616488
1802,0.0011177624110132456
1803,0.0011049965396523476
1804,0.0011817289050668478
1805,0.0011780187487602234
1806,0.0012035613181069493
1807,0.0011657180730253458
1808,0.0012521683238446712
1809,0.0012373334029689431
1810,0.0011618747375905514
1811,0.0012505834456533194
1812,0.0014494246570393443
1813,0.0011950746411457658
1814,0.0012536428403109312
1815,0.0012297213543206453
1816,0.0013287786860018969
1817,0.0012566817458719015
1818,0.0012139473110437393
1819,0.0011245853966102004
1820,0.001249889493919909
1821,0.0011888297740370035
1822,0.0011629399377852678
1823,0.0011618889402598143
1824,0.0011846250854432583
1825,0.0012302183313295245
1826,0.0012452421942725778
1827,0.0011810101568698883
1828,0.0011910194298252463
1829,0.0012019425630569458
1830,0.001244790619239211
1831,0.0012369996402412653
1832,0.0011193609097972512
1833,0.001262206002138555
1834,0.0012154813157394528
1835,0.0012020630529150367
1836,0.0012147363740950823
1837,0.0012020671274513006
1838,0.0012273768661543727
1839,0.0011813566088676453
1840,0.0011920295655727386
1841,0.0011231392854824662
1842,0.0011109104380011559
1843,0.0011514518409967422
1844,0.0011665417114272714
1845,0.001110000186599791
1846,0.0011531608179211617
1847,0.0011455031344667077
1848,0.001148877665400505
1849,0.0011611361987888813
1850,0.0011503029381856322
1851,0.0011343210935592651
1852,0.0011376431211829185
1853,0.0011959383264183998
1854,0.0010983113897964358
1855,0.0011242919135838747
1856,0.0010988563299179077
1857,0.0010759214637801051
1858,0.001107550342567265
1859,0.0010771903907880187
1860,0.0011040186509490013
1861,0.0010970700532197952
1862,0.0010690592462196946
1863,0.001065089600160718
1864,0.0010945599060505629
1865,0.0010747757041826844
1866,0.0010813314002007246
1867,0.0010857494780793786
1868,0.0010839789174497128
1869,0.0010872595012187958
1870,0.0010764437029138207
1871,0.0010876944288611412
1872,0.0010591844329610467
1873,0.0010367176728323102
1874,0.0010489604901522398
1875,0.0010551760205999017
1876,0.0010400998871773481
1877,0.0010379410814493895
1878,0.0010381228057667613
1879,0.0010508070699870586
1880,0.0010204236023128033
1881,0.0010342804016545415
1882,0.0010625517461448908
1883,0.001028684084303677
1884,0.0010462263599038124
1885,0.0010368307121098042
1886,0.0010635997168719769
1887,0.0010393940610811114
1888,0.0010441498598083854
1889,0.0010138775687664747
1890,0.001025437843054533
1891,0.0009944747434929013
1892,0.001021694391965866
1893,0.0010127295972779393
1894,0.0010448930552229285
1895,0.0010024970397353172
