,source
1800,4.471270221984014e-05
1801,4.684515079134144e-05
1802,4.9959999159909785e-05
1803,4.1348757804371417e-05
1804,5.006890569347888e-05
1805,4.8075202357722446e-05
1806,4.604908826877363e-05
1807,4.8970134230330586e-05
1808,4.015938611701131e-05
1809,4.285907562007196e-05
1810,4.326569614931941e-05
1811,4.094966425327584e-05
1812,4.124904808122665e-05
1813,4.43694916612003e-05
1814,4.5573378884000704e-05
1815,5.0663442380027846e-05
1816,4.3363124859752133e-05
1817,5.059210889157839e-05
1818,5.3431798733072355e-05
1819,5.297945608617738e-05
1820,4.8992038500728086e-05
1821,4.4681910367216915e-05
1822,4.8748224799055606e-05
1823,4.707799234893173e-05
1824,5.0207891035825014e-05
1825,4.796965004061349e-05
1826,5.025828068028204e-05
1827,4.8859117669053376e-05
1828,5.2109273383393884e-05
1829,5.2922143368050456e-05
1830,5.2941482863388956e-05
1831,5.1029292080784217e-05
1832,5.353023516363464e-05
1833,5.629191218758933e-05
1834,5.465847425512038e-05
1835,5.575177783612162e-05
1836,5.560379213420674e-05
1837,5.1772665756288916e-05
1838,5.05566640640609e-05
1839,5.140684879734181e-05
1840,5.169531505089253e-05
1841,5.265758954919875e-05
1842,5.184390101931058e-05
1843,5.595198308583349e-05
1844,4.7863075451459736e-05
1845,4.858691318077035e-05
1846,4.9572969146538526e-05
1847,4.879322659689933e-05
1848,5.073153806733899e-05
1849,4.9723064876161516e-05
1850,5.092471110401675e-05
1851,4.924439053866081e-05
1852,4.8055451770778745e-05
1853,4.68607759103179e-05
1854,4.997592623112723e-05
1855,5.007097206544131e-05
1856,4.827145312447101e-05
1857,4.619283936335705e-05
1858,4.901437205262482e-05
1859,4.761175296152942e-05
1860,4.788854857906699e-05
1861,4.67204226879403e-05
1862,4.677530887420289e-05
1863,4.732752495328896e-05
1864,4.6576147724408656e-05
1865,4.6960140025475994e-05
1866,4.6616376494057477e-05
1867,4.556839121505618e-05
1868,4.532646562438458e-05
1869,4.614285353454761e-05
1870,4.6044602640904486e-05
1871,4.602779881679453e-05
1872,4.734135654871352e-05
1873,4.6832083171466365e-05
1874,4.728146086563356e-05
1875,4.7249061026377603e-05
1876,4.6315286454046145e-05
1877,4.6407101763179526e-05
1878,4.724042082671076e-05
1879,4.76553977932781e-05
