,special
1800,4.4200769480085e-05
1801,3.089390156674199e-05
1802,3.0085338948993012e-05
1803,3.079616362811066e-05
1804,2.5336737962788902e-05
1805,2.872964250855148e-05
1806,3.1953280995367095e-05
1807,3.428614218137227e-05
1808,3.89869419450406e-05
1809,3.747658047359437e-05
1810,3.1474613933824e-05
1811,4.331718446337618e-05
1812,3.622748045017943e-05
1813,3.752581324079074e-05
1814,3.590644701034762e-05
1815,3.9613398257642984e-05
1816,5.007364961784333e-05
1817,4.428637839737348e-05
1818,4.28457569796592e-05
1819,4.622756387107074e-05
1820,4.011024066130631e-05
1821,4.248371988069266e-05
1822,4.748572609969415e-05
1823,4.37804264947772e-05
1824,4.8061679990496486e-05
1825,4.275293758837506e-05
1826,5.334466914064251e-05
1827,4.798599547939375e-05
1828,5.095085361972451e-05
1829,4.79618065583054e-05
1830,5.442669862532057e-05
1831,5.433784826891497e-05
1832,8.158099080901593e-05
1833,5.28848722751718e-05
1834,5.6778982980176806e-05
1835,6.053743345546536e-05
1836,6.34863245068118e-05
1837,6.100505561335012e-05
1838,6.589321856154129e-05
1839,6.333354394882917e-05
1840,6.22758234385401e-05
1841,6.374817894538864e-05
1842,6.190851127030328e-05
1843,6.906312046339735e-05
1844,6.98080548318103e-05
1845,7.202044071163982e-05
1846,7.603281846968457e-05
1847,8.351904398296028e-05
1848,7.530194852733985e-05
1849,8.019369124667719e-05
1850,7.954297325341031e-05
1851,8.684206113684922e-05
1852,8.613695536041632e-05
1853,8.65962720126845e-05
1854,8.771332068135962e-05
1855,9.267222776543349e-05
1856,9.379579569213092e-05
1857,9.84275684459135e-05
1858,0.00010510776337468997
1859,0.00010734509123722091
1860,0.00010874994768528268
1861,0.00011755327432183549
1862,0.00011840523802675307
1863,0.00012351840268820524
1864,0.00012353574857115746
1865,0.0001290153741138056
1866,0.00012808818428311497
1867,0.00013465597294270992
1868,0.00014349304547067732
1869,0.00014108775940258056
1870,0.00015069943037815392
1871,0.00014714723511133343
1872,0.0001564856938784942
1873,0.0001597525697434321
1874,0.00016452494310215116
1875,0.00016182583931367844
1876,0.0001670444180490449
1877,0.00016867191880010068
1878,0.00016711729404050857
1879,0.00017055202624760568
1880,0.00016817409778013825
1881,0.00017139752162620425
1882,0.00017020641826093197
1883,0.00017430129810236394
1884,0.0001797125005396083
1885,0.00018217651813756675
1886,0.00018904093303717673
1887,0.00018585115321911871
1888,0.00018043469754047692
1889,0.00018588524835649878
1890,0.00019034896104130894
1891,0.00019854177662637085
1892,0.00019626072025857866
1893,0.0002021218533627689
1894,0.000195461354451254
1895,0.0002029413590207696
1896,0.00019867853552568704
1897,0.00020416246843524277
1898,0.0002043386921286583
1899,0.00019583276298362762
1900,0.00019711350614670664
1901,0.00021078487043268979
1902,0.00020777260942850262
1903,0.00021284312242642045
1904,0.0002068546018563211
1905,0.00021734506299253553
1906,0.00021621648920699954
1907,0.00022447384253609926
1908,0.00022725248709321022
1909,0.00023061491083353758
1910,0.00023033628531266004
1911,0.00023657220299355686
1912,0.00023087896988727152
1913,0.0002398446958977729
1914,0.0002429440792184323
1915,0.0002486268349457532
1916,0.00024085880431812257
1917,0.0002466813602950424
1918,0.000250147219048813
1919,0.0002535155799705535
1920,0.0002449375460855663
1921,0.0002485207805875689
1922,0.00024139990273397416
1923,0.00023853048332966864
1924,0.00023624731693416834
1925,0.00023558973043691367
1926,0.0002312253345735371
1927,0.00023618567502126098
1928,0.00023133127251639962
1929,0.00023913191398605704
1930,0.0002412425383226946
1931,0.00024344513076357543
1932,0.00024051689251791686
1933,0.00024397535889875144
1934,0.00023789422994013876
1935,0.0002324270608369261
1936,0.0002407269348623231
1937,0.00024139639572240412
1938,0.00024334796762559563
1939,0.0002453319320920855
1940,0.00023677632270846516
1941,0.00023533098283223808
1942,0.00023568958567921072
1943,0.00024255648895632476
1944,0.0002453646156936884
1945,0.0002503572031855583
1946,0.000241330562857911
1947,0.0002486715093255043
1948,0.00024281015794258565
1949,0.0002407881838735193
1950,0.00023306084040086716
1951,0.0002414971386315301
1952,0.00023632074589841068
1953,0.00023774236615281552
1954,0.00024211910204030573
1955,0.0002429729065624997
1956,0.00023968979076016694
1957,0.00023937743389979005
1958,0.0002364388928981498
1959,0.00024006026796996593
1960,0.00023787586542312056
1961,0.000232937018154189
1962,0.00022535266180057079
1963,0.00022712460486218333
1964,0.00022130201978143305
1965,0.00022194669872988015
1966,0.0002200092130806297
1967,0.0002197075664298609
1968,0.0002146181504940614
1969,0.00021409514010883868
1970,0.00020833071903325617
1971,0.00021223738440312445
1972,0.00020841702644247562
1973,0.00021177362941671163
1974,0.00021159272000659257
1975,0.00021123244368936867
1976,0.00020558155665639788
1977,0.0002075964875984937
1978,0.00020426926494110376
1979,0.0002008769370149821
1980,0.00020115483494009823
1981,0.00019516631436999887
1982,0.0001919990754686296
1983,0.00018991010438185185
1984,0.00018521661695558578
1985,0.0001881636562757194
1986,0.0001854436268331483
1987,0.0001835481816669926
1988,0.0001802185142878443
1989,0.00017709974781610072
1990,0.0001778200239641592
1991,0.00017106175073422492
1992,0.00017196156841237098
1993,0.00016771710943430662
1994,0.00016568916907999665
1995,0.00016302602307405323
1996,0.000159305491251871
1997,0.0001615127403056249
1998,0.00015528009680565447
1999,0.00015398176037706435
2000,0.00015244248788803816
2001,0.00014826437109149992
2002,0.0001481587387388572
2003,0.0001448777038604021
2004,0.0001415821461705491
2005,0.00014199432916939259
2006,0.00013800770102534443
2007,0.0001336722052656114
2008,0.00012959318701177835
2009,0.00012649293057620525
2010,0.00012325996067374945
2011,0.00011894408089574426
2012,0.00011619519500527531
2013,0.00011685601930366829
2014,0.00010995958291459829
2015,0.00010739159188233316
2016,0.0001058972702594474
2017,9.898479765979573e-05
2018,9.487438364885747e-05
2019,9.95559457805939e-05
