,still
1800,0.0004297332197893411
1801,0.0003854669339489192
1802,0.00040923041524365544
1803,0.0003484632179606706
1804,0.0004256571992300451
1805,0.0004284254100639373
1806,0.00041909536230377853
1807,0.00040678674122318625
1808,0.0004033661389257759
1809,0.0003927032230421901
1810,0.00041694234823808074
1811,0.00039711702265776694
1812,0.00038134914939291775
1813,0.00038701717858202755
1814,0.00040832775994203985
1815,0.00040389722562395036
1816,0.0003681052185129374
1817,0.00040119857294484973
1818,0.00040717865340411663
1819,0.00039998971624299884
1820,0.00041764017078094184
1821,0.00042307013063691556
1822,0.0004316692939028144
1823,0.000416018272517249
1824,0.00042882331763394177
1825,0.000433105044066906
1826,0.00042058457620441914
1827,0.0004326118796598166
1828,0.0004310800868552178
1829,0.0004279152781236917
1830,0.00043820543214678764
1831,0.00042181607568636537
1832,0.00035098291118629277
1833,0.0004372228286229074
1834,0.00042048582690767944
1835,0.00044084532419219613
1836,0.0004337989666964859
1837,0.0004313733661547303
1838,0.00043208315037190914
1839,0.0004315736296121031
1840,0.00043689084122888744
1841,0.00044075126061215997
1842,0.00043859262950718403
1843,0.00042869464959949255
1844,0.000435163063229993
1845,0.00044488837011158466
1846,0.00043448517681099474
1847,0.0004397369339130819
1848,0.0004394671705085784
1849,0.0004479193885345012
1850,0.0004355743294581771
1851,0.0004263139853719622
1852,0.00042810908053070307
1853,0.00043101818300783634
1854,0.00044376496225595474
1855,0.0004297108098398894
1856,0.000432495929999277
1857,0.00042558371205814183
1858,0.0004178246599622071
1859,0.000416921335272491
1860,0.0004154054040554911
1861,0.0004097790224477649
1862,0.000416977156419307
1863,0.00041969181620515883
1864,0.0004159011004958302
1865,0.00042067316826432943
1866,0.00040992541471496224
1867,0.00039966314216144383
1868,0.0003943616175092757
1869,0.0004053307930007577
1870,0.00039841042598709464
1871,0.0003985447692684829
1872,0.00038863555528223515
1873,0.0003966155636589974
1874,0.00039054403896443546
1875,0.00039746370748616755
1876,0.00039121077861636877
1877,0.00037929273094050586
1878,0.00038542255060747266
1879,0.00037888836232014
1880,0.000388367916457355
1881,0.0003796493401750922
1882,0.0003817036631517112
1883,0.0003852243535220623
1884,0.00036598130827769637
1885,0.000367459753761068
1886,0.0003541949263308197
1887,0.0003487206413410604
1888,0.00035496061900630593
1889,0.00034579215571284294
1890,0.00036485306918621063
1891,0.00035191289498470724
1892,0.0003579843614716083
1893,0.0003519884485285729
1894,0.00034976599272340536
1895,0.0003368113248143345
1896,0.00034758332185447216
1897,0.000333109637722373
1898,0.0003413163067307323
1899,0.00035477455821819603
1900,0.00034372691879980266
1901,0.00032578446553088725
1902,0.000326918758219108
1903,0.00031871930696070194
1904,0.0003228154091630131
1905,0.00030762344249524176
1906,0.0003084474883507937
1907,0.0003053245600312948
1908,0.00030115043045952916
1909,0.0002953076036646962
1910,0.0003002141893375665
1911,0.00029308433295227587
1912,0.00028489288524724543
1913,0.00027857645181939006
1914,0.0002764105738606304
1915,0.00026686579803936183
1916,0.0002665921638254076
1917,0.00026418938068673015
1918,0.000271874014288187
1919,0.000276782811852172
1920,0.00028996565379202366
1921,0.0002866267750505358
1922,0.00029476251802407205
1923,0.00029289143276400864
1924,0.00029195431852713227
1925,0.0002875755599234253
1926,0.00029700121376663446
1927,0.0002954235242214054
1928,0.00029073271434754133
1929,0.0002926959714386612
1930,0.0002915958466473967
1931,0.0002818962966557592
1932,0.0002897102967835963
1933,0.00027969758957624435
1934,0.00029236619593575597
1935,0.00028493726858869195
1936,0.00028650430613197386
1937,0.00028554556774906814
1938,0.0002862642577383667
1939,0.00027127325301989913
1940,0.0002729852858465165
1941,0.0002659090096130967
1942,0.0002808297867886722
1943,0.000279212516034022
1944,0.00029196476680226624
