,students
1800,1.0691046554711647e-05
1801,1.0539652976149227e-05
1802,1.0715326425270177e-05
1803,8.267445991805289e-06
1804,1.119106946134707e-05
1805,1.1535616977198515e-05
1806,1.1390650797693525e-05
1807,1.3763573406322394e-05
1808,1.1617192285484634e-05
1809,1.0808428669406567e-05
1810,1.1426408491388429e-05
1811,1.1529501534823794e-05
1812,8.548697223886847e-06
1813,1.2253326531208586e-05
1814,1.2209997294121422e-05
1815,1.1910587090824265e-05
1816,1.0838405614777002e-05
1817,2.022046101046726e-05
1818,1.5804704162292182e-05
1819,1.7341659258818254e-05
1820,1.545469422126189e-05
1821,1.55891029862687e-05
1822,1.4192587514116894e-05
1823,1.5413739674841054e-05
1824,1.611054722161498e-05
1825,1.700649954727851e-05
1826,1.720275577099528e-05
1827,1.844445250753779e-05
1828,1.9034558135899715e-05
1829,2.053064963547513e-05
1830,1.7755985027179122e-05
1831,2.2580657969228923e-05
1832,2.352164483454544e-05
1833,2.2918646209291182e-05
1834,1.9749126295209862e-05
1835,2.3656477424083278e-05
1836,2.00380109163234e-05
1837,2.367605884501245e-05
1838,2.0144545487710275e-05
1839,1.8849214029614814e-05
1840,1.8189282855018973e-05
1841,1.9409331798669882e-05
1842,2.095674972224515e-05
1843,1.996089304157067e-05
1844,1.9442370103206486e-05
1845,2.053019852610305e-05
1846,2.0178134946036153e-05
1847,2.0480765670072287e-05
1848,2.0108456737943925e-05
1849,2.0447214410523884e-05
1850,2.2956804968998767e-05
1851,2.4475577447446994e-05
1852,2.4164090064004995e-05
1853,2.4443537768092938e-05
1854,2.942161518149078e-05
1855,2.7829240934806876e-05
1856,2.3377162506221794e-05
1857,2.3728855012450367e-05
1858,2.772659354377538e-05
1859,2.8995027605560608e-05
1860,2.588706774986349e-05
1861,3.0028135370230302e-05
1862,2.658794073795434e-05
1863,2.7016729291062802e-05
1864,2.651755858096294e-05
1865,2.841743298631627e-05
1866,2.607992064440623e-05
1867,3.3485808671684936e-05
1868,3.6049106711288914e-05
1869,3.9529073546873406e-05
1870,3.9627033402211964e-05
1871,3.963464769185521e-05
1872,4.4872936996398494e-05
1873,4.598266605171375e-05
1874,4.585817441693507e-05
1875,4.65719640487805e-05
1876,4.479160634218715e-05
1877,4.768703001900576e-05
1878,5.3037365432828665e-05
1879,4.972283204551786e-05
1880,4.37491835327819e-05
1881,4.9348160246154293e-05
1882,4.378831363283098e-05
1883,4.721356890513562e-05
1884,5.254011193756014e-05
1885,4.918591002933681e-05
1886,5.316731767379679e-05
1887,5.029616295360029e-05
1888,5.126837277202867e-05
1889,5.316061287885532e-05
1890,5.7824163377517834e-05
1891,6.356777157634497e-05
1892,5.909929677727632e-05
1893,6.56771517242305e-05
1894,6.906834460096434e-05
1895,6.421517173293978e-05
1896,6.717722862958908e-05
1897,6.37941702734679e-05
1898,7.05412749084644e-05
1899,6.137515447335318e-05
1900,7.13876070221886e-05
1901,6.94410118740052e-05
1902,7.806764187989756e-05
1903,7.526393892476335e-05
1904,7.131371967261657e-05
1905,7.668355101486668e-05
1906,7.184306741692126e-05
1907,7.415683649014682e-05
1908,7.698869740124792e-05
1909,7.54217617213726e-05
1910,8.023863483686e-05
1911,7.267880573635921e-05
1912,8.007315773284063e-05
1913,8.341266220668331e-05
1914,8.185237675206736e-05
1915,8.598672866355628e-05
1916,8.22620204417035e-05
1917,8.438669465249404e-05
1918,7.970714796101674e-05
1919,8.677383448230103e-05
1920,8.470427565043792e-05
1921,8.347338734893128e-05
1922,8.573040395276621e-05
1923,9.309805318480358e-05
1924,9.720089292386547e-05
1925,9.53293711063452e-05
1926,0.00010972838936140761
1927,0.00010806529462570325
1928,0.00010956276673823595
1929,0.00011166719923494384
1930,0.0001166648871731013
1931,0.00011135134991491213
1932,0.00012141885963501409
1933,0.00011875257041538134
1934,0.00011567857291083783
1935,0.00010965217370539904
1936,0.00011414310574764386
1937,0.00011549325427040458
1938,0.00011627664935076609
1939,0.00011530283518368378
1940,0.00012703437823802233
1941,0.00011720915063051507
1942,0.00012288895959500223
1943,0.00011225674097659066
1944,0.00011917593656107783
1945,0.00010746016050688922
1946,0.00011471255857031792
1947,0.00011598036508075893
1948,0.00012415301171131432
1949,0.00011440845992183313
1950,0.00011319178156554699
1951,0.00011411276500439271
1952,0.00011589849600568414
1953,0.00011880545207532123
1954,0.00012028247147100046
1955,0.00012159728066762909
1956,0.0001267072366317734
1957,0.0001228177425218746
1958,0.00013436326116789132
1959,0.00012494035763666034
1960,0.00013913525617681444
1961,0.00013958077761344612
1962,0.00013442618364933878
1963,0.00013776205014437437
1964,0.00013762614980805665
1965,0.00014743210340384394
1966,0.00014176295371726155
1967,0.0001497034536441788
1968,0.0001533060712972656
1969,0.00017124679288826883
1970,0.00016826592036522925
1971,0.00017189727805089206
1972,0.0001709788484731689
1973,0.0001518869976280257
1974,0.00015568982053082436
1975,0.00015746142889838666
1976,0.0001548500295029953
1977,0.00014922941045369953
1978,0.00015170710685197264
1979,0.00014272511180024594
1980,0.0001467518013669178
1981,0.00014152738731354475
1982,0.0001557260111439973
1983,0.00014753179857507348
1984,0.00014016219938639551
1985,0.00014720967737957835
1986,0.00014579958224203438
1987,0.0001493169693276286
1988,0.0001539140212116763
1989,0.00016236990632023662
1990,0.0001687338517513126
1991,0.00016610835155006498
1992,0.00016331351071130484
1993,0.00017846112314146012
1994,0.00017284051864407957
1995,0.00017661033780314028
1996,0.00018207488756161183
1997,0.00020150805357843637
1998,0.00019185339624527842
1999,0.00019863717898260802
2000,0.00019220620742999017
2001,0.00018973184342030436
2002,0.00020029049483127892
2003,0.00019451223488431424
2004,0.00021064413886051625
2005,0.00021587857918348163
2006,0.0002116161776939407
2007,0.000207306191441603
2008,0.00019609743321780115
2009,0.00019875071302521974
2010,0.0001977963838726282
2011,0.00019243314454797655
2012,0.0001642405695747584
2013,0.00018646602984517813
2014,0.00018091201491188258
2015,0.00019258313113823533
2016,0.0001945535623235628
2017,0.00016698986291885376
2018,0.00015334563795477152
2019,0.00017094454960897565
