,t
1800,0.0001890140410978347
1801,0.00018102927424479276
1802,0.00021455885143950582
1803,0.00016847551160026342
1804,0.0002123312879120931
1805,0.00018880912102758884
1806,0.00018143959459848702
1807,0.00020342753850854933
1808,0.00019349687499925494
1809,0.00017029065929818898
1810,0.0001929161953739822
1811,0.0001735652913339436
1812,0.000178204252733849
1813,0.00016851985128596425
1814,0.00017753387510310858
1815,0.00015835500380489975
1816,0.00016512205183971673
1817,0.00022842509497422725
1818,0.0001492780720582232
1819,0.00017195759573951364
1820,0.00012707512360066175
1821,0.00016291045176330954
1822,0.00013499896158464253
1823,0.00014904660929460078
1824,0.00015667176921851933
1825,0.0001496138866059482
1826,0.00014489605382550508
1827,0.00014794993330724537
1828,0.00013708675396628678
1829,0.00013067832333035767
1830,0.0001193223797599785
1831,0.00013478191976901144
1832,0.00012647360563278198
1833,0.00012964972120244056
1834,0.00013202997797634453
1835,0.00012372786295600235
1836,0.0001327495847363025
1837,0.00012839818373322487
1838,0.00013207380834501237
1839,0.00011519069084897637
1840,0.00011817721679108217
1841,0.00012571935076266527
1842,0.00012888407218270004
1843,0.00012779183452948928
1844,0.0001302395248785615
1845,0.0001261041034013033
1846,0.00012067175703123212
1847,0.0001167278824141249
1848,0.00011107092723250389
1849,0.00011333463771734387
1850,0.00014223053585737944
1851,0.0001389648241456598
1852,0.0001425506779924035
1853,0.00013750832295045257
1854,0.00014132210344541818
1855,0.000142233184305951
1856,0.0001503072417108342
1857,0.0001470462157158181
1858,0.00013641024997923523
1859,0.00013799469161313027
1860,0.00014805395039729774
1861,0.00013369355292525142
1862,0.00013069585838820785
1863,0.00013564809341914952
1864,0.0001345007767667994
1865,0.00014093775826040655
1866,0.0001553674228489399
1867,0.00014140423445496708
1868,0.0001373403356410563
1869,0.00013441513874568045
1870,0.00013403147750068456
1871,0.00013211622717790306
1872,0.00013978149218019098
1873,0.0001320159644819796
1874,0.00013406416110228747
1875,0.00013786234194412827
1876,0.00013302643492352217
1877,0.0001374475978082046
1878,0.00014523722347803414
1879,0.00014107342576608062
1880,0.00015119946328923106
1881,0.00013387904618866742
1882,0.0001453043514629826
1883,0.00013902188220527023
1884,0.0001350984093733132
1885,0.00013765272160526365
1886,0.00013697092072106898
1887,0.0001358082954538986
1888,0.0001372686674585566
1889,0.00013892128481529653
1890,0.0001427474053343758
1891,0.00013962635421194136
1892,0.00012975058052688837
1893,0.00012842396972700953
1894,0.000124100421089679
1895,0.0001265937025891617
1896,0.00012576095468830317
1897,0.00012268664431758225
1898,0.0001240970887010917
1899,0.00011874431220348924
1900,0.00012060502922395244
1901,0.00012417997641023248
1902,0.0001198179234052077
1903,0.00012072116078343242
1904,0.00011573181109270081
1905,0.00011382366210455075
1906,0.00011465858551673591
1907,0.00011243896005908027
1908,0.00011651542445179075
1909,0.00010907494288403541
1910,0.00011079756950493902
1911,0.00012100722233299166
1912,0.00010598556400509551
1913,0.00010981922241626307
1914,0.000107417261460796
1915,0.00010000761540140957
1916,0.00010388738155597821
1917,0.00010523417586227879
1918,0.00010604025737848133
1919,0.00011224261106690392
1920,0.00010605215356918052
1921,0.00010879291949095204
1922,0.00011051876208512112
1923,0.00010250201012240723
1924,0.00010401266627013683
1925,9.58607197389938e-05
1926,9.23098050407134e-05
1927,8.609248470747843e-05
1928,8.787425031187013e-05
1929,8.660980529384688e-05
1930,9.410273196408525e-05
1931,8.582659938838333e-05
1932,8.709437679499388e-05
1933,8.92384850885719e-05
1934,9.244153625331819e-05
1935,8.895324572222307e-05
1936,9.431294893147424e-05
1937,8.93626274773851e-05
1938,9.209416748490185e-05
1939,0.00010154535266337916
1940,9.704913827590644e-05
1941,0.00010116749763255939
1942,0.00010346857743570581
1943,0.00010528360871830955
1944,0.00011376687325537205
1945,0.00010637949890224263
1946,9.877031698124483e-05
1947,0.0001064445823431015
1948,0.00010173936607316136
1949,9.700503869680688e-05
1950,0.00010375622514402494
1951,0.00010262048454023898
1952,0.00010476950410520658
1953,0.00010283751180395484
1954,0.00010192530316999182
1955,0.00010394299170002341
1956,0.00010705070599215105
1957,0.00010669217590475455
1958,0.00010771648521767929
1959,0.00011013467883458361
1960,0.0001145871719927527
1961,0.00011291980626992881
1962,0.00011615091352723539
1963,0.00011754020670196041
1964,0.00011652819375740364
1965,0.00012263261305633932
1966,0.00011569219350349158
1967,0.00011319502664264292
1968,0.00011630413791863248
1969,0.00011347086547175422
1970,0.00011599310528254136
1971,0.00011919601820409298
1972,0.00011572301445994526
1973,0.00011355347669450566
1974,0.00012187897664261982
1975,0.00011783154332078993
1976,0.00012040972069371492
1977,0.0001230471534654498
1978,0.0001198559402837418
1979,0.00012576939479913563
1980,0.00012210311251692474
1981,0.00012581454939208925
1982,0.00012350108590908349
1983,0.00012135547149227932
1984,0.00012418661208357662
1985,0.000125702892546542
1986,0.00012503640027716756
1987,0.0001252439833479002
1988,0.00012216984760016203
1989,0.00012007430632365867
1990,0.00011778285988839343
1991,0.00011271961557213217
1992,0.00010869784455280751
1993,0.00010947806731564924
1994,0.00010569721052888781
1995,0.00010812111577251926
1996,0.00010443651262903586
1997,0.00010320554429199547
1998,0.00010072398436022922
1999,0.00010012259735958651
2000,9.547646186547354e-05
2001,9.733008482726291e-05
2002,0.00010006643424276263
2003,0.00010582452523522079
2004,0.00010175930219702423
2005,0.0001019559713313356
2006,9.730580495670438e-05
2007,9.725400013849139e-05
2008,9.711714665172622e-05
2009,0.00010190985631197691
2010,0.00010671727068256587
2011,0.00012403597065713257
2012,0.00012145122309448197
2013,0.00012980644532945007
