,that
1800,0.009796668775379658
1801,0.009538563899695873
1802,0.009743230417370796
1803,0.009374062530696392
1804,0.00968583021312952
1805,0.009724081493914127
1806,0.009906047955155373
1807,0.009575314819812775
1808,0.010090974159538746
1809,0.010376695543527603
1810,0.009782951325178146
1811,0.010392186231911182
1812,0.011278663761913776
1813,0.0098877539858222
1814,0.01036850269883871
1815,0.010243655182421207
1816,0.011081798002123833
1817,0.010454275645315647
1818,0.010004178620874882
1819,0.009583266451954842
1820,0.01013948954641819
1821,0.00982009805738926
1822,0.009932287037372589
1823,0.010100717656314373
1824,0.009843847714364529
1825,0.009975681081414223
1826,0.01006022933870554
1827,0.009691929444670677
1828,0.009865621104836464
1829,0.009844652377068996
1830,0.01022401638329029
1831,0.01010329183191061
1832,0.010718266479671001
1833,0.010051070712506771
1834,0.00989593006670475
1835,0.009720665402710438
1836,0.00997602753341198
1837,0.009776306338608265
1838,0.00989576242864132
1839,0.00988762266933918
1840,0.00972733087837696
1841,0.009606238454580307
1842,0.009463825263082981
1843,0.009765195660293102
1844,0.009884024038910866
1845,0.009378446266055107
1846,0.009621098637580872
1847,0.009505614638328552
1848,0.009590799920260906
1849,0.00958952959626913
1850,0.009556842036545277
1851,0.009435363113880157
1852,0.009426021948456764
1853,0.009754721075296402
1854,0.00928279384970665
1855,0.00931596290320158
1856,0.009127438999712467
1857,0.009019595570862293
1858,0.009274070151150227
1859,0.008932401426136494
1860,0.009224722161889076
1861,0.009103101678192616
1862,0.009051988832652569
1863,0.009003964252769947
1864,0.009195097722113132
1865,0.00910105463117361
1866,0.009099039249122143
1867,0.008914785459637642
1868,0.008995839394629002
1869,0.008935456164181232
1870,0.008995375595986843
1871,0.0089770732447505
1872,0.009338755160570145
1873,0.008787522092461586
1874,0.008908284828066826
1875,0.008874338120222092
1876,0.008856764063239098
1877,0.008903952315449715
1878,0.008761120028793812
1879,0.008800326846539974
1880,0.008619214408099651
1881,0.008578316308557987
1882,0.008825436234474182
1883,0.0085374116897583
1884,0.008674242533743382
1885,0.008551815524697304
1886,0.008818121626973152
1887,0.0086906049400568
1888,0.00876162014901638
1889,0.008526180870831013
1890,0.008629863150417805
1891,0.008443052880465984
1892,0.008627768605947495
1893,0.008519063703715801
1894,0.00864434614777565
1895,0.008431307040154934
1896,0.008522529155015945
1897,0.008307489566504955
1898,0.008452309295535088
1899,0.008414406329393387
1900,0.00840125884860754
1901,0.008340941742062569
1902,0.0083094397559762
1903,0.008278231136500835
1904,0.008328315801918507
1905,0.008220631629228592
1906,0.008451990783214569
1907,0.008258236572146416
1908,0.008394560776650906
1909,0.00830311980098486
1910,0.008210930973291397
1911,0.008220931515097618
1912,0.00839670654386282
1913,0.008217508904635906
1914,0.008262768387794495
1915,0.008124586194753647
1916,0.008336139842867851
1917,0.008078962564468384
1918,0.008249293081462383
1919,0.008292470127344131
1920,0.008289267309010029
1921,0.008170955814421177
1922,0.008209558203816414
1923,0.00788490753620863
1924,0.008210742846131325
1925,0.007736807689070702
1926,0.007931939326226711
1927,0.00756420660763979
1928,0.007814938202500343
1929,0.007656891830265522
1930,0.0076592289842665195
1931,0.007438463158905506
1932,0.007739989552646875
1933,0.0075310454703867435
1934,0.007838849909603596
1935,0.007657276000827551
1936,0.00765209598466754
1937,0.007399594411253929
1938,0.007577149663120508
1939,0.007599666249006987
1940,0.007506458554416895
1941,0.007525226566940546
1942,0.007555636111646891
1943,0.0077133080922067165
1944,0.007542010862380266
1945,0.007599774748086929
1946,0.007788347080349922
1947,0.007775755599141121
1948,0.007638323120772839
1949,0.007328030653297901
1950,0.007429418154060841
1951,0.007493142504245043
1952,0.007608631160110235
1953,0.007385567296296358
1954,0.0072919572703540325
1955,0.007528356742113829
1956,0.007489618845283985
1957,0.007446661591529846
1958,0.0073318323120474815
1959,0.007177126128226519
1960,0.007167374715209007
1961,0.007139196153730154
1962,0.007179663982242346
1963,0.007125353440642357
1964,0.00718639837577939
1965,0.007133140228688717
1966,0.007318688556551933
1967,0.007284685503691435
1968,0.007326806895434856
1969,0.007368132472038269
1970,0.007289665285497904
1971,0.007245533633977175
1972,0.007138662040233612
1973,0.007028450723737478
1974,0.007219144143164158
1975,0.0070895785465836525
1976,0.007035473827272654
1977,0.006991180591285229
1978,0.006908083334565163
1979,0.006946668028831482
1980,0.0069488040171563625
1981,0.006842103321105242
1982,0.006910397671163082
1983,0.006876101717352867
1984,0.00691542262211442
1985,0.006808200851082802
1986,0.0069535342045128345
1987,0.00691811041906476
1988,0.0070203510113060474
1989,0.006890299264341593
1990,0.006956787779927254
1991,0.0070154499262571335
1992,0.00703809317201376
1993,0.006913476157933474
1994,0.006990713067352772
1995,0.006959801539778709
1996,0.007117605302482843
1997,0.007299389224499464
1998,0.007409993093460798
1999,0.007482760585844517
2000,0.007562834769487381
2001,0.0076346308924257755
2002,0.007785807363688946
2003,0.007895870134234428
2004,0.007961394265294075
2005,0.007950499653816223
2006,0.008044205605983734
2007,0.00811500009149313
2008,0.008235118351876736
2009,0.0083915451541543
2010,0.008372216485440731
2011,0.008295772597193718
2012,0.008090948686003685
2013,0.008238373324275017
2014,0.008371315896511078
2015,0.008337743580341339
2016,0.008284364826977253
2017,0.008287467062473297
2018,0.008248480036854744
2019,0.008297724649310112
