,think
1800,0.00042960228165611625
1801,0.000399502256186679
1802,0.00033203212660737336
1803,0.00034297656384296715
1804,0.00035570570616982877
1805,0.00034574943128973246
1806,0.00035252541420049965
1807,0.00031804427271708846
1808,0.00041758999577723444
1809,0.00038830164703540504
1810,0.00034345127642154694
1811,0.000414444220950827
1812,0.00046109268441796303
1813,0.0003847974876407534
1814,0.00035903824027627707
1815,0.00032384999212808907
1816,0.00038463438977487385
1817,0.0003586733073461801
1818,0.0003342485288158059
1819,0.0003208812850061804
1820,0.00038133093039505184
1821,0.0003819800040218979
1822,0.00034048952511511743
1823,0.00035220172139815986
1824,0.0003767715534195304
1825,0.0003528176457621157
1826,0.00033860208350233734
1827,0.0003309336316306144
1828,0.0003425280738156289
1829,0.00033086937037296593
1830,0.000368950713891536
1831,0.0003299936361145228
1832,0.00037841679295524955
1833,0.00036165746860206127
1834,0.000359058118192479
1835,0.0003467123315203935
1836,0.0003712184843607247
1837,0.00037707152660004795
1838,0.0003741749096661806
1839,0.00034078856697306037
1840,0.00035708057112060487
1841,0.0003299570525996387
1842,0.0003267939609941095
1843,0.0003338145324960351
1844,0.0003520180471241474
1845,0.0003256334748584777
1846,0.0003483465116005391
1847,0.00033749156864359975
1848,0.00036238995380699635
1849,0.00033341828384436667
1850,0.00034936232259497046
1851,0.00034793250961229205
1852,0.0003625380923040211
1853,0.0003967737720813602
1854,0.00034834526013582945
1855,0.0003529636887833476
1856,0.00034773937659338117
1857,0.0003536134317982942
1858,0.0003603582445066422
1859,0.00034856548882089555
1860,0.0003811295609921217
1861,0.000374808965716511
1862,0.0003878395655192435
1863,0.0003757633676286787
1864,0.0004002121277153492
1865,0.00039195697172544897
1866,0.00041398117900826037
1867,0.0004078520287293941
1868,0.0004017470928374678
1869,0.0004013576253782958
1870,0.00039549294160678983
1871,0.0003850219363812357
1872,0.0004946780391037464
1873,0.0003790669434238225
1874,0.000394856499042362
1875,0.0003904419136233628
1876,0.0004085561668034643
1877,0.0003997326421085745
1878,0.00038750108797103167
1879,0.00038433881127275527
1880,0.0003645422693807632
1881,0.0003589675761759281
1882,0.000388684100471437
1883,0.0003655867767520249
1884,0.000377082935301587
1885,0.0003672339953482151
1886,0.00039010841283015907
1887,0.00039132055826485157
1888,0.0003670331498142332
1889,0.0003784835571423173
1890,0.00036743778036907315
1891,0.0003799934929702431
1892,0.00036388932494446635
1893,0.0003624036908149719
1894,0.00039234853466041386
1895,0.00034857430728152394
1896,0.0003382556315045804
1897,0.00032088099396787584
1898,0.0003348317404743284
1899,0.00034824118483811617
1900,0.00036121069570071995
1901,0.000346294924383983
1902,0.00034121834323741496
1903,0.0003248733701184392
1904,0.0003298674419056624
1905,0.0003091079997830093
1906,0.00034115317976102233
1907,0.000322454608976841
1908,0.0003377136599738151
1909,0.00034536077873781323
1910,0.00031901008333079517
1911,0.00033310134313069284
1912,0.0003362354764249176
1913,0.00033427352900616825
1914,0.0003155987651553005
1915,0.00027717664488591254
1916,0.0003175168239977211
1917,0.00027981254970654845
1918,0.00029533763881772757
1919,0.0003167174872942269
1920,0.000306274596368894
1921,0.0002847946307156235
1922,0.00028480097535066307
1923,0.00027777254581451416
1924,0.00031942929490469396
1925,0.0002809487923514098
1926,0.000292821234324947
1927,0.00025873901904560626
1928,0.00027410974144004285
1929,0.0002707787789404392
1930,0.0002739941992331296
1931,0.00025109824491664767
1932,0.0002676153089851141
1933,0.0002514496154617518
1934,0.00028657776420004666
1935,0.0002789848076645285
1936,0.00026580330450087786
1937,0.0002637958386912942
1938,0.00025763254961930215
1939,0.0002865847491193563
1940,0.0002507581084500998
1941,0.0002647232904564589
1942,0.00027036608662456274
1943,0.0003025048936251551
1944,0.0002951408096123487
1945,0.000306595116853714
1946,0.0003095590800512582
1947,0.0003179272753186524
1948,0.00030744902323931456
1949,0.0002728681138250977
1950,0.0002815911720972508
1951,0.00030887185130268335
1952,0.00028952458524145186
1953,0.0002941314596682787
1954,0.0002808163408190012
1955,0.00030734456959180534
1956,0.00031063499045558274
1957,0.0003024600155185908
1958,0.00028732206556014717
1959,0.0002787217381410301
1960,0.00026193447411060333
1961,0.0002660065656527877
1962,0.0002629911177791655
1963,0.00026302688638679683
1964,0.0002586961491033435
1965,0.0002576233528088778
1966,0.0002773300220724195
1967,0.00028336065588518977
1968,0.0002846220158971846
1969,0.00028680628747679293
1970,0.00027301203226670623
1971,0.0002547468466218561
1972,0.00025890569668263197
1973,0.0002534736995585263
1974,0.000263844383880496
1975,0.0002577848208602518
1976,0.00025008656666614115
1977,0.00025613943580538034
1978,0.00024026217579375952
1979,0.00024249040870927274
1980,0.00024012387439142913
1981,0.00021622632630169392
1982,0.00022171589080244303
1983,0.00022344922763295472
1984,0.00023349786351900548
1985,0.0002146526239812374
1986,0.00022682543203700334
1987,0.0002202969917561859
1988,0.00023089627211447805
1989,0.00022704608272761106
1990,0.0002306426176801324
1991,0.0002288634132128209
1992,0.0002218201116193086
1993,0.00021541757450904697
1994,0.00022927444661036134
1995,0.00022048629762139171
1996,0.00022749279742129147
1997,0.00023637874983251095
1998,0.0002298986801179126
1999,0.00023586848692502826
2000,0.00025970590650103986
2001,0.0002574932586867362
2002,0.00026612880174070597
2003,0.00027122811297886074
2004,0.0002818264183588326
2005,0.0002871702308766544
2006,0.00029892250313423574
2007,0.0003123955393675715
2008,0.0003413624071981758
2009,0.0003828580374829471
2010,0.0003980209876317531
2011,0.0004337720456533134
2012,0.0004029562114737928
2013,0.0004033288569189608
2014,0.0004840668407268822
2015,0.00046454070252366364
2016,0.0004300213768146932
2017,0.00046313295024447143
2018,0.00045312786824069917
2019,0.0004568153526633978
