,to
1800,0.02352076582610607
1801,0.024073515087366104
1802,0.02409345842897892
1803,0.025235101580619812
1804,0.024079233407974243
1805,0.02424071915447712
1806,0.024070480838418007
1807,0.023620828986167908
1808,0.024137258529663086
1809,0.02391330897808075
1810,0.023524167016148567
1811,0.02458037994801998
1812,0.02568398043513298
1813,0.02422529272735119
1814,0.024763325229287148
1815,0.024486277252435684
1816,0.024927642196416855
1817,0.02484687976539135
1818,0.024436593055725098
1819,0.023762768134474754
1820,0.02434662915766239
1821,0.02370813861489296
1822,0.023678114637732506
1823,0.024049073457717896
1824,0.02405601739883423
1825,0.02416270412504673
1826,0.024254407733678818
1827,0.02425846830010414
1828,0.02423369698226452
1829,0.023891843855381012
1830,0.024343250319361687
1831,0.0239717960357666
1832,0.02366671711206436
1833,0.024148009717464447
1834,0.02423091232776642
1835,0.0237062219530344
1836,0.02435452677309513
1837,0.024014312773942947
1838,0.02407625876367092
1839,0.02377847582101822
1840,0.02376917377114296
1841,0.023628242313861847
1842,0.023248180747032166
1843,0.02367018163204193
1844,0.02357182465493679
1845,0.02333841100335121
1846,0.023669134825468063
1847,0.023491479456424713
1848,0.023485930636525154
1849,0.023546826094388962
1850,0.023227237164974213
1851,0.023315878584980965
1852,0.023545999079942703
1853,0.02362588234245777
1854,0.023092275485396385
1855,0.023279426619410515
1856,0.02305530570447445
1857,0.0228395015001297
1858,0.023034600540995598
1859,0.02263794094324112
1860,0.022982465103268623
1861,0.02291964367032051
1862,0.02270873263478279
1863,0.022792428731918335
1864,0.022795625030994415
1865,0.022762523964047432
1866,0.02274349518120289
1867,0.022612374275922775
1868,0.02267710492014885
1869,0.02245785854756832
1870,0.022545354440808296
1871,0.022437788546085358
1872,0.022430816665291786
1873,0.022171292454004288
1874,0.022139249369502068
1875,0.022261008620262146
1876,0.021999944001436234
1877,0.02207598276436329
1878,0.021767552942037582
1879,0.02187652885913849
1880,0.021684572100639343
1881,0.02161855809390545
1882,0.02176591195166111
1883,0.021456990391016006
1884,0.021649513393640518
1885,0.02149388939142227
1886,0.0216975137591362
1887,0.021717455238103867
1888,0.021559495478868484
1889,0.02146100625395775
1890,0.021361524239182472
1891,0.021094994619488716
1892,0.021102461963891983
1893,0.021205339580774307
1894,0.021278386935591698
1895,0.021183554083108902
1896,0.021060502156615257
1897,0.0210854634642601
1898,0.020980700850486755
1899,0.021127237007021904
1900,0.020924411714076996
1901,0.020986178889870644
1902,0.0207783542573452
1903,0.020819131284952164
1904,0.02091183140873909
1905,0.02073252946138382
1906,0.02085193246603012
1907,0.020651962608098984
1908,0.020666876807808876
1909,0.020724738016724586
1910,0.02050381526350975
1911,0.020490450784564018
1912,0.02056204341351986
1913,0.020496973767876625
1914,0.020515121519565582
1915,0.02047845721244812
1916,0.020489264279603958
1917,0.020632406696677208
1918,0.02056940272450447
1919,0.02070550248026848
1920,0.020537056028842926
1921,0.020375005900859833
1922,0.020262213423848152
1923,0.020097747445106506
1924,0.020178545266389847
1925,0.01987546682357788
1926,0.01997726410627365
1927,0.019705437123775482
1928,0.019819404929876328
1929,0.019704777747392654
1930,0.019711224362254143
1931,0.019680170342326164
1932,0.019808713346719742
1933,0.019758451730012894
1934,0.0198142621666193
1935,0.019785448908805847
1936,0.019712921231985092
1937,0.019560782238841057
1938,0.019647706300020218
1939,0.019833840429782867
1940,0.01945067010819912
1941,0.0195891335606575
1942,0.019650854170322418
1943,0.01990184746682644
1944,0.0197223462164402
1945,0.01999557949602604
1946,0.019984045997262
1947,0.020001066848635674
1948,0.01962483488023281
1949,0.019412141293287277
1950,0.019366683438420296
1951,0.019466659054160118
1952,0.01949486881494522
1953,0.019322656095027924
1954,0.019215606153011322
1955,0.019443416967988014
1956,0.019254101440310478
1957,0.019311368465423584
1958,0.019195202738046646
1959,0.01921914331614971
1960,0.018936648964881897
1961,0.019056037068367004
1962,0.018885429948568344
1963,0.018948515877127647
1964,0.018914494663476944
1965,0.019107738509774208
1966,0.019112449139356613
1967,0.019198492169380188
1968,0.019191104918718338
1969,0.019300831481814384
1970,0.019020112231373787
1971,0.019151875749230385
1972,0.018856916576623917
1973,0.018716439604759216
1974,0.01885492168366909
1975,0.0187944695353508
1976,0.01865815371274948
1977,0.018555080518126488
1978,0.018378835171461105
1979,0.018382305279374123
1980,0.01830790564417839
1981,0.018211282789707184
1982,0.018154818564653397
1983,0.018210381269454956
1984,0.018031934276223183
1985,0.018114710226655006
1986,0.018083743751049042
1987,0.018180128186941147
1988,0.018212437629699707
1989,0.017983753234148026
1990,0.018089618533849716
1991,0.01826215721666813
1992,0.01822577603161335
1993,0.018114794045686722
1994,0.018117522820830345
1995,0.01821235939860344
1996,0.018351003527641296
1997,0.01864594966173172
1998,0.018782395869493484
1999,0.018961450085043907
2000,0.019061995670199394
2001,0.01912803202867508
2002,0.019266778603196144
2003,0.01939283311367035
2004,0.019527534022927284
2005,0.019523940980434418
2006,0.019590109586715698
2007,0.019674483686685562
2008,0.0199936144053936
2009,0.020354336127638817
2010,0.0205332413315773
2011,0.020480088889598846
2012,0.019856970757246017
2013,0.020084571093320847
2014,0.020594395697116852
2015,0.020512567833065987
2016,0.020185228437185287
2017,0.020088201388716698
2018,0.019767532125115395
2019,0.020215416327118874
