,too
1800,0.00046530258259736
1801,0.00047793801059015095
1802,0.00041952100582420826
1803,0.00037879255251027644
1804,0.00046107012894935906
1805,0.00043776389793492854
1806,0.0004386948421597481
1807,0.0004232838109601289
1808,0.0004684558662120253
1809,0.0004184266144875437
1810,0.00042581165325827897
1811,0.0004257364780642092
1812,0.000393828988308087
1813,0.000395358947571367
1814,0.0003998897154815495
1815,0.00038208288606256247
1816,0.0003857777046505362
1817,0.0003939625748898834
1818,0.0003814544470515102
1819,0.0003743093693628907
1820,0.00041382238850928843
1821,0.0004215837980154902
1822,0.0004095061158295721
1823,0.00041623288416303694
1824,0.0004341568856034428
1825,0.0004273485974408686
1826,0.0004070876457262784
1827,0.0004142200050409883
1828,0.0003992683778051287
1829,0.00038960870006121695
1830,0.0004139046941418201
1831,0.0004018543113488704
1832,0.0003207199915777892
1833,0.00043127601384185255
1834,0.0004077341582160443
1835,0.00041595083894208074
1836,0.0004025217203889042
1837,0.0004011714190710336
1838,0.0004002013010904193
1839,0.00041598681127652526
1840,0.00040759521652944386
1841,0.000405915139708668
1842,0.0004057952610310167
1843,0.00040649194852449
1844,0.00041394351865164936
1845,0.0003977199085056782
1846,0.0004008090472780168
1847,0.0004028349940199405
1848,0.00040519735193811357
1849,0.0003919677110388875
1850,0.00040436905692331493
1851,0.00038644776213914156
1852,0.00040421244921162724
1853,0.000398474745452404
1854,0.00040347405592910945
1855,0.00039764714892953634
1856,0.00039775262121111155
1857,0.0004027542017865926
1858,0.00039153944817371666
1859,0.000387359585147351
1860,0.0003903586766682565
1861,0.00037987306131981313
1862,0.0003887795901391655
1863,0.0003727728908415884
1864,0.0003843563317786902
1865,0.0003852855588775128
1866,0.0003823698207270354
1867,0.0003711312310770154
1868,0.0003729686141014099
1869,0.000390613975469023
1870,0.00037314125802367926
1871,0.0003748655435629189
1872,0.0003641306539066136
1873,0.00037340575363487005
1874,0.00036935805110260844
1875,0.00037095893640071154
1876,0.000364707171684131
1877,0.0003505701315589249
1878,0.00035964828566648066
1879,0.00035500593367032707
1880,0.0003592561115510762
1881,0.0003572236455511302
1882,0.0003566561790648848
1883,0.00036737756454385817
1884,0.0003491879615467042
1885,0.0003497303114272654
1886,0.00033295367029495537
1887,0.0003364126605447382
1888,0.0003357917885296047
1889,0.00033565526246093214
1890,0.00034324778243899345
1891,0.0003355161752551794
1892,0.00034808830241672695
1893,0.00033707881812006235
1894,0.00033792282920330763
1895,0.0003228908171877265
1896,0.0003354006912559271
1897,0.0003236275806557387
1898,0.0003317182417958975
1899,0.00035795761505141854
1900,0.0003415584214963019
1901,0.0003216172626707703
1902,0.00032520710374228656
1903,0.0003169607662130147
1904,0.00032192221260629594
1905,0.0003073341795243323
1906,0.0003020044241566211
1907,0.00030129545484669507
1908,0.00030041582067497075
1909,0.00029968685703352094
1910,0.0002966657921206206
1911,0.00028389014187268913
1912,0.0002896394580602646
1913,0.0002820776717271656
1914,0.00027951443917118013
1915,0.0002690445980988443
1916,0.00027026369934901595
1917,0.0002709588734433055
1918,0.0002709312248043716
1919,0.00027658967883326113
1920,0.00028316135285422206
1921,0.0002743242075666785
1922,0.0002830549201462418
1923,0.0002919635735452175
1924,0.00028895674040541053
1925,0.00028668579761870205
1926,0.00029138298123143613
1927,0.00029578644898720086
1928,0.00029301363974809647
1929,0.0002915883087553084
1930,0.00029229570645838976
1931,0.0002862858527805656
1932,0.00028977543115615845
1933,0.0002787787525448948
1934,0.0002895536890719086
1935,0.00028839477454312146
1936,0.0002871439210139215
1937,0.0002855156781151891
1938,0.0002885820285882801
1939,0.0002743076765909791
1940,0.00027897837571799755
1941,0.0002723518118727952
1942,0.00029210810316726565
1943,0.0002893597411457449
1944,0.00030702882213518023
1945,0.00029623557929880917
1946,0.000303462496958673
1947,0.00030442277784459293
1948,0.00030431008781306446
1949,0.00028670227038674057
1950,0.0002957020769827068
1951,0.00029584369622170925
1952,0.00030413854983635247
1953,0.000293388613499701
1954,0.00029102934058755636
1955,0.0002924941654782742
1956,0.0002964192826766521
1957,0.0002876143262255937
1958,0.0002915873483289033
1959,0.0002800139773171395
1960,0.0002802558010444045
1961,0.00028127478435635567
1962,0.0002773487358354032
1963,0.00027544685872271657
1964,0.0002692730922717601
1965,0.0002718320465646684
1966,0.00027652090648189187
1967,0.00027371011674404144
