,travel
1800,1.939389039762318e-05
1801,1.5939098375383765e-05
1802,1.5694504327257164e-05
1803,1.3756984117208049e-05
1804,1.2835763300245162e-05
1805,1.432531644240953e-05
1806,1.542012978461571e-05
1807,1.5612953575327992e-05
1808,1.5070902918523643e-05
1809,1.5369252650998533e-05
1810,1.5963580153766088e-05
1811,1.605529905646108e-05
1812,1.2481098565331195e-05
1813,1.3806350580125581e-05
1814,1.314682958764024e-05
1815,1.4330134035844821e-05
1816,1.37713741423795e-05
1817,1.3322334780241363e-05
1818,1.4959713553253096e-05
1819,1.4937496416678187e-05
1820,1.9208919184166007e-05
1821,1.825099388952367e-05
1822,1.5902220184216276e-05
1823,1.662917566136457e-05
1824,1.6917740140343085e-05
1825,1.714362224447541e-05
1826,1.547815372759942e-05
1827,1.53228102135472e-05
1828,1.5142736629059073e-05
1829,1.5821648048586212e-05
1830,1.6428879462182522e-05
1831,1.5846930182306096e-05
1832,1.84883192559937e-05
1833,1.705655813566409e-05
1834,1.7822398149291985e-05
1835,1.8644921510713175e-05
1836,1.7199192370753735e-05
1837,1.7260073946090415e-05
1838,1.8335829736315645e-05
1839,1.885236633825116e-05
1840,1.866903403424658e-05
1841,1.7934184143086895e-05
1842,1.6765505279181525e-05
1843,1.725453694234602e-05
1844,1.7984595615416765e-05
1845,1.818582313717343e-05
1846,1.9223829440306872e-05
1847,1.854493166320026e-05
1848,1.8303306205780245e-05
1849,1.9070734197157435e-05
1850,2.029173992923461e-05
1851,2.060533188341651e-05
1852,2.2255744624999352e-05
1853,2.0004483303637244e-05
1854,2.1254360035527498e-05
1855,2.1665531676262617e-05
1856,2.2547488697455265e-05
1857,2.270543518534396e-05
1858,2.2483663997263648e-05
1859,2.1407511667348444e-05
1860,2.1361296603572555e-05
1861,2.009711715800222e-05
1862,2.041938751062844e-05
1863,2.0727513401652686e-05
1864,2.0620067516574636e-05
1865,2.1971442038193345e-05
1866,2.094881347147748e-05
1867,2.190596569562331e-05
1868,2.245643008791376e-05
1869,2.3305698050535284e-05
1870,2.253317870781757e-05
1871,2.2874310161569156e-05
1872,2.2612843167735264e-05
1873,2.3008185962680727e-05
1874,2.3301452529267408e-05
1875,2.3362090360024013e-05
1876,2.292212775500957e-05
1877,2.271408447995782e-05
1878,2.320518069609534e-05
1879,2.2337964765029028e-05
1880,2.2143596652313136e-05
1881,2.3056878490024246e-05
1882,2.3130436602514237e-05
1883,2.3245129341376014e-05
1884,2.3199829229270108e-05
1885,2.3657923520659097e-05
1886,2.4133601982612163e-05
1887,2.35211628023535e-05
1888,2.4699129426153377e-05
1889,2.466880323481746e-05
1890,2.6017574782599695e-05
1891,2.6256375349476002e-05
1892,2.6223262466373853e-05
1893,2.7087435228168033e-05
1894,2.5955072487704456e-05
1895,2.6049216103274375e-05
1896,2.566506009316072e-05
1897,2.7002730348613113e-05
1898,2.739967021625489e-05
1899,2.82370292552514e-05
1900,2.7749567379942164e-05
1901,2.7000467525795102e-05
1902,2.8459957320592366e-05
1903,2.8371265216264874e-05
1904,2.9078730221954174e-05
1905,2.825984665832948e-05
1906,2.781138573482167e-05
1907,2.8984759410377592e-05
1908,2.8888611268484965e-05
1909,2.8478485546656884e-05
1910,2.8817814381909557e-05
1911,2.785804826999083e-05
1912,3.056906280107796e-05
1913,2.8797801860491745e-05
1914,2.8888694941997528e-05
1915,2.9413398806354962e-05
1916,2.881299405999016e-05
1917,3.0086976039456204e-05
1918,2.9282382456585765e-05
1919,2.989033418998588e-05
1920,2.875106110877823e-05
1921,2.9457733035087585e-05
1922,2.9782646379317157e-05
1923,3.052249667234719e-05
1924,3.151589771732688e-05
1925,3.3849682949949056e-05
1926,3.248695793445222e-05
1927,3.31630690197926e-05
1928,3.3047530450858176e-05
1929,3.4249060263391584e-05
1930,3.471038507996127e-05
1931,3.337315138196573e-05
1932,3.346195808262564e-05
1933,3.1606592528987676e-05
1934,3.209742499166168e-05
1935,3.3739717764547095e-05
1936,3.626869511208497e-05
1937,3.721522443811409e-05
1938,3.719974120031111e-05
1939,3.782927160500549e-05
1940,3.9109119825297967e-05
1941,3.917615322279744e-05
1942,4.349065784481354e-05
1943,4.360044113127515e-05
1944,4.647234527510591e-05
1945,4.4978874939261004e-05
1946,4.508036727202125e-05
1947,4.598519444698468e-05
1948,4.2072668293258175e-05
1949,4.230959530104883e-05
1950,4.195537621853873e-05
1951,4.016413731733337e-05
1952,4.164128768024966e-05
1953,4.2440307879587635e-05
1954,4.499878559727222e-05
1955,4.549984078039415e-05
1956,4.589407762978226e-05
1957,4.613668716046959e-05
1958,4.744177567772567e-05
1959,4.63642027170863e-05
1960,4.589180025504902e-05
1961,4.6267265133792534e-05
1962,4.47110905952286e-05
1963,4.473753506317735e-05
1964,4.536141568678431e-05
1965,4.4346819777274504e-05
1966,4.591346805682406e-05
1967,4.383555278764106e-05
1968,4.494374661589973e-05
1969,4.202200943836942e-05
1970,4.2710016714408994e-05
1971,4.2035193473566324e-05
1972,4.382555925985798e-05
1973,4.4582051486941054e-05
1974,4.721791628981009e-05
1975,4.629452450899407e-05
1976,4.5180382585385814e-05
1977,4.6521483454853296e-05
1978,4.5513108489103615e-05
1979,4.5979082642588764e-05
1980,4.610935502569191e-05
1981,4.5089276682119817e-05
1982,4.294784594094381e-05
1983,4.4322187022771686e-05
1984,4.1923285607481375e-05
1985,4.1406525269849226e-05
1986,4.275206083548255e-05
1987,4.2468353058211505e-05
1988,4.342309330240823e-05
1989,4.362385516287759e-05
1990,4.469101986614987e-05
1991,4.51591877208557e-05
1992,4.606817674357444e-05
1993,4.7038294724188745e-05
1994,4.7647095925640315e-05
1995,4.797414658241905e-05
1996,5.07857657794375e-05
1997,5.006881838198751e-05
1998,5.0191891205031425e-05
1999,5.059289833297953e-05
2000,5.0636434025364e-05
2001,5.033691559219733e-05
2002,5.0961520173586905e-05
2003,5.198010694584809e-05
2004,5.175169280846603e-05
2005,5.139829954714514e-05
2006,5.117732143844478e-05
2007,5.213755866861902e-05
2008,5.038667222834192e-05
2009,4.991788591723889e-05
2010,5.153911479283124e-05
2011,4.870546035817824e-05
2012,4.5133136154618114e-05
2013,4.286394323571585e-05
2014,4.4340751628624275e-05
2015,4.5238684833748266e-05
2016,4.754021574626677e-05
2017,4.3425679905340075e-05
2018,4.099584839423187e-05
2019,4.4418571633286774e-05
