,under
1800,0.0007537822821177542
1801,0.0007579638622701168
1802,0.0007925262325443327
1803,0.000744470686186105
1804,0.000739875016734004
1805,0.0007827080553397536
1806,0.0007229107432067394
1807,0.0007386778597719967
1808,0.0007104028481990099
1809,0.0007364409393630922
1810,0.0007315186085179448
1811,0.0007855251315049827
1812,0.0008364514214918017
1813,0.0008421888924203813
1814,0.000855429912917316
1815,0.0008406939450651407
1816,0.0007999359513632953
1817,0.000850752810947597
1818,0.0007963934913277626
1819,0.0008127097971737385
1820,0.0007633179775439203
1821,0.0007644851575605571
1822,0.0007783839828334749
1823,0.0007815639837644994
1824,0.0007754705147817731
1825,0.0007869078544899821
1826,0.0008265788783319294
1827,0.0008362474036403
1828,0.0008375630713999271
1829,0.0008306813542731106
1830,0.0008154510869644582
1831,0.000837598170619458
1832,0.0010689267655834556
1833,0.0008272494305856526
1834,0.0008554523228667676
1835,0.000836300547234714
1836,0.000854483456350863
1837,0.000856400525663048
1838,0.0008614895632490516
1839,0.0008317786850966513
1840,0.0008440951933152974
1841,0.0008560499409213662
1842,0.000847135204821825
1843,0.0008588723721913993
1844,0.0008340678759850562
1845,0.0008650401141494513
1846,0.0008762251818552613
1847,0.0008818107889965177
1848,0.0008703673374839127
1849,0.0008795150788500905
1850,0.0008497534436173737
1851,0.0008753093425184488
1852,0.0008741328492760658
1853,0.0008744812803342938
1854,0.0008527877507731318
1855,0.0008701910264790058
1856,0.0008700739126652479
1857,0.0008669592207297683
1858,0.0008900025859475136
1859,0.000862794928252697
1860,0.0008645543130114675
1861,0.0008800594368949533
1862,0.0009148441022261977
1863,0.0009133013081736863
1864,0.0008944029686972499
1865,0.0008824373362585902
1866,0.0009015228133648634
1867,0.0008790348656475544
1868,0.0008836403721943498
1869,0.0008654397679492831
1870,0.0008817722555249929
1871,0.0008728750399313867
1872,0.0008678380399942398
1873,0.0008711729315109551
1874,0.0008848485304042697
1875,0.0008864193223416805
1876,0.0008939807303249836
1877,0.0009078431176021695
1878,0.0008930296753533185
1879,0.0008917497470974922
1880,0.0008858336950652301
1881,0.0008868719451129436
1882,0.0008983922307379544
1883,0.0008848467259667814
1884,0.000922931416425854
1885,0.0009058166178874671
1886,0.0009370885672979057
1887,0.0009359554387629032
1888,0.0009246534900739789
1889,0.0009127567172981799
1890,0.0009111621766351163
1891,0.0009102376061491668
1892,0.0008999980054795742
1893,0.0009030933142639697
1894,0.0009220587671734393
1895,0.000933024741243571
1896,0.0009089651866815984
1897,0.0009416587417945266
1898,0.0009480423759669065
1899,0.000926692271605134
1900,0.0009159196051768959
1901,0.0009551042458042502
1902,0.0009374953806400299
1903,0.000933341623749584
1904,0.0009442016598768532
1905,0.0009470939403399825
1906,0.0009781998815014958
1907,0.0009773855563253164
1908,0.0009770310716703534
1909,0.0009759091190062463
1910,0.0009788635652512312
1911,0.001007247599773109
1912,0.000994807225652039
1913,0.0010089511051774025
1914,0.0010250748600810766
1915,0.0010182090336456895
1916,0.001020474242977798
1917,0.0010334752732887864
1918,0.0010472219437360764
1919,0.0010427681263536215
1920,0.0010058287298306823
1921,0.0010113586904481053
1922,0.0010030076373368502
1923,0.0009879459394142032
1924,0.001000112621113658
1925,0.000998940085992217
1926,0.0009856129763647914
1927,0.0009763547568581998
1928,0.0009733628830872476
1929,0.0009726579883135855
1930,0.0009798550745472312
1931,0.0009696068009361625
1932,0.0009989629033952951
1933,0.0010036904131993651
1934,0.0010054368758574128
1935,0.0010101079242303967
1936,0.0010428890818729997
1937,0.001004555495455861
1938,0.0010030552512034774
1939,0.0010386455105617642
1940,0.0009990547550842166
1941,0.0010568713769316673
1942,0.0010129602160304785
1943,0.0010394512210041285
1944,0.0010179906385019422
1945,0.0010452066780999303
1946,0.001002400298602879
1947,0.0010039396584033966
1948,0.0009899591095745564
1949,0.0010103275999426842
1950,0.0009704706608317792
1951,0.0009727990254759789
1952,0.0009451689547859132
1953,0.000967100728303194
1954,0.000986664672382176
1955,0.0009533202392049134
1956,0.0009327238076366484
1957,0.0009573787683621049
1958,0.0009179999469779432
1959,0.0009423955343663692
1960,0.00091283064102754
1961,0.0009124602074734867
1962,0.0008798970375210047
1963,0.0008757903124205768
1964,0.0008675722638145089
1965,0.0008800254436209798
1966,0.000859091232996434
1967,0.0008743276703171432
1968,0.0008456032956019044
1969,0.0008361178333871067
1970,0.0008362156804651022
1971,0.000859746360220015
1972,0.0008440905949100852
1973,0.0008659661398269236
1974,0.000837744097225368
1975,0.0008546756580471992
1976,0.000861186592373997
1977,0.0008336750906892121
1978,0.0008321949280798435
1979,0.0008311266428790987
1980,0.0007907707476988435
1981,0.0007979623042047024
1982,0.0008084810106083751
1983,0.0007800634484738111
1984,0.0007581642712466419
1985,0.0007640936528332531
1986,0.0007621191907674074
1987,0.0007640515686944127
1988,0.0007697404362261295
1989,0.0007530833245255053
