,us
1800,0.000856732192914933
1801,0.0009038622956722975
1802,0.0008390083676204085
1803,0.0007635760121047497
1804,0.0008466923609375954
1805,0.0008772691362537444
1806,0.0008840997470542789
1807,0.0008157111587934196
1808,0.0009426594479009509
1809,0.0008525754092261195
1810,0.000850548327434808
1811,0.0009166958625428379
1812,0.0008448861190117896
1813,0.0007926202961243689
1814,0.000794458668678999
1815,0.0008923399145714939
1816,0.0007844278588891029
1817,0.0008203328470699489
1818,0.0008623162866570055
1819,0.0007393721607513726
1820,0.0008571615908294916
1821,0.0008128202753141522
1822,0.0008440370438620448
1823,0.0008301442721858621
1824,0.0008839204092510045
1825,0.0008365858229808509
1826,0.0008431563037447631
1827,0.0008063622517511249
1828,0.0008603015448898077
1829,0.0008233835105784237
1830,0.0008990492206066847
1831,0.0008412665920332074
1832,0.0006802018033340573
1833,0.0008732895366847515
1834,0.0008162324083968997
1835,0.0008328422554768622
1836,0.0008396883495151997
1837,0.0008136468823067844
1838,0.0008220121962949634
1839,0.0008450510213151574
1840,0.0008275213185697794
1841,0.0008457794901914895
1842,0.0008358802297152579
1843,0.0008540765848010778
1844,0.0009038867428898811
1845,0.0008118508267216384
1846,0.0008412412717007101
1847,0.0008260624017566442
1848,0.0008343848749063909
1849,0.0008163371821865439
1850,0.0008339955820702016
1851,0.000788734876550734
1852,0.0008050148608162999
1853,0.0008072102791629732
1854,0.0008039766107685864
1855,0.0007854012073948979
1856,0.0007844914216548204
1857,0.0007470200653187931
1858,0.0007643791614100337
1859,0.0007641565171070397
1860,0.0007675312226638198
1861,0.0007543485262431204
1862,0.0007796810241416097
1863,0.0007460009073838592
1864,0.0007469154661521316
1865,0.0007420277106575668
1866,0.000719157513231039
1867,0.0007017086027190089
1868,0.0006994878640398383
1869,0.0007163957925513387
1870,0.00069665617775172
1871,0.0007150463061407208
1872,0.0006780109251849353
1873,0.0006578789907507598
1874,0.0006526247598230839
1875,0.0006360688130371273
1876,0.0006300113163888454
1877,0.0006038319552317262
1878,0.0006037958082742989
1879,0.0006091011455282569
1880,0.0006025178590789437
1881,0.0006132470443844795
1882,0.0006034973193891346
1883,0.0006025299080647528
1884,0.0005990465870127082
1885,0.0005860604578629136
1886,0.0005624268087558448
1887,0.0005764628876931965
1888,0.0005658415029756725
1889,0.0005793505115434527
1890,0.0005764420493505895
1891,0.0005603458848781884
1892,0.0005763235385529697
1893,0.0005589370266534388
1894,0.0005534320371225476
1895,0.0005256548756733537
1896,0.0005415822379291058
1897,0.0005306489183567464
1898,0.0005401672096922994
1899,0.0005767359980382025
1900,0.0005434232298284769
1901,0.0005070847109891474
1902,0.0005120172281749547
1903,0.0005114891682751477
1904,0.0005152533412910998
1905,0.00048008328303694725
1906,0.0004712499212473631
1907,0.00046326895244419575
1908,0.00046329028555192053
1909,0.00047615799121558666
1910,0.0004519307112786919
1911,0.0004391715337987989
1912,0.00044429267290979624
1913,0.00044067850103601813
1914,0.0004471955180633813
1915,0.0004351726092863828
1916,0.0004525751282926649
1917,0.00044951034942641854
1918,0.0004733866371680051
1919,0.0004663313156925142
1920,0.0004605750145856291
1921,0.00043496815487742424
1922,0.0004331142990849912
1923,0.0004301797307562083
1924,0.00045201677130535245
1925,0.0004210309707559645
1926,0.00042524663149379194
1927,0.00043097647721879184
1928,0.00042327583651058376
1929,0.0004168394661974162
1930,0.0004199629765935242
1931,0.0004005030496045947
1932,0.0004064135137014091
1933,0.00037830881774425507
1934,0.0004092510207556188
1935,0.00039388786535710096
1936,0.00038918995414860547
1937,0.00037466944195330143
1938,0.0003890280204359442
1939,0.0003773229254875332
1940,0.00037740665720775723
1941,0.0003768869792111218
1942,0.00040850212099030614
1943,0.0004161905380897224
1944,0.0004179495736025274
1945,0.00041062466334551573
1946,0.00041332191904075444
1947,0.00040270178578794
1948,0.0003959682071581483
1949,0.0003636920009739697
1950,0.0003854540118481964
1951,0.000398447533370927
1952,0.00040719204116612673
1953,0.0003844135208055377
1954,0.0003718003281392157
1955,0.00039301186916418374
1956,0.00040216525667347014
1957,0.0003825014573521912
1958,0.00038769745151512325
1959,0.00037498632445931435
1960,0.0003700156812556088
1961,0.0003722251276485622
1962,0.0003730719618033618
1963,0.000368890498066321
1964,0.0003761816187761724
1965,0.0003821239515673369
1966,0.00038707139901816845
1967,0.0003949501260649413
1968,0.0003957444860134274
1969,0.0003982681664638221
1970,0.00038003287045285106
1971,0.0003574752772692591
1972,0.0003464366600383073
1973,0.000337249250151217
1974,0.0003431383229326457
1975,0.0003277725481893867
1976,0.0003239680954720825
1977,0.00031959329498931766
1978,0.00031329557532444596
1979,0.00031493877759203315
1980,0.00031537964241579175
1981,0.00030503360903821886
1982,0.00030834402423352003
1983,0.0003117542655672878
1984,0.00031827742350287735
1985,0.00030720452195964754
1986,0.0003201850922778249
1987,0.00031580490758642554
1988,0.0003233431198168546
1989,0.00031766583560965955
1990,0.0003261868841946125
1991,0.00032683173776604235
1992,0.00032598283723928034
1993,0.00031956328894011676
1994,0.0003255545161664486
1995,0.00032912433380261064
1996,0.0003424302558414638
1997,0.00035134342033416033
1998,0.0003530541143845767
1999,0.00036700302734971046
2000,0.0003945553326047957
2001,0.0004001818597316742
2002,0.00040811297367326915
2003,0.0004306298797018826
2004,0.00044541971874423325
2005,0.00044828260433860123
