,using
1800,2.058443169516977e-05
1801,2.254157152492553e-05
1802,1.8957885913550854e-05
1803,2.0909234081045724e-05
1804,1.7659333025221713e-05
1805,2.0688747099484317e-05
1806,1.9469265680527315e-05
1807,2.1718471543863416e-05
1808,1.9289884221507236e-05
1809,2.2119995264802128e-05
1810,1.9996947230538353e-05
1811,2.0731025870190933e-05
1812,1.8394264770904556e-05
1813,2.0253381080692634e-05
1814,1.9955683455918916e-05
1815,2.0828489141422324e-05
1816,1.994961712625809e-05
1817,2.0565659724525176e-05
1818,2.1735862901550718e-05
1819,2.1513669707928784e-05
1820,2.0519899408100173e-05
1821,2.0434144971659407e-05
1822,2.3192096705315635e-05
1823,2.3079854145180434e-05
1824,2.31026133405976e-05
1825,2.2564705432159826e-05
1826,2.6630055799614638e-05
1827,2.26166575885145e-05
1828,2.1664262021658942e-05
1829,2.4352100808755495e-05
1830,2.4212173229898326e-05
1831,2.4919971110648476e-05
1832,3.3492862712591887e-05
1833,2.2242173145059496e-05
1834,2.315390156581998e-05
1835,2.4232855139416642e-05
1836,2.236472391814459e-05
1837,2.4067936465144157e-05
1838,2.430330278002657e-05
1839,2.4462362489430234e-05
1840,2.4186965674743988e-05
1841,2.455605317663867e-05
1842,2.614739969430957e-05
1843,2.46413273998769e-05
1844,2.472924825269729e-05
1845,2.600608058855869e-05
1846,2.550737735873554e-05
1847,2.6873087335843593e-05
1848,2.6038729629362933e-05
1849,2.59289317909861e-05
1850,2.6332892957725562e-05
1851,2.763111115200445e-05
1852,2.6762343622976914e-05
1853,2.645156200742349e-05
1854,2.6750438337330706e-05
1855,2.7432837669039145e-05
1856,2.8142723749624565e-05
1857,2.7987625799141824e-05
1858,2.7680287530529313e-05
1859,2.85841688310029e-05
1860,3.019079849764239e-05
1861,3.063095573452301e-05
1862,3.063420081161894e-05
1863,3.114165156148374e-05
1864,3.1626608688384295e-05
1865,3.216521145077422e-05
1866,3.12287374981679e-05
1867,3.2107804145198315e-05
1868,3.18025158776436e-05
1869,3.600432683015242e-05
1870,3.332622509333305e-05
1871,3.469133298494853e-05
1872,3.561692574294284e-05
1873,3.5066186683252454e-05
1874,3.582075078156777e-05
1875,3.507825385895558e-05
1876,3.655607724795118e-05
1877,3.9554568502353504e-05
1878,3.966654549003579e-05
1879,3.94457601942122e-05
1880,3.859318167087622e-05
1881,3.986744923167862e-05
1882,4.152935434831306e-05
1883,4.121391975786537e-05
1884,4.3133881263202056e-05
1885,4.309248834033497e-05
1886,4.3877967982552946e-05
1887,4.659894329961389e-05
1888,4.660822014557198e-05
1889,4.724147584056482e-05
1890,4.7163033741526306e-05
1891,4.764548793900758e-05
1892,4.959196303389035e-05
1893,4.966188862454146e-05
1894,5.200030136620626e-05
1895,4.9694870540406555e-05
1896,5.2475799748208374e-05
1897,5.224331107456237e-05
1898,5.2746054279850796e-05
1899,5.018227966502309e-05
1900,5.394843901740387e-05
1901,5.198217695578933e-05
1902,5.5395175877492875e-05
1903,5.678768866346218e-05
1904,5.776928082923405e-05
1905,6.071394818718545e-05
1906,6.0457496147137135e-05
1907,6.189230043673888e-05
1908,6.46689732093364e-05
1909,6.672218296444044e-05
1910,6.615527672693133e-05
1911,6.74377370160073e-05
1912,7.07862782292068e-05
1913,7.235090743051842e-05
1914,7.36763104214333e-05
1915,7.597998774144799e-05
1916,7.817333244020119e-05
1917,7.849117537261918e-05
1918,8.063150744419545e-05
1919,7.793208351358771e-05
1920,8.094959775917232e-05
1921,7.988701690919697e-05
1922,8.163078018696979e-05
1923,7.958184141898528e-05
1924,7.839706086087972e-05
1925,8.047110168263316e-05
1926,7.790967356413603e-05
1927,7.992390601430088e-05
1928,8.004885603440925e-05
1929,7.989581354195252e-05
1930,8.169904322130606e-05
1931,7.888989057391882e-05
1932,8.163922029780224e-05
1933,8.431474270764738e-05
1934,8.280990005005151e-05
1935,8.493169298162684e-05
1936,8.427948341704905e-05
1937,8.330375567311421e-05
1938,8.67005655891262e-05
1939,8.93370306584984e-05
1940,9.445059549761936e-05
1941,9.352574124932289e-05
1942,0.00010288394696544856
1943,0.00010152630420634523
1944,0.00010302884766133502
1945,9.676339686848223e-05
1946,0.00010089466377394274
1947,0.00010495138849364594
1948,0.00010720238788053393
1949,0.00011526125308591872
1950,0.00011463031842140481
1951,0.0001141062966780737
1952,0.0001159733728854917
1953,0.000118043644761201
1954,0.00012337596854195
1955,0.0001253457594430074
1956,0.00012843258446082473
1957,0.0001310158841079101
1958,0.000138182207592763
1959,0.000138432951644063
1960,0.00014335942978505045
1961,0.000144569028634578
1962,0.00015905348118394613
1963,0.00015044942847453058
1964,0.00015445114695467055
1965,0.00015893505769781768
1966,0.00015915599942672998
1967,0.00015766810975037515
1968,0.0001582934200996533
1969,0.00015888203051872551
1970,0.00016970520664472133
1971,0.00017443748947698623
1972,0.00018260988872498274
1973,0.0001821366895455867
1974,0.00019054145377594978
1975,0.00019549974240362644
1976,0.00020044729171786457
1977,0.00021090375958010554
1978,0.0002119003765983507
1979,0.00021763987024314702
1980,0.00022769196948502213
1981,0.0002271248959004879
1982,0.0002361384395044297
1983,0.0002495964290574193
1984,0.00024956424022093415
1985,0.0002555270039010793
1986,0.00026636634720489383
1987,0.00026613945374265313
1988,0.0002657491422723979
1989,0.00026527210138738155
1990,0.00027678426704369485
1991,0.00028655052301473916
1992,0.0002816183550748974
1993,0.0002863819245249033
1994,0.0002919643884524703
1995,0.0002968744665849954
1996,0.00028855883283540606
1997,0.00029129511676728725
1998,0.0002939994155894965
1999,0.0002892068005166948
2000,0.00028640253003686666
2001,0.0002876870858017355
2002,0.0002972270594909787
2003,0.00031238587689585984
2004,0.00030749716097489
2005,0.000303879554849118
2006,0.00030232849530875683
2007,0.00029341678600758314
2008,0.0002789680438581854
2009,0.000275838072411716
2010,0.00028112309519201517
2011,0.0002897975209634751
2012,0.0003184574597980827
2013,0.0002923749852925539
2014,0.0002553770027589053
2015,0.0002566844050306827
2016,0.00027161830803379416
2017,0.00024803620181046426
