,v
1800,4.11093351431191e-05
1801,4.200063631287776e-05
1802,4.509436621447094e-05
1803,3.162896246067248e-05
1804,4.191044354229234e-05
1805,3.892511085723527e-05
1806,3.7796027754666284e-05
1807,4.125868872506544e-05
1808,3.3564614568604156e-05
1809,4.147091749473475e-05
1810,3.387354445294477e-05
1811,3.242033926653676e-05
1812,3.4838158171623945e-05
1813,4.6238306822488084e-05
1814,2.8531556381494738e-05
1815,3.4353222872596234e-05
1816,2.9867396733607166e-05
1817,3.081923568970524e-05
1818,2.664627209014725e-05
1819,3.7726462323917076e-05
1820,3.228273999411613e-05
1821,2.513255640224088e-05
1822,2.542987567721866e-05
1823,3.742776607396081e-05
1824,3.0854178476147354e-05
1825,2.5975263270083815e-05
1826,2.84254510916071e-05
1827,2.2637312213191763e-05
1828,1.9463535863906145e-05
1829,1.882190554169938e-05
1830,2.107265027007088e-05
1831,2.0255247363820672e-05
1832,2.0889872757834382e-05
1833,1.984984010050539e-05
1834,2.0818157281610183e-05
1835,2.2792806703364477e-05
1836,2.1531610400415957e-05
1837,1.5688492567278445e-05
1838,1.9187989892088808e-05
1839,1.9342065570526756e-05
1840,1.687037911324296e-05
1841,1.8797047232510522e-05
1842,1.8821077901520766e-05
1843,2.689688881218899e-05
1844,1.8483257008483633e-05
1845,2.1766454665339552e-05
1846,2.0200626750010997e-05
1847,1.9197534129489213e-05
1848,2.153473178623244e-05
1849,2.086312451865524e-05
1850,2.4410244805039838e-05
1851,3.0325354600790888e-05
1852,2.1401072444859892e-05
1853,2.1075453332741745e-05
1854,2.5387062123627402e-05
1855,2.239392233605031e-05
1856,2.1888410628889687e-05
1857,2.6517718652030453e-05
1858,2.78905044979183e-05
1859,2.315392703167163e-05
1860,2.3899125153548084e-05
1861,2.294952719239518e-05
1862,2.5379649741807953e-05
1863,3.1487496016779914e-05
1864,4.942110172123648e-05
1865,2.9014954634476453e-05
1866,3.771555202547461e-05
1867,3.456744161667302e-05
1868,3.639986607595347e-05
1869,3.083209594478831e-05
1870,3.972655031247996e-05
1871,2.7264288291917183e-05
1872,2.7644724468700588e-05
1873,3.484858461888507e-05
1874,3.3574622648302466e-05
1875,3.125762304989621e-05
1876,3.246070264140144e-05
1877,3.4399243304505944e-05
1878,3.5519049561116844e-05
1879,3.530686080921441e-05
1880,3.876493428833783e-05
1881,3.6839799577137455e-05
1882,3.133654536213726e-05
1883,4.232811988913454e-05
1884,4.8889865865930915e-05
1885,4.306912160245702e-05
1886,4.512907980824821e-05
1887,3.661125811049715e-05
1888,3.910338273271918e-05
1889,3.948171070078388e-05
1890,4.046834510518238e-05
1891,3.644625030574389e-05
1892,3.83407787012402e-05
1893,3.3887448807945475e-05
1894,3.688395008794032e-05
1895,3.6617802834371105e-05
1896,4.15467111452017e-05
1897,4.57654932688456e-05
1898,3.4499564208090305e-05
1899,3.196016405127011e-05
1900,3.0531195079674944e-05
1901,3.8568057789234444e-05
1902,3.812540307990275e-05
1903,3.779040343943052e-05
1904,4.5764001697534695e-05
1905,5.543518273043446e-05
1906,4.3142325012013316e-05
1907,5.4235391871770844e-05
1908,5.2225655963411555e-05
1909,3.209166243323125e-05
1910,3.3413543860660866e-05
1911,3.7478133890544996e-05
1912,3.856396142509766e-05
1913,3.4015516575891525e-05
1914,4.042654109071009e-05
1915,3.818059485638514e-05
1916,3.6960751458536834e-05
1917,3.694640690810047e-05
1918,3.604470475693233e-05
1919,3.961355105275288e-05
1920,4.294495374779217e-05
1921,4.0031336538959295e-05
1922,4.438912219484337e-05
1923,3.662494782474823e-05
1924,3.9038644899846986e-05
1925,3.470833325991407e-05
1926,3.0429280741373077e-05
1927,2.652642251632642e-05
1928,3.141816705465317e-05
1929,2.807196506182663e-05
1930,3.20096114592161e-05
1931,2.5721938072820194e-05
1932,6.644336099270731e-05
1933,2.686428888409864e-05
1934,2.9287502911756746e-05
1935,3.158437539241277e-05
1936,9.27377914194949e-05
1937,3.0230008633225225e-05
1938,2.960843630717136e-05
1939,3.645466495072469e-05
1940,3.882414603140205e-05
1941,3.301182368886657e-05
1942,3.188088157912716e-05
1943,4.9730209866538644e-05
1944,3.0654020520159975e-05
