,we
1800,0.0020284177735447884
1801,0.002132436726242304
1802,0.002078756457194686
1803,0.0018454674864187837
1804,0.0019535517785698175
1805,0.0020999533589929342
1806,0.0021301426459103823
1807,0.002045145258307457
1808,0.0022136722691357136
1809,0.0021688889246433973
1810,0.0020327891688793898
1811,0.002186385914683342
1812,0.0021015992388129234
1813,0.002011022297665477
1814,0.0020199324935674667
1815,0.002172586042433977
1816,0.0019393345573917031
1817,0.0020638853311538696
1818,0.0021899074781686068
1819,0.0019817149732261896
1820,0.002095431089401245
1821,0.002118782140314579
1822,0.0021353173069655895
1823,0.002117852447554469
1824,0.002216276014223695
1825,0.002115358132869005
1826,0.0021689257118850946
1827,0.0020752083510160446
1828,0.002193302847445011
1829,0.002194388071075082
1830,0.0022827424108982086
1831,0.0021861905697733164
1832,0.0019207644509151578
1833,0.002249758457764983
1834,0.0022059620823711157
1835,0.002253557089716196
1836,0.0022370547521859407
1837,0.0021668090485036373
1838,0.002191732171922922
1839,0.002197475405409932
1840,0.002136372961103916
1841,0.0022238916717469692
1842,0.0022239654790610075
1843,0.002223627408966422
1844,0.002263727830722928
1845,0.002198105677962303
1846,0.0022082047071307898
1847,0.002187180332839489
1848,0.0022245498839765787
1849,0.0022042212076485157
1850,0.002199496841058135
1851,0.0020962445996701717
1852,0.002146404469385743
1853,0.0021449814084917307
1854,0.0021170524414628744
1855,0.00210452894680202
1856,0.0020803832449018955
1857,0.0020365146920084953
1858,0.002067802008241415
1859,0.002030575182288885
1860,0.0020500398240983486
1861,0.002027080627158284
1862,0.002056077355518937
1863,0.001969984034076333
1864,0.001965268049389124
1865,0.002002956345677376
1866,0.0019468712853267789
1867,0.0019081890350207686
1868,0.0019067157991230488
1869,0.0019662687554955482
1870,0.0019174295011907816
1871,0.001952080987393856
1872,0.0019027093658223748
1873,0.0018872071523219347
1874,0.0019157559145241976
1875,0.0018294664332643151
1876,0.0018245310056954622
1877,0.0017432825407013297
1878,0.001782511011697352
1879,0.0017435501795262098
1880,0.0017020410159602761
1881,0.0017216650303453207
1882,0.00172189821023494
1883,0.0016872304258868098
1884,0.0017037114594131708
1885,0.0016665597213432193
1886,0.0016424801433458924
1887,0.0016591913299635053
1888,0.0016306142788380384
1889,0.001653641345910728
1890,0.0016632734332233667
1891,0.0016302973963320255
1892,0.0016554570756852627
1893,0.00160710490308702
1894,0.0016082697547972202
1895,0.0015225710812956095
1896,0.0015551955439150333
1897,0.001533490139991045
1898,0.0015439637936651707
1899,0.0015869898488745093
1900,0.0015383583959192038
1901,0.001457495498470962
1902,0.0015104047488421202
1903,0.0014886603457853198
1904,0.0014790543355047703
1905,0.0014145500026643276
1906,0.0014275553403422236
1907,0.001409862539730966
1908,0.0014170620124787092
1909,0.0014599511632695794
1910,0.0013997553614899516
1911,0.0013831515097990632
1912,0.001407151808962226
1913,0.001399667700752616
1914,0.001411742065101862
1915,0.0013637199299409986
1916,0.0014370838180184364
1917,0.001411678735166788
1918,0.0015002826694399118
1919,0.0014991476200520992
1920,0.0014773693401366472
1921,0.0014114991063252091
1922,0.001398761523887515
1923,0.001349261961877346
1924,0.0014530824264511466
1925,0.0013341325102373958
1926,0.0013649887405335903
1927,0.0013332818634808064
1928,0.001345502445474267
1929,0.0013328117784112692
1930,0.0013303895248100162
1931,0.0012644167291000485
1932,0.0013183449627831578
1933,0.0012270250590518117
1934,0.0013379600131884217
1935,0.001302711316384375
1936,0.0012943730689585209
1937,0.0012643260415643454
1938,0.001285723177716136
1939,0.0013095667818561196
1940,0.0012882646406069398
1941,0.0013237301027402282
1942,0.0014175450196489692
1943,0.001475631259381771
1944,0.001450752024538815
1945,0.0014786713290959597
1946,0.0014550904743373394
1947,0.0014782740036025643
1948,0.0014350101118907332
1949,0.0013230240438133478
1950,0.0013763674069195986
1951,0.001440817373804748
1952,0.0014482083497568965
1953,0.0014025116106495261
1954,0.0013447310775518417
1955,0.001454733544960618
1956,0.0014773765578866005
1957,0.0014208493521437049
1958,0.0014552930369973183
1959,0.0014169692294672132
1960,0.0013839451130479574
1961,0.0014146784087643027
1962,0.0014075867366045713
1963,0.001396280829794705
1964,0.001419701031409204
1965,0.001454476616345346
1966,0.0015099283773452044
1967,0.0015112801920622587
1968,0.0014716546284034848
1969,0.0015175616135820746
1970,0.0014529910404235125
1971,0.0013942912919446826
1972,0.0013814133126288652
1973,0.0013668638421222568
1974,0.0014199920697137713
1975,0.0013839246239513159
1976,0.0013493984006345272
1977,0.0013399178860709071
1978,0.0012930631637573242
1979,0.0013082590885460377
1980,0.0013069129781797528
1981,0.0012348098680377007
1982,0.0012434065574780107
1983,0.0012501790188252926
1984,0.001281646778807044
1985,0.0012246713740751147
1986,0.0012865782482549548
1987,0.0012532672844827175
1988,0.0013003929052501917
1989,0.0012700965162366629
1990,0.0013131138402968645
1991,0.0013065763050690293
1992,0.0012929814402014017
1993,0.0012486871564760804
1994,0.0012992463307455182
1995,0.0012736535863950849
1996,0.001303360564634204
1997,0.0013310651993378997
1998,0.0013352406676858664
1999,0.001356844324618578
2000,0.0014157143887132406
2001,0.0014234125846996903
2002,0.0014621575828641653
2003,0.0015316976932808757
2004,0.0015482008457183838
2005,0.0015478046843782067
2006,0.0015754440100863576
2007,0.0015961037715896964
2008,0.001630619983188808
2009,0.0017446352867409587
2010,0.001794627052731812
2011,0.001838642987422645
2012,0.0017923569539561868
2013,0.0017834596801549196
2014,0.0018511023372411728
2015,0.0018298744689673185
2016,0.0017778938636183739
2017,0.001831929897889495
2018,0.001820935751311481
2019,0.0018618399044498801
