,website
1800,0.0
1801,0.0
1802,5.887542187110739e-08
1803,0.0
1804,0.0
1805,0.0
1806,4.9139994295899214e-09
1807,2.135542853665129e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.5329474073743086e-09
1813,0.0
1814,1.6406875857910563e-09
1815,0.0
1816,1.3578558277771435e-09
1817,0.0
1818,1.3519849684229257e-09
1819,3.993627206710926e-09
1820,0.0
1821,0.0
1822,2.1041641762309382e-09
1823,4.127114205942917e-09
1824,0.0
1825,8.733823109174921e-10
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,1.463988485994605e-09
1831,0.0
1832,1.9676797968770643e-09
1833,0.0
1834,6.50262621526565e-10
1835,9.417529867050689e-08
1836,5.773478362058881e-10
1837,2.3256854220221612e-09
1838,0.0
1839,1.0508564685096644e-08
1840,5.420898729902035e-10
1841,4.808522025001594e-09
1842,0.0
1843,5.291017624031724e-10
1844,1.4695298311551142e-09
1845,1.7028323195944495e-09
1846,4.5902170953127097e-10
1847,1.075204014711062e-08
1848,0.0
1849,2.2827175705231184e-09
1850,4.242382556363111e-10
1851,3.8281372516379975e-10
1852,3.7617675641143933e-10
1853,3.3228936269225073e-10
1854,9.750005247610716e-10
1855,1.4157239824896806e-09
1856,1.0134462158362112e-09
1857,3.535130244092244e-10
1858,3.675122428603572e-10
1859,1.3915665286745593e-09
1860,3.3693958734204443e-10
1861,1.2096738055689116e-09
1862,8.530114392613086e-10
1863,8.539329243717475e-10
1864,1.1862202331514027e-09
1865,1.3650976349310895e-08
1866,1.3366606710363271e-09
1867,6.593317003478205e-10
1868,6.191717139003572e-10
1869,6.193546786548154e-10
1870,9.074616058590834e-10
1871,1.8820913716410814e-09
1872,1.3855060432277355e-09
1873,1.182620890105568e-09
1874,1.761001122702055e-08
1875,3.1532816358037508e-09
1876,5.461225360825495e-10
1877,2.7818500281107106e-10
1878,1.4040260065684151e-09
1879,5.366477817680959e-10
1880,3.1806022260383315e-09
1881,2.0319801397050696e-09
1882,7.331900642171263e-10
1883,3.2689364104498964e-08
1884,6.628775306438683e-10
1885,2.2686705292151998e-10
1886,1.3491503469964528e-09
1887,2.135763510491273e-10
1888,1.2189776299464938e-08
1889,5.793609481052897e-10
1890,1.3540644161480486e-09
1891,4.536477415939544e-09
1892,8.060635714457476e-09
1893,1.0624190416308466e-09
1894,2.3300597007391843e-09
1895,3.146021498867668e-10
1896,1.6143171521765254e-10
1897,6.18569639954103e-10
1898,1.481984535089964e-09
1899,7.732789519820926e-09
1900,2.5110199430855573e-07
1901,1.767740509528437e-09
1902,1.274973460141382e-09
1903,3.415344229651396e-09
1904,1.3195249337627502e-09
1905,9.6422425599485e-10
1906,2.5662023617201157e-09
1907,3.440261631126873e-09
1908,1.0672803751887727e-09
1909,1.1403514577068563e-08
1910,4.1020487007159545e-10
1911,1.056782994446337e-09
1912,5.209221498603256e-09
1913,1.928344595114595e-09
