,white
1800,0.00014070988981984556
1801,0.00013215071521699429
1802,0.00013444622163660824
1803,9.74198555923067e-05
1804,0.00012272146705072373
1805,0.00011538655962795019
1806,0.00011833648022729903
1807,0.00014240440214052796
1808,0.00010023213690146804
1809,0.00013710885832551867
1810,0.00014601695875171572
1811,9.335798677057028e-05
1812,9.265015251003206e-05
1813,0.00011535701196407899
1814,9.858071280177683e-05
1815,0.00011236523278057575
1816,9.491547825746238e-05
1817,0.0001347518846159801
1818,0.00012050376972183585
1819,0.0001598821982042864
1820,0.00011725057265721262
1821,0.00013752849190495908
1822,0.00013519570347853005
1823,0.0001282170560443774
1824,0.00013805505295749754
1825,0.00011577119585126638
1826,0.00011301058111712337
1827,0.00012027574848616496
1828,0.0001307540078414604
1829,0.00015061174053698778
1830,0.00011998922855127603
1831,0.00013866739755030721
1832,0.00012242903176229447
1833,0.0001273020898224786
1834,0.0001272147783311084
1835,0.00013370627129916102
1836,0.0001253583759535104
1837,0.00011956581147387624
1838,0.00013129319995641708
1839,0.00013009656686335802
1840,0.00012452455121092498
1841,0.0001324437907896936
1842,0.00014711472613271326
1843,0.00013521248183678836
1844,0.00013301595754455775
1845,0.00014788545377086848
1846,0.0001251458452316001
1847,0.0001350755337625742
1848,0.00013826591020915657
1849,0.00014196174743119627
1850,0.00013370165834203362
1851,0.00014449878653977066
1852,0.00014728674432262778
1853,0.0001380313333356753
1854,0.0001423920039087534
1855,0.0001475442695664242
1856,0.00015078051364980638
1857,0.00015543685003649443
1858,0.00015966605860739946
1859,0.0001498912024544552
1860,0.0001567833824083209
1861,0.00015454711683560163
1862,0.0001766953500919044
1863,0.0001612677879165858
1864,0.00016161856183316559
1865,0.0001633226202102378
1866,0.00016636513464618474
1867,0.0001652651117183268
1868,0.0001588064042152837
1869,0.00016483350191265345
1870,0.0001618962996872142
1871,0.0001533261383883655
1872,0.00019107540720142424
1873,0.00016485113883391023
1874,0.00017873251636046916
1875,0.00017330666014458984
1876,0.0001698694977676496
1877,0.00017597537953406572
1878,0.00017424047109670937
1879,0.00016113976016640663
1880,0.00016315387620124966
1881,0.00016731375944800675
1882,0.00016665850125718862
1883,0.00017469908925704658
1884,0.00017383719386998564
1885,0.00018087271018885076
1886,0.00015626894310116768
1887,0.00016158781363628805
1888,0.00016799177683424205
1889,0.0001738851424306631
1890,0.00017985671001952142
1891,0.0001690737553872168
1892,0.00017230854427907616
1893,0.000164178796694614
1894,0.0001621230476303026
1895,0.00016903982032090425
1896,0.00017814183956943452
1897,0.00016472865536343306
1898,0.00016683811554685235
1899,0.00017144314188044518
1900,0.0001787069923011586
1901,0.00016921493806876242
1902,0.00017417182971257716
1903,0.00016931493883021176
1904,0.0001771440583979711
1905,0.00017028176807798445
1906,0.00017159960407298058
1907,0.00016800528101157397
1908,0.00016153822070918977
1909,0.0001634036743780598
1910,0.0001624031865503639
1911,0.00016282565775327384
1912,0.00016296267858706415
1913,0.0001593048800714314
1914,0.00015811719640623778
1915,0.00014943862333893776
1916,0.0001517936761956662
1917,0.00015144902863539755
1918,0.0001428870455129072
1919,0.0001438690087525174
1920,0.00015019671991467476
1921,0.0001483989617554471
1922,0.00014692074910271913
1923,0.00017494520579930395
1924,0.00016056287859100848
1925,0.00016939363558776677
1926,0.00016506084648426622
1927,0.0001646156160859391
1928,0.00016594042244832963
1929,0.00016188851441256702
1930,0.00016140099614858627
1931,0.0001563265104778111
1932,0.00015276441990863532
1933,0.00014849117724224925
1934,0.00015395205991808325
1935,0.00015102437464520335
1936,0.00016073019651230425
1937,0.00015912939852569252
1938,0.00015371423796750605
1939,0.000148585022543557
1940,0.00014888813893776387
1941,0.00014684951747767627
1942,0.000147698272485286
1943,0.00014274814748205245
1944,0.0001507139386376366
1945,0.00014418413047678769
1946,0.00013737581321038306
1947,0.00013883193605579436
1948,0.00013735074026044458
1949,0.00013939502241555601
1950,0.0001321407762588933
1951,0.0001314724941039458
1952,0.00013089351705275476
1953,0.0001316583075094968
1954,0.00012505488120950758
1955,0.0001228396431542933
1956,0.00012707272253464907
1957,0.00011896351497853175
1958,0.00012176865857327357
1959,0.00012201251956867054
1960,0.00012162695929873735
1961,0.0001209729744005017
1962,0.00012169379624538124
1963,0.0001234590308740735
1964,0.00012253443128429353
1965,0.00012603077630046755
1966,0.00012671775766648352
1967,0.00012834765948355198
1968,0.00013670159387402236
1969,0.00014903575356584042
1970,0.00014147107140161097
1971,0.00013364898040890694
1972,0.0001333814871031791
1973,0.00012381552369333804
1974,0.00012243179662618786
1975,0.00011540156265255064
1976,0.0001156903599621728
1977,0.0001126097995438613
1978,0.00011464284762041643
1979,0.00011080173862865195
1980,0.00011157973494846374
1981,0.00011198289575986564
1982,0.00010966289119096473
1983,0.0001107670395867899
1984,0.0001086208430933766
1985,0.00011001470556948334
1986,0.00011098866525571793
1987,0.00011442950926721096
1988,0.00011444655683590099
1989,0.00011531100608408451
1990,0.00011786408140324056
1991,0.00011898653610842302
1992,0.00011809219722636044
1993,0.00012226967373862863
1994,0.00012217750190757215
1995,0.00012259451614227146
1996,0.00013063248479738832
1997,0.0001340187736786902
1998,0.00013510546705219895
1999,0.00013573547767009586
2000,0.00014390489377547055
2001,0.00014411548909265548
2002,0.0001410387922078371
2003,0.0001442131760995835
2004,0.00014939423999749124
2005,0.0001499638456152752
2006,0.00015013704251032323
2007,0.00015458933194167912
2008,0.00016320917347911745
2009,0.0001717281120363623
2010,0.00017831064178608358
2011,0.00017959460092242807
2012,0.00016629441233817488
2013,0.0001659966801526025
2014,0.00017911402392201126
2015,0.0001782820327207446
2016,0.00016878113092388958
2017,0.0001765884371707216
2018,0.00017901592946145684
2019,0.00018833069771062583
