,would
1800,0.0017326439265161753
1801,0.0015859018312767148
1802,0.0017096076626330614
1803,0.0015190085396170616
1804,0.0016295243985950947
1805,0.0015450160717591643
1806,0.0016096419421955943
1807,0.001542378799058497
1808,0.0017006925772875547
1809,0.0016299949493259192
1810,0.0015266718110069633
1811,0.001668770913966
1812,0.002072553848847747
1813,0.001650679623708129
1814,0.0019033747958019376
1815,0.0018029200145974755
1816,0.0018902955343946815
1817,0.0018062149174511433
1818,0.001701812376268208
1819,0.0016175867058336735
1820,0.001818040618672967
1821,0.0017256556311622262
1822,0.0016277877148240805
1823,0.001699524000287056
1824,0.0016964947571977973
1825,0.0017613221425563097
1826,0.0018204657826572657
1827,0.001708674943074584
1828,0.0017337321769446135
1829,0.0017485128482803702
1830,0.0018256236799061298
1831,0.0018553681438788772
1832,0.0019222332630306482
1833,0.0020302562043070793
1834,0.0019200558308511972
1835,0.0018002819269895554
1836,0.0019027773523703218
1837,0.0018266026163473725
1838,0.001807255670428276
1839,0.0017188660567626357
1840,0.0017468532314524055
1841,0.0017330212285742164
1842,0.0017021038802340627
1843,0.0017782876966521144
1844,0.0017400962533429265
1845,0.0016552356537431479
1846,0.0018007921753451228
1847,0.0017384529346600175
1848,0.0017898092046380043
1849,0.0018197335302829742
1850,0.0017905777785927057
1851,0.0017885597189888358
1852,0.0017437218921259046
1853,0.0018633587751537561
1854,0.0016994938487187028
1855,0.0017731592524796724
1856,0.0017160204006358981
1857,0.0017063996056094766
1858,0.001744957291521132
1859,0.001655575935728848
1860,0.0017599742859601974
1861,0.001722428249195218
1862,0.0017377540934830904
1863,0.0017133536748588085
1864,0.0017683780752122402
1865,0.0017403473611921072
1866,0.0017569020856171846
1867,0.0017595143290236592
1868,0.001741265063174069
1869,0.0017608724301680923
1870,0.0017574125668033957
1871,0.0017507269512861967
1872,0.0017860651714727283
1873,0.0016788828652352095
1874,0.0016932003200054169
1875,0.0017132562352344394
1876,0.0016956214094534516
1877,0.0016874143620952964
1878,0.0016834755660966039
1879,0.0016827761428430676
1880,0.0016196969663724303
1881,0.0016281132120639086
1882,0.001692767022177577
1883,0.0016410944517701864
1884,0.0016244902508333325
1885,0.0016174130141735077
1886,0.001616807421669364
1887,0.001596955000422895
1888,0.0016443253261968493
1889,0.0015123476041480899
1890,0.0015308911679312587
1891,0.0015144863864406943
1892,0.0015286615816876292
1893,0.001585712074302137
1894,0.001586273079738021
1895,0.0014938933309167624
1896,0.0015246170805767179
1897,0.0014720900217071176
1898,0.001481679268181324
1899,0.0015079457079991698
1900,0.0015100854216143489
1901,0.0014595116954296827
1902,0.0014833328314125538
1903,0.001469150185585022
1904,0.001457606558687985
1905,0.0014159290585666895
1906,0.0014877400826662779
1907,0.0014442706014961004
1908,0.0014964683214202523
1909,0.001445173635147512
1910,0.0014068925520405173
1911,0.0014113023644313216
1912,0.0014431341551244259
1913,0.0014376651961356401
1914,0.0014146866742521524
1915,0.0013545716647058725
1916,0.0014304518699645996
1917,0.0013576308265328407
1918,0.0014012791216373444
1919,0.0014722414780408144
1920,0.001454600365832448
1921,0.001403816626407206
1922,0.0014076802181079984
1923,0.0013389618834480643
1924,0.0014392203884199262
1925,0.001321712275967002
1926,0.001376752508804202
1927,0.0012823292054235935
1928,0.0013463854556903243
1929,0.00132284639403224
1930,0.001332162064500153
1931,0.0012876316905021667
1932,0.0013803066685795784
1933,0.0013016463490203023
1934,0.001397739048115909
1935,0.0013575160410255194
1936,0.0013593892799690366
1937,0.001320266048423946
1938,0.0013428002130240202
1939,0.0013883922947570682
1940,0.0013527869014069438
1941,0.0013746735639870167
1942,0.001383414608426392
1943,0.0014233944239094853
1944,0.0014325027586892247
1945,0.001497311401180923
1946,0.0015484113246202469
1947,0.0015465795295313
1948,0.0014927253359928727
1949,0.0014186314074322581
1950,0.001410940894857049
1951,0.001458027632907033
1952,0.001450496376492083
1953,0.001417145598679781
1954,0.0014310515252873302
1955,0.0015166786033660173
1956,0.001512251328676939
1957,0.0014804615639150143
1958,0.0014778273180127144
1959,0.0014491352485492826
1960,0.0014288799138739705
1961,0.001452741795219481
1962,0.001462791464291513
1963,0.001434082631021738
1964,0.0014320127665996552
