,yes
1800,1.9227216398576275e-05
1801,8.680428436491638e-06
1802,7.317373729165411e-06
1803,6.08892105447012e-06
1804,9.942922588379588e-06
1805,7.110997103154659e-06
1806,7.955764885991812e-06
1807,7.555550837423652e-06
1808,1.2087987670383882e-05
1809,8.039356544031762e-06
1810,7.612723493366502e-06
1811,1.0399287020845804e-05
1812,6.855422270746203e-06
1813,6.601113454962615e-06
1814,7.120584086806048e-06
1815,8.17766795080388e-06
1816,9.327111911261454e-06
1817,7.866437954362482e-06
1818,8.299835826619528e-06
1819,6.7731916715274565e-06
1820,1.0496238246560097e-05
1821,1.130802138504805e-05
1822,7.989511686901096e-06
1823,8.962028914538678e-06
1824,1.014614463201724e-05
1825,1.1363576959411148e-05
1826,9.143142960965633e-06
1827,9.455058716412168e-06
1828,8.945603440224659e-06
1829,7.828704838175327e-06
1830,9.370990483148489e-06
1831,8.8089127530111e-06
1832,3.2599044061498716e-05
1833,1.2092430552002043e-05
1834,1.110518496716395e-05
1835,1.1191959856660105e-05
1836,1.1336802344885655e-05
1837,1.1171429832756985e-05
1838,1.0753767128335312e-05
1839,1.1655574780888855e-05
1840,1.1882610124303028e-05
1841,1.3164130905352067e-05
1842,1.3548205060942564e-05
1843,1.5841835192986764e-05
1844,1.288042858504923e-05
1845,1.1928766070923302e-05
1846,1.2758508091792464e-05
1847,1.1284032552794088e-05
1848,1.3077060430077836e-05
1849,1.1341453500790522e-05
1850,1.2825995327148121e-05
1851,1.2090406016795896e-05
1852,1.3738351299252827e-05
1853,1.3548434253607411e-05
1854,1.34212068587658e-05
1855,1.2544021956273355e-05
1856,1.32812119773007e-05
1857,1.4223242942534853e-05
1858,1.3046316780673806e-05
1859,1.4710250070493203e-05
1860,1.4427752830670215e-05
1861,1.3455201042233966e-05
1862,1.4448733963945415e-05
1863,1.3553196367865894e-05
1864,1.5014780728961341e-05
1865,1.448641614842927e-05
1866,1.551528839627281e-05
1867,1.5504514522035606e-05
1868,1.620589137019124e-05
1869,1.6536769180675037e-05
1870,1.5261386579368263e-05
1871,1.5236783838190604e-05
1872,1.9330025679664686e-05
1873,1.617795896891039e-05
1874,1.646024793444667e-05
1875,1.6266920283669606e-05
1876,1.749421608110424e-05
1877,1.654199331824202e-05
1878,1.5617262761224993e-05
1879,1.5974394045770168e-05
1880,1.4609973732149228e-05
1881,1.421954311808804e-05
1882,1.626069024496246e-05
1883,1.6028147001634352e-05
1884,1.5571435142192058e-05
1885,1.5236390936479438e-05
1886,1.5226735740725417e-05
1887,1.541679557703901e-05
1888,1.550519300508313e-05
1889,1.681556568655651e-05
1890,1.620196235307958e-05
1891,1.62884116434725e-05
1892,1.668661570874974e-05
1893,1.9941780919907615e-05
1894,2.247001975774765e-05
1895,2.251513251394499e-05
1896,1.867958599177655e-05
1897,1.7611606381251477e-05
1898,1.6675438018864952e-05
1899,1.985617564059794e-05
1900,2.0755122022819705e-05
1901,1.9262437490397133e-05
1902,1.641757808101829e-05
1903,1.6304726159432903e-05
1904,1.7090605979319662e-05
1905,1.6110379874589853e-05
1906,1.7303902495768853e-05
1907,1.757518657541368e-05
1908,1.993850491999183e-05
1909,1.828808854043018e-05
1910,1.755625635269098e-05
1911,2.1091946109663695e-05
1912,2.0729614334413782e-05
1913,1.8588760212878697e-05
1914,1.6225234503508545e-05
1915,1.5612165952916257e-05
1916,1.9607236026786268e-05
1917,1.530935514892917e-05
1918,1.620703551452607e-05
1919,1.8322105461265892e-05
1920,1.84412765520392e-05
1921,1.7057422155630775e-05
1922,1.7513810234959237e-05
1923,1.7914484487846494e-05
1924,2.333314114366658e-05
1925,1.8652455764822662e-05
1926,1.8684779206523672e-05
1927,1.5450012142537162e-05
1928,2.0251914975233376e-05
1929,2.0210351067362353e-05
1930,1.9473010979709215e-05
1931,1.695497485343367e-05
1932,1.781422361091245e-05
1933,1.9582730601541698e-05
1934,2.1921508960076608e-05
1935,2.148142630176153e-05
1936,2.2115624233265407e-05
1937,1.8919725334853865e-05
1938,1.8369646568316966e-05
1939,2.2771635485696606e-05
1940,2.0126472008996643e-05
1941,2.2059044567868114e-05
1942,2.113612208631821e-05
1943,2.4378965463256463e-05
1944,2.16580847336445e-05
1945,2.0871497326879762e-05
