,tools
1800,6.877350642753299e-06
1801,7.886511411925312e-06
1802,6.211356776475441e-06
1803,6.146553914732067e-06
1804,6.149725322757149e-06
1805,6.895235856063664e-06
1806,6.0958163885516115e-06
1807,6.284902610786958e-06
1808,6.692927854601294e-06
1809,6.748933174094418e-06
1810,6.898023912071949e-06
1811,5.52750452698092e-06
1812,6.6806487666326575e-06
1813,7.043527148198336e-06
1814,6.451183708122699e-06
1815,6.2811304815113544e-06
1816,5.3988346735422965e-06
1817,6.014650807628641e-06
1818,6.371905328705907e-06
1819,7.755624210403766e-06
1820,7.2145894591812976e-06
1821,6.2361423260881566e-06
1822,7.329856089199893e-06
1823,6.79426193528343e-06
1824,7.388012818410061e-06
1825,6.899720119690755e-06
1826,6.565089279320091e-06
1827,7.545458174718078e-06
1828,5.89933006267529e-06
1829,6.442630819947226e-06
1830,6.517676865769317e-06
1831,7.89295881986618e-06
1832,9.23087827686686e-06
1833,7.315767106774729e-06
1834,7.97156917542452e-06
1835,7.514950539189158e-06
1836,7.105997156031663e-06
1837,6.963683517824393e-06
1838,7.228999493236188e-06
1839,7.220435236376943e-06
1840,7.138239652704215e-06
1841,8.700219041202217e-06
1842,7.707199074502569e-06
1843,8.082558451860677e-06
1844,7.006228315731278e-06
1845,7.073139840940712e-06
1846,8.532295396435075e-06
1847,8.475411959807388e-06
1848,8.334336598636582e-06
1849,8.402226740145124e-06
1850,9.39984693104634e-06
1851,1.0383057087892666e-05
1852,1.1645680388028268e-05
1853,8.286299816973042e-06
1854,9.849454727373086e-06
1855,9.945107194653247e-06
1856,1.0551325431151781e-05
1857,1.0296066648152191e-05
1858,1.076075841410784e-05
1859,1.0802034921653103e-05
1860,1.0813739208970219e-05
1861,1.1028999324480537e-05
1862,1.2447995686670765e-05
1863,1.2661690561799332e-05
1864,1.3152414794603828e-05
1865,1.2123236956540495e-05
1866,1.208274443342816e-05
1867,1.3222567758930381e-05
1868,1.3127678357705008e-05
1869,1.367968707199907e-05
1870,1.3271323950903025e-05
1871,1.1716959306795616e-05
1872,1.2564600183395669e-05
1873,1.2509764019341674e-05
1874,1.3711665815208107e-05
1875,1.389622593706008e-05
1876,1.5804240319994278e-05
1877,1.3135617336956784e-05
1878,1.4355604434967972e-05
1879,1.3259493243822362e-05
1880,1.5069203982420731e-05
1881,1.3762855815002695e-05
1882,1.4154235032037832e-05
1883,1.637806235521566e-05
1884,1.6071464415290393e-05
1885,1.5861636711633764e-05
1886,1.5124650417419616e-05
1887,1.5872354197199456e-05
1888,1.609517858014442e-05
1889,1.6616071661701426e-05
1890,1.6128455172292888e-05
1891,1.6565514670219272e-05
1892,1.8603213902679272e-05
1893,1.7757802197593264e-05
1894,1.7504304196336307e-05
1895,1.71793217305094e-05
1896,1.7782671420718543e-05
1897,1.9156637790729292e-05
1898,1.9346567569300532e-05
1899,2.139717253157869e-05
1900,2.0521054466371424e-05
1901,2.188336475228425e-05
1902,2.2082795112510212e-05
1903,2.3310483811656013e-05
1904,2.2241310944082215e-05
1905,2.3102933482732624e-05
1906,2.2624977646046318e-05
1907,2.5508097678539343e-05
1908,2.4118402507156134e-05
1909,2.4637565729790367e-05
1910,2.4830624170135707e-05
1911,2.535635394451674e-05
1912,2.469682294758968e-05
1913,2.688845052034594e-05
1914,2.4809123715385795e-05
1915,2.6258598154527135e-05
1916,2.7933043384109624e-05
1917,2.8171734811621718e-05
1918,3.178358019795269e-05
1919,3.254516559536569e-05
1920,3.082328476011753e-05
1921,3.088541780016385e-05
1922,2.912803211074788e-05
1923,2.6792877179104835e-05
1924,2.606013549666386e-05
1925,2.512961691536475e-05
1926,2.4434311853838153e-05
1927,2.5078639737330377e-05
1928,2.4523562387912534e-05
1929,2.6118676032638177e-05
1930,2.490304905222729e-05
1931,2.3413960661855526e-05
1932,2.2230564354686067e-05
1933,2.296439924975857e-05
1934,2.273609788971953e-05
1935,2.1890547941438854e-05
1936,2.2626460122410208e-05
1937,2.3546444936073385e-05
1938,2.4098631911328994e-05
1939,2.5914658181136474e-05
1940,2.909764771175105e-05
1941,3.593898145481944e-05
1942,4.124063707422465e-05
1943,4.005980008514598e-05
1944,4.2904393922071904e-05
1945,4.1423747461522e-05
1946,3.61234306183178e-05
1947,3.4941607736982405e-05
1948,3.578480027499609e-05
1949,3.579088661354035e-05
1950,3.3162250474561006e-05
1951,3.824594386969693e-05
1952,3.674671097542159e-05
1953,3.736338476301171e-05
1954,3.719150117831305e-05
1955,3.467576971161179e-05
1956,3.624004966695793e-05
1957,3.356264642206952e-05
1958,3.361098060850054e-05
1959,3.283643673057668e-05
1960,3.411758007132448e-05
1961,3.317626396892592e-05
1962,3.3160937164211646e-05
1963,3.262158134020865e-05
1964,3.0709423299413174e-05
1965,3.09932220261544e-05
1966,3.083213960053399e-05
1967,3.1362891604658216e-05
1968,3.038962313439697e-05
1969,2.8965519959456287e-05
1970,2.9675959012820385e-05
1971,2.7775664420914836e-05
1972,2.8663958801189438e-05
1973,2.772616244328674e-05
1974,2.7768021027441137e-05
1975,2.813847822835669e-05
1976,2.9474116672645323e-05
1977,2.9503322366508655e-05
1978,2.959283119707834e-05
1979,2.9314209314179607e-05
1980,3.092797487624921e-05
1981,3.0825394787825644e-05
1982,3.1342740840045735e-05
1983,3.3004751458065584e-05
1984,3.428259879001416e-05
1985,3.5082608519587666e-05
1986,3.724763882928528e-05
1987,3.6263085348764434e-05
1988,3.711758108693175e-05
1989,3.7324061850085855e-05
1990,3.9154067053459585e-05
1991,3.884723992086947e-05
1992,3.956400905735791e-05
1993,4.005033406428993e-05
1994,4.238104520482011e-05
1995,4.2794425098691136e-05
1996,4.4398519094102085e-05
1997,4.667183748097159e-05
1998,4.625447036232799e-05
1999,4.7156128857750446e-05
2000,4.7349545639008284e-05
2001,4.7133911721175537e-05
2002,4.940227881888859e-05
2003,5.250673711998388e-05
2004,5.0703773013083264e-05
2005,5.107901961309835e-05
2006,5.128419797983952e-05
2007,5.121120921103284e-05
2008,5.055069414083846e-05
2009,5.2476738346740603e-05
2010,5.535018863156438e-05
2011,5.393023820943199e-05
2012,5.235760545474477e-05
2013,5.100524504086934e-05
2014,4.7648209147155285e-05
2015,4.893969162367284e-05
2016,5.3178002417553216e-05
2017,4.744255420519039e-05
2018,4.5952812797622755e-05
2019,4.995318886358291e-05
