,two
1800,0.001009537954814732
1801,0.0010011697886511683
1802,0.0010117404162883759
1803,0.0008676726720295846
1804,0.0009416327811777592
1805,0.0009725503623485565
1806,0.0009443822200410068
1807,0.000999577110633254
1808,0.0009246619883924723
1809,0.0010008203098550439
1810,0.0010001285700127482
1811,0.0009226303081959486
1812,0.0009338140953332186
1813,0.0010131801245734096
1814,0.0009961614850908518
1815,0.0010236455127596855
1816,0.000933377887122333
1817,0.0009759034728631377
1818,0.0009574987343512475
1819,0.0010627933079376817
1820,0.0009643345256336033
1821,0.0009483247413299978
1822,0.0009598649921827018
1823,0.0009751245961524546
1824,0.0009716947097331285
1825,0.000958563294261694
1826,0.0009694159962236881
1827,0.0009878297569230199
1828,0.000989909516647458
1829,0.0010251356288790703
1830,0.0009669775608927011
1831,0.0009663321543484926
1832,0.0009415175882168114
1833,0.0009672149899415672
1834,0.0009837296092882752
1835,0.0009837743127718568
1836,0.0009936565766111016
1837,0.0009992290288209915
1838,0.0010001237969845533
1839,0.00099263119045645
1840,0.0009853903902694583
1841,0.0010083732195198536
1842,0.0010463447542861104
1843,0.0009845319436863065
1844,0.0009494828409515321
1845,0.0010296081891283393
1846,0.0009921231539919972
1847,0.0010100812651216984
1848,0.0009807131718844175
1849,0.000991889159195125
1850,0.0009737235377542675
1851,0.00099226925522089
1852,0.0010098806815221906
1853,0.0010017710737884045
1854,0.0010169355664402246
1855,0.0010293665109202266
1856,0.0010228154715150595
1857,0.0010233459761366248
1858,0.0010270453058183193
1859,0.0010218401439487934
1860,0.0010266019962728024
1861,0.0010481557110324502
1862,0.00108258705586195
1863,0.001081038499251008
1864,0.001072749961167574
1865,0.0010706308530643582
1866,0.001057376153767109
1867,0.001065197866410017
1868,0.0010650728363543749
1869,0.0010798932053148746
1870,0.0010658224346116185
1871,0.0010609800228849053
1872,0.0010771987726911902
1873,0.0010823210468515754
1874,0.0010890105040743947
1875,0.0010917753679677844
1876,0.0010900485794991255
1877,0.0011055080685764551
1878,0.0010950990254059434
1879,0.0010948057752102613
1880,0.0010909230913966894
1881,0.0010949962306767702
1882,0.0010923092486336827
1883,0.0011018101358786225
1884,0.001083406270481646
1885,0.001102329813875258
1886,0.0010661856504157186
1887,0.0010660934494808316
1888,0.0010807783110067248
1889,0.0010945864487439394
1890,0.0011004009284079075
1891,0.0011018315562978387
1892,0.0010847795056179166
1893,0.0011033082846552134
1894,0.0010894640581682324
1895,0.0010955198667943478
1896,0.001086529577150941
1897,0.0010817748261615634
1898,0.0010776338167488575
1899,0.001068667508661747
1900,0.0010820330353453755
1901,0.0010625618742778897
1902,0.0010756505653262138
1903,0.0010820432798936963
1904,0.0010798984440043569
1905,0.0010868256213143468
1906,0.001059465459547937
1907,0.0010721990838646889
1908,0.0010609402088448405
1909,0.0010559229413047433
1910,0.0010693923104554415
1911,0.0010716650867834687
1912,0.0010498351184651256
1913,0.0010450180852785707
1914,0.0010349699296057224
1915,0.0010249426122754812
1916,0.0010207209270447493
1917,0.0010060754138976336
1918,0.0009877728298306465
1919,0.0009840988786891103
1920,0.000997812137939036
1921,0.0009954655542969704
1922,0.0010068368865177035
1923,0.0010117170168086886
1924,0.0010030894773080945
1925,0.0010118139907717705
1926,0.0010209862375631928
1927,0.001007363316603005
1928,0.0010065382812172174
1929,0.0010090905707329512
1930,0.001014235196635127
1931,0.0010018140310421586
1932,0.000998979201540351
1933,0.000979953445494175
1934,0.0009685920085757971
1935,0.0009574959985911846
1936,0.0009479605359956622
1937,0.0009670520084910095
1938,0.0009667816921137273
1939,0.0009237770573236048
1940,0.0009276763303205371
1941,0.0009000780410133302
1942,0.0009108289959840477
1943,0.0009029517532326281
1944,0.0009110832470469177
1945,0.000901872175745666
1946,0.0009291556780226529
1947,0.0009378995164297521
1948,0.0009433881496079266
1949,0.0009174227016046643
1950,0.0009477052371948957
1951,0.0009394768276251853
1952,0.0009616563911549747
1953,0.0009427574696019292
1954,0.0009501260938122869
1955,0.000930190843064338
1956,0.000939386838581413
1957,0.0009240196086466312
1958,0.000949354434851557
1959,0.0009603638900443912
1960,0.0009600105695426464
1961,0.000953818904235959
1962,0.0009693280444480479
1963,0.0009550699614919722
1964,0.0009668605052866042
1965,0.0009495206759311259
1966,0.0009566028020344675
1967,0.000938637473154813
1968,0.0009523414773866534
1969,0.000944779603742063
1970,0.0009267323766835034
1971,0.0009269401780329645
1972,0.0009260923252440989
1973,0.0008978722617030144
1974,0.0009029796929098666
1975,0.0008895153296180069
1976,0.0008841793169267476
1977,0.0008749376283958554
1978,0.0008709125104360282
1979,0.0008700827020220459
1980,0.0008835340267978609
1981,0.0008760379860177636
1982,0.0008754283771850169
1983,0.0008867690339684486
1984,0.0008817683556117117
1985,0.0008796976180747151
1986,0.0008835226180963218
1987,0.0008840813534334302
1988,0.000881700892932713
1989,0.0008653388358652592
1990,0.0008734086877666414
1991,0.000870866933837533
1992,0.0008646909845992923
1993,0.0008538856636732817
1994,0.0008526688907295465
1995,0.0008408802095800638
1996,0.0008514072978869081
1997,0.0008593400125391781
1998,0.0008622542372904718
1999,0.0008588634664192796
2000,0.0008670364040881395
2001,0.0008713038987480104
2002,0.0008659888990223408
2003,0.0008805330726318061
2004,0.0008861068054102361
2005,0.0008837524219416082
2006,0.0008879334200173616
2007,0.0008885713177733123
2008,0.0008892125333659351
