,value
1800,0.00013185624266043305
1801,0.00014994904631748796
1802,0.00012971516116522253
1803,0.00012041251466143876
1804,0.00013541096996050328
1805,0.00013928132830187678
1806,0.00012400477135088295
1807,0.00012770973262377083
1808,0.00014163849118631333
1809,0.00012255947513040155
1810,0.00013213597412686795
1811,0.00015260196232702583
1812,0.00015093326510395855
1813,0.00013245706213638186
1814,0.00013984400720801204
1815,0.00012635615712497383
1816,0.00013431638944894075
1817,0.00014335406012833118
1818,0.00013739411951974034
1819,0.00016871077241376042
1820,0.0001309840736212209
1821,0.00015120390162337571
1822,0.00012904418690595776
1823,0.00014137430116534233
1824,0.00014301249757409096
1825,0.00014363208902068436
1826,0.00014465909043792635
1827,0.00013712135842069983
1828,0.00014590118371415883
1829,0.0001401361369062215
1830,0.00014962328714318573
1831,0.00014962023124098778
1832,0.0002096848184010014
1833,0.00015638036711607128
1834,0.00015616057498846203
1835,0.00014375562022905797
1836,0.0001500388461863622
1837,0.0001623927237233147
1838,0.00015755242202430964
1839,0.00014709732204210013
1840,0.00014801004726905376
1841,0.00015212668222375214
1842,0.00015720586816314608
1843,0.00015387602616101503
1844,0.00014895644562784582
1845,0.00015064234321471304
1846,0.00016114048776216805
1847,0.00016224033606704324
1848,0.000160386465722695
1849,0.00016429265087936074
1850,0.00016262622375506908
1851,0.00016744426102377474
1852,0.00016234924260061234
1853,0.00016256592061836272
1854,0.00015054787218105048
1855,0.00016208305896725506
1856,0.00016160885570570827
1857,0.0001688827178440988
1858,0.00017752715211827308
1859,0.00018294020264875144
1860,0.00017347975517623127
1861,0.00017734906577970833
1862,0.00017550283519085497
1863,0.000190699880477041
1864,0.00018504878971725702
1865,0.00018512635142542422
1866,0.00018521003948990256
1867,0.0001814945717342198
1868,0.00019103180966340005
1869,0.00018849471234716475
1870,0.00019509154662955552
1871,0.00019274810620117933
1872,0.00019700732082128525
1873,0.0002056486118817702
1874,0.000213404928217642
1875,0.00020408039563335478
1876,0.00021481183648575097
1877,0.00022674832143820822
1878,0.00023669295478612185
1879,0.00022224489657673985
1880,0.00021376949734985828
1881,0.00022210025053936988
1882,0.00021889733034186065
1883,0.00022301949502434582
1884,0.0002314505254616961
1885,0.00022448903473559767
1886,0.00025046325754374266
1887,0.00024348472652491182
1888,0.00024402368580922484
1889,0.0002457409573253244
1890,0.0002513611689209938
1891,0.00025016593281179667
1892,0.00025631723110564053
1893,0.0002738278708420694
1894,0.00027287742705084383
1895,0.0002697151794563979
1896,0.00027324093389324844
1897,0.00026984914438799024
1898,0.00027580250753089786
1899,0.00025079227634705603
1900,0.0002626543864607811
1901,0.0002762012300081551
1902,0.0002854470512829721
1903,0.00028036473668180406
1904,0.0002807686396408826
1905,0.00028913578717038035
1906,0.00030052626971155405
1907,0.0003034550463780761
1908,0.00031673209741711617
1909,0.0003417358675505966
1910,0.000312264368403703
1911,0.0003333802451379597
1912,0.0003323021228425205
1913,0.00035050613223575056
1914,0.0003529786190483719
1915,0.0003464287146925926
1916,0.0003493471012916416
1917,0.00035090322489850223
1918,0.0003494943375699222
1919,0.0003466339549049735
1920,0.00036126194754615426
1921,0.0003656986227724701
1922,0.00037686852738261223
1923,0.0003585183876566589
1924,0.00036390521563589573
1925,0.0003720161912497133
1926,0.0003733305202331394
1927,0.00037678066291846335
1928,0.0003927810466848314
1929,0.000370754802133888
1930,0.0003749927564058453
1931,0.0003752451157197356
1932,0.00038463217788375914
1933,0.0003950008249375969
1934,0.0003753367636818439
1935,0.0003577399183996022
1936,0.0003446562332101166
1937,0.0003452605742495507
1938,0.00033817481016740203
1939,0.0003285340208094567
1940,0.0003208423440810293
1941,0.0003195354656782001
1942,0.0003038233262486756
1943,0.0002862472028937191
1944,0.0002801906375680119
1945,0.0002867915609385818
1946,0.00028443013434298337
1947,0.00028561774524860084
1948,0.00028989402926526964
1949,0.00029009085847064853
1950,0.00028901599580422044
1951,0.0002885154099203646
1952,0.0002868127776309848
1953,0.0002960610727313906
1954,0.0003055723791476339
1955,0.0002907237212639302
1956,0.00030093779787421227
1957,0.0002922871499322355
1958,0.0003017204289790243
1959,0.00030114944092929363
1960,0.0003060681920032948
1961,0.00030870496993884444
1962,0.00029929852462373674
1963,0.0002973649825435132
1964,0.0002970249333884567
1965,0.00028532580472528934
1966,0.00028504140209406614
1967,0.000281917949905619
