,version
1800,1.6492942449986003e-05
1801,1.1904703569598496e-05
1802,2.462254087731708e-05
1803,1.1624565559031907e-05
1804,2.174181463487912e-05
1805,1.4328355064208154e-05
1806,1.2840280760428868e-05
1807,1.5160218936216552e-05
1808,1.2676936421485152e-05
1809,1.1733261999324895e-05
1810,1.5868383343331516e-05
1811,1.7277776350965723e-05
1812,1.2199941011203919e-05
1813,1.3972637134429533e-05
1814,1.677602995187044e-05
1815,1.580559001013171e-05
1816,1.5740264643682167e-05
1817,1.3772848433291074e-05
1818,1.830452492868062e-05
1819,1.3875192053092178e-05
1820,1.445796533516841e-05
1821,1.8967848518514074e-05
1822,1.4183118764776736e-05
1823,1.7426738850190304e-05
1824,1.580278876645025e-05
1825,1.9726212485693395e-05
1826,1.2252146007085685e-05
1827,1.928096025949344e-05
1828,1.250682817044435e-05
1829,1.2090612472093198e-05
1830,1.0908178410318214e-05
1831,1.2228680134285241e-05
1832,1.0327858944947366e-05
1833,1.4530130101775285e-05
1834,1.4949537217034958e-05
1835,1.232861995958956e-05
1836,1.5121894648473244e-05
1837,1.5965830243658274e-05
1838,1.3082693840260617e-05
1839,1.4796059986110777e-05
1840,1.3794560800306499e-05
1841,1.3498055523086805e-05
1842,1.2772127774951514e-05
1843,1.3234951438789722e-05
1844,1.2306332791922614e-05
1845,1.3522191693482455e-05
1846,1.3672420209331904e-05
1847,1.4806026229052804e-05
1848,1.3405015124590136e-05
1849,1.386431267746957e-05
1850,1.4345616364153102e-05
1851,1.3654965187015478e-05
1852,1.383540529786842e-05
1853,1.3930566638009623e-05
1854,1.4258407645684201e-05
1855,1.2682409760600422e-05
1856,1.5358438758994453e-05
1857,1.5122226614039391e-05
1858,1.4058446140552405e-05
1859,1.649458681640681e-05
1860,1.4554779227182735e-05
1861,1.4585843018721789e-05
1862,1.3373512956604827e-05
1863,1.5896388504188508e-05
1864,1.2921497727802489e-05
1865,1.3296051292854827e-05
1866,1.363393857900519e-05
1867,1.3518278137780726e-05
1868,1.3823318113281857e-05
1869,1.2624306691577658e-05
1870,1.569454798300285e-05
1871,1.588108716532588e-05
1872,1.394788887409959e-05
1873,1.3167596989660524e-05
1874,1.1936179362237453e-05
1875,1.4745604858035222e-05
1876,1.3496872270479798e-05
1877,1.3397946531767957e-05
1878,1.2767651242029388e-05
1879,1.3120769835950341e-05
1880,1.484754011471523e-05
1881,1.5218514818116091e-05
1882,1.369599067402305e-05
1883,1.3625479368784e-05
1884,1.1888487279065885e-05
1885,1.3818244951835368e-05
1886,1.3854200005880557e-05
1887,1.183533368021017e-05
1888,1.2864277778135147e-05
1889,1.2945433809363749e-05
1890,1.3510081771528348e-05
1891,1.403699570801109e-05
1892,1.1913070011360105e-05
1893,1.1813036508101504e-05
1894,1.2519590200099628e-05
1895,1.091700960387243e-05
1896,1.1409509170334786e-05
1897,1.0379598279541824e-05
1898,1.1152378647238947e-05
1899,1.1005930900864769e-05
1900,1.0033547368948348e-05
1901,1.0328781172574963e-05
1902,1.10899745777715e-05
1903,1.13307205538149e-05
1904,1.050833634508308e-05
1905,9.666950973041821e-06
1906,9.692769708635751e-06
1907,1.0157982615055516e-05
1908,9.762947229319252e-06
1909,9.495326594333164e-06
1910,1.0423716048535425e-05
1911,1.0544292308622971e-05
1912,8.749562766752206e-06
1913,8.79797607922228e-06
1914,7.882533282099757e-06
1915,7.267131877597421e-06
1916,8.435100426140707e-06
1917,7.121972430468304e-06
1918,7.035782346065389e-06
1919,6.7623050199472345e-06
1920,7.673584150325041e-06
1921,7.821311555744614e-06
1922,8.13301721791504e-06
1923,9.186323950416408e-06
1924,8.81166761246277e-06
1925,1.0895180821535178e-05
1926,1.0690741873986553e-05
1927,1.0328329153708182e-05
1928,9.764109563548118e-06
1929,9.720872185425833e-06
1930,1.0188703527092002e-05
1931,1.0354207006457727e-05
1932,1.0337011190131307e-05
1933,1.0830185601662379e-05
1934,1.0769778782560024e-05
1935,1.2062335372320376e-05
1936,1.105967749026604e-05
1937,1.1121238458144944e-05
1938,1.0897032552747987e-05
1939,1.0675724297470879e-05
1940,1.1442782124504447e-05
1941,1.2045286894135643e-05
1942,1.1255509889451787e-05
1943,1.2410660019668285e-05
1944,1.214323037856957e-05
1945,1.2536742360680364e-05
1946,1.4741909581061918e-05
1947,1.5157706911850255e-05
1948,1.5987961887731217e-05
1949,1.6498510376550257e-05
1950,1.8095748600899242e-05
1951,1.7951768313650973e-05
1952,1.857727693277411e-05
1953,1.8808717868523672e-05
1954,2.086958738800604e-05
1955,1.9790430087596178e-05
1956,2.0662409951910377e-05
1957,2.079147998301778e-05
1958,2.1298636056599207e-05
1959,2.2079353584558703e-05
1960,2.309625779162161e-05
1961,2.3795844754204154e-05
1962,2.6032235837192275e-05
1963,2.6084338969667442e-05
1964,2.5726729290909134e-05
1965,2.6118688765564002e-05
1966,2.704161852307152e-05
1967,2.7706131731974892e-05
1968,2.8453549020923674e-05
1969,2.7206870072404854e-05
1970,2.923842112068087e-05
1971,2.8788861527573317e-05
1972,3.0429273465415463e-05
1973,3.0451295970124193e-05
1974,3.12169358949177e-05
1975,3.1752522772876546e-05
1976,3.218751953681931e-05
1977,3.29545873682946e-05
1978,3.484333501546644e-05
1979,3.5569933970691636e-05
1980,3.736957296496257e-05
1981,3.732982077053748e-05
1982,3.8962141843512654e-05
1983,4.0781775169307366e-05
1984,4.274091770639643e-05
1985,4.391199036035687e-05
1986,4.653220094041899e-05
1987,4.626968438969925e-05
1988,4.7097575588850304e-05
1989,4.798446752829477e-05
1990,4.845898729399778e-05
1991,5.0650571211008355e-05
