,w
1800,5.044316640123725e-05
1801,5.265370782581158e-05
1802,7.568855653516948e-05
1803,5.359864007914439e-05
1804,5.554905146709643e-05
1805,5.421679452410899e-05
1806,6.052818935131654e-05
1807,7.506860129069537e-05
1808,5.909480751142837e-05
1809,6.042910536052659e-05
1810,5.6556473282398656e-05
1811,5.364727257983759e-05
1812,6.189889973029494e-05
1813,5.32360645593144e-05
1814,5.559469718718901e-05
1815,6.515064887935296e-05
1816,5.856839561602101e-05
1817,4.056232501170598e-05
1818,4.762096796184778e-05
1819,5.0733706302708015e-05
1820,4.5680404582526535e-05
1821,4.368056761450134e-05
1822,3.4064312785631046e-05
1823,3.583779471227899e-05
1824,3.760957406484522e-05
1825,3.653620296972804e-05
1826,3.9266647945623845e-05
1827,4.202999480185099e-05
1828,3.144300353596918e-05
1829,2.826894160534721e-05
1830,2.7428555767983198e-05
1831,3.0399476599995978e-05
1832,2.7988769943476655e-05
1833,3.365146039868705e-05
1834,2.8362504963297397e-05
1835,3.3931719372048974e-05
1836,3.278065560152754e-05
1837,3.1154300813796e-05
1838,2.759758172032889e-05
1839,2.4256920369225554e-05
1840,2.9232196538941935e-05
1841,2.859681444533635e-05
1842,2.7154232157045044e-05
1843,2.7357735234545544e-05
1844,2.5746163373696618e-05
1845,2.843772563210223e-05
1846,2.699368997127749e-05
1847,2.7404144930187613e-05
1848,2.615178527776152e-05
1849,2.7964659238932654e-05
1850,2.951128590211738e-05
1851,2.888559174607508e-05
1852,3.0411632906179875e-05
1853,2.991966721310746e-05
1854,3.110348916379735e-05
1855,2.955465424747672e-05
1856,3.006658334925305e-05
1857,3.0706847610417753e-05
1858,2.908161150116939e-05
1859,3.0415818400797434e-05
1860,3.8881818909430876e-05
1861,3.207893678336404e-05
1862,3.169662522850558e-05
1863,2.9129787435522303e-05
1864,2.759899689408485e-05
1865,3.1659343221690506e-05
1866,3.149707117700018e-05
1867,3.1192983442451805e-05
1868,3.0077813789830543e-05
1869,3.133810969302431e-05
1870,3.122000634903088e-05
1871,2.987318111991044e-05
1872,2.9650105716427788e-05
1873,3.13885320792906e-05
1874,3.1484429200645536e-05
1875,3.145885784761049e-05
1876,2.9575812732218765e-05
1877,3.088660378125496e-05
1878,3.099752575508319e-05
1879,3.2925756386248395e-05
1880,3.415061655687168e-05
1881,3.388606273801997e-05
1882,3.499785088934004e-05
1883,3.471265154075809e-05
1884,3.10931536660064e-05
1885,3.308107261545956e-05
1886,3.115210711257532e-05
1887,2.972256697830744e-05
1888,3.0531326046912e-05
1889,3.141063280054368e-05
1890,3.359240508871153e-05
1891,3.1036121072247624e-05
1892,3.276703500887379e-05
1893,3.422989902901463e-05
1894,3.206251858500764e-05
1895,3.104667121078819e-05
1896,3.269444277975708e-05
1897,3.80168276024051e-05
1898,3.689385630423203e-05
1899,3.120085602859035e-05
1900,3.448978895903565e-05
1901,5.244216663413681e-05
1902,3.198283593519591e-05
1903,3.419113636482507e-05
1904,3.392030703253113e-05
1905,3.3013955544447526e-05
1906,4.116177296964452e-05
1907,4.0128543332684785e-05
1908,4.029431511298753e-05
1909,4.4206866732565686e-05
1910,4.380854807095602e-05
1911,4.0689697925699875e-05
1912,4.106390770175494e-05
1913,3.8227888580877334e-05
1914,3.546665539033711e-05
1915,4.02956320613157e-05
1916,3.420459688641131e-05
1917,3.343248681630939e-05
1918,3.5500459489412606e-05
1919,3.249901783419773e-05
1920,2.8494148864410818e-05
1921,2.7759268050431274e-05
1922,2.6828574846149422e-05
1923,2.526068601582665e-05
1924,2.4038601623033173e-05
1925,2.539622255426366e-05
1926,2.4535889679100364e-05
1927,2.3787792088114657e-05
1928,2.3686014174018055e-05
1929,2.3602811779710464e-05
1930,2.543801565479953e-05
1931,2.4076736735878512e-05
1932,2.285024311277084e-05
1933,2.2962112780078314e-05
1934,2.36579253396485e-05
1935,2.1656693206750788e-05
1936,2.4389411919401027e-05
1937,2.1491174265975133e-05
1938,2.1635085431626067e-05
1939,2.2643833290203474e-05
1940,2.6478372092242353e-05
1941,2.419578959234059e-05
1942,2.6113633794011548e-05
1943,2.594147008494474e-05
1944,2.8925453079864383e-05
1945,2.9182714570197277e-05
1946,2.780187969619874e-05
1947,2.765172757790424e-05
1948,2.867616422008723e-05
1949,2.6915939088212326e-05
1950,3.0962142773205414e-05
1951,3.262543032178655e-05
1952,3.0084105674177408e-05
1953,3.1217186915455386e-05
1954,3.1572155421599746e-05
1955,3.133844438707456e-05
1956,2.9639038984896615e-05
1957,3.0195946237654425e-05
1958,3.314548303023912e-05
1959,3.365720476722345e-05
1960,3.718475272762589e-05
1961,3.2826770620886236e-05
1962,3.4219676308566704e-05
1963,3.3641921618254855e-05
1964,3.689758887048811e-05
1965,3.413321974221617e-05
1966,3.2413281587651e-05
1967,3.244524486945011e-05
1968,3.3433745556976646e-05
1969,3.360342452651821e-05
1970,3.449314317549579e-05
1971,3.447610652074218e-05
1972,3.2297641155309975e-05
1973,3.3657084713922814e-05
1974,3.420169377932325e-05
1975,3.259725053794682e-05
1976,3.28768182953354e-05
1977,3.4683471312746406e-05
1978,3.291735993116163e-05
1979,3.4744392905849963e-05
1980,3.339556133141741e-05
1981,3.142703644698486e-05
1982,3.163255678373389e-05
1983,3.1633087928639725e-05
1984,3.736951111932285e-05
1985,3.704265327542089e-05
1986,3.62641440005973e-05
1987,3.596413807827048e-05
1988,3.5646229662233964e-05
1989,3.5347111406736076e-05
1990,3.3681662898743525e-05
1991,3.5385102819418535e-05
1992,3.488422589725815e-05
1993,3.556379670044407e-05
1994,3.7047488149255514e-05
1995,3.57553108187858e-05
1996,4.025185990030877e-05
1997,3.7193993193795905e-05
1998,3.614220258896239e-05
1999,3.721153916558251e-05
2000,3.209011265425943e-05
2001,3.511162140057422e-05
2002,3.695255873026326e-05
2003,3.489141818135977e-05
2004,3.284593185526319e-05
2005,3.565781662473455e-05
2006,3.277428913861513e-05
2007,3.053839463973418e-05
2008,3.012417073477991e-05
2009,2.8827540518250316e-05
2010,2.7507758204592392e-05
2011,2.6274110496160574e-05
2012,2.9130431357771158e-05
2013,2.857425351976417e-05
2014,2.6984838768839836e-05
2015,2.700397453736514e-05
2016,3.123177884845063e-05
2017,3.787095920415595e-05
2018,4.1328858060296625e-05
2019,3.472985918051563e-05
