,water
1800,0.000404513644753024
1801,0.0003726265567820519
1802,0.0003862269513774663
1803,0.0003171541029587388
1804,0.00037579305353574455
1805,0.00036537760752253234
1806,0.00039066295721568167
1807,0.00043681461829692125
1808,0.0003307782462798059
1809,0.00046348286559805274
1810,0.0003743400739040226
1811,0.0002862093970179558
1812,0.000250283075729385
1813,0.0003399703127797693
1814,0.000296019425150007
1815,0.0003819057601504028
1816,0.00025258969981223345
1817,0.0003166760434396565
1818,0.00033436479861848056
1819,0.00039634486893191934
1820,0.0002876768121495843
1821,0.0003253998002037406
1822,0.00035612453939393163
1823,0.0003355787484906614
1824,0.0003232584276702255
1825,0.000319880637107417
1826,0.00030748647986911237
1827,0.0003223535604774952
1828,0.00032948856824077666
1829,0.0003650716389529407
1830,0.00032801833003759384
1831,0.000345772597938776
1832,0.00033179312595166266
1833,0.00032369300606660545
1834,0.00033093750244006515
1835,0.00036826060386374593
1836,0.000324719469062984
1837,0.0003269838052801788
1838,0.00033510569483041763
1839,0.000346397515386343
1840,0.00033859259565360844
1841,0.00034454718115739524
1842,0.00040731613989919424
1843,0.0003430627111811191
1844,0.0003390460042282939
1845,0.0003685912524815649
1846,0.0003467495844233781
1847,0.00037662620889022946
1848,0.0003634803288150579
1849,0.00038293818943202496
1850,0.00039655627915635705
1851,0.0003880490839947015
1852,0.00039416702929884195
1853,0.00036056252429261804
1854,0.00038411671994253993
1855,0.00038045740802772343
1856,0.0003922286559827626
1857,0.00039145699702203274
1858,0.00038868756382726133
1859,0.0003825513704214245
1860,0.0004064259701408446
1861,0.00039964437019079924
1862,0.00039314146852120757
1863,0.0003887935308739543
1864,0.00040446710772812366
1865,0.0003956981236115098
1866,0.0003887283382937312
1867,0.0004137227369938046
1868,0.000393842114135623
1869,0.0004085455439053476
1870,0.0003950289392378181
1871,0.00043337378883734345
1872,0.0004292491648811847
1873,0.0004343405889812857
1874,0.00046282459516078234
1875,0.00045148516073822975
1876,0.000475774024380371
1877,0.0004618544189725071
1878,0.00047382284537889063
1879,0.00045139912981539965
1880,0.00044879617053084075
1881,0.00044487029663287103
1882,0.00047426304081454873
1883,0.00048470476758666337
1884,0.0004979239893145859
