,week
1800,6.173741712700576e-05
1801,5.4666852520313114e-05
1802,4.2806634155567735e-05
1803,4.135452036280185e-05
1804,4.2768544517457485e-05
1805,4.2374249460408464e-05
1806,4.101223748875782e-05
1807,3.791229391936213e-05
1808,4.633970820577815e-05
1809,4.112342867301777e-05
1810,4.053724114783108e-05
1811,4.426616578712128e-05
1812,4.151627581450157e-05
1813,4.494767927099019e-05
1814,4.9038510042009875e-05
1815,4.7851219278527424e-05
1816,4.765530684380792e-05
1817,5.1977291150251403e-05
1818,5.6360197049798444e-05
1819,4.906703543383628e-05
1820,5.1099443226121366e-05
1821,4.960089427186176e-05
1822,4.774138142238371e-05
1823,5.38578096893616e-05
1824,5.364723256207071e-05
1825,5.6194290664279833e-05
1826,5.375763066695072e-05
1827,5.660736496793106e-05
1828,5.483292625285685e-05
1829,5.4225271014729515e-05
1830,5.642724136123434e-05
1831,6.002432928653434e-05
1832,6.093068077461794e-05
1833,6.920491432538256e-05
1834,7.484522939193994e-05
1835,7.072386506479234e-05
1836,6.697869685012847e-05
1837,6.802804273320362e-05
1838,7.088067650329322e-05
1839,6.970646791160107e-05
1840,6.69096116325818e-05
1841,7.127779099391773e-05
1842,7.282239675987512e-05
1843,7.437636668328196e-05
1844,7.112279126886278e-05
1845,7.074799941619858e-05
1846,7.02518955222331e-05
1847,7.514694152632728e-05
1848,7.831613766029477e-05
1849,7.524521788582206e-05
1850,7.418441964546219e-05
1851,7.508393900934607e-05
1852,7.39326496841386e-05
1853,7.412877312162891e-05
1854,7.454821025021374e-05
1855,8.239584713010117e-05
1856,7.692562940064818e-05
1857,8.645938942208886e-05
1858,8.45983813633211e-05
1859,8.587322372477502e-05
1860,8.573225932195783e-05
1861,9.230214345734566e-05
1862,9.31787071749568e-05
1863,9.393603977514431e-05
1864,8.778662595432252e-05
1865,9.179579501505941e-05
1866,9.16671851882711e-05
1867,9.238094207830727e-05
1868,9.425712778465822e-05
1869,9.699992369860411e-05
1870,9.904641046887264e-05
1871,9.660398063715547e-05
1872,0.0001000302072498016
1873,9.187308751279488e-05
1874,9.629580017644912e-05
1875,9.424958261661232e-05
1876,9.813276119530201e-05
1877,9.825522283790633e-05
1878,9.823885920923203e-05
1879,0.00010157239739783108
1880,9.644980309531093e-05
1881,9.766204311745241e-05
1882,0.00010221330012427643
1883,9.885839244816452e-05
1884,0.00010272811778122559
1885,0.00010883584036491811
1886,0.000103925951407291
1887,0.00010758033022284508
1888,0.00010874479630729184
1889,0.00011552205978659913
1890,0.00011534037184901536
1891,0.00011837295460281894
1892,0.0001257277763215825
1893,0.00012476375559344888
1894,0.00012567338126245886
1895,0.00012186586536699906
1896,0.00012955944112036377
1897,0.0001262902660528198
1898,0.00012717842764686793
1899,0.0001267923798877746
1900,0.00012910427176393569
1901,0.0001269043277716264
1902,0.00013466065865941346
1903,0.000136725211632438
