,why
1800,0.00010989871952915564
1801,0.00010917573672486469
1802,9.579451580066234e-05
1803,9.23395054996945e-05
1804,0.0001025333403958939
1805,9.407788456883281e-05
1806,0.00010677875252440572
1807,9.272313764085993e-05
1808,0.0001215778902405873
1809,0.00011291115515632555
1810,0.00010184763959841803
1811,0.00011878120858455077
1812,0.00011778205225709826
1813,9.995949949370697e-05
1814,0.00010282517177984118
1815,0.00010211724293185398
1816,0.00011077930685132742
1817,0.00010212619963567704
1818,9.465111361350864e-05
1819,9.173627768177539e-05
1820,0.00011305855150567368
1821,0.00010841062612598762
1822,0.00010691363422665745
1823,0.00010778062278404832
1824,0.00011148700286867097
1825,0.00011659129813779145
1826,0.00010910515993600711
1827,9.739151573739946e-05
1828,0.00010572528844932094
1829,0.00010271961218677461
1830,0.0001138917141361162
1831,0.00010731643851613626
1832,0.00010580362140899524
1833,0.0001134631093009375
1834,0.00011138023546664044
1835,0.0001087426717276685
1836,0.0001110014709411189
1837,0.00010946884867735207
1838,0.0001056016844813712
1839,0.00010971940355375409
1840,0.00010611680045258254
1841,0.00010598196240607649
1842,0.00010617092630127445
1843,0.00010899231710936874
1844,0.00010985910921590403
1845,0.00010433509305585176
1846,0.00010636634397087619
1847,9.939185838447884e-05
1848,0.00010680798732209951
1849,0.00010346827912144363
1850,0.00011108890612376854
1851,0.00010658682731445879
1852,0.00010861953342100605
1853,0.00011366323451511562
1854,0.00010677035606931895
1855,0.00010441353515489027
1856,0.0001036809480865486
1857,0.00010367335198679939
1858,0.00010363661567680538
1859,0.00010308585478924215
1860,0.00010833686246769503
1861,0.00010112832387676463
1862,0.00010480909259058535
1863,0.00010275247041136026
1864,0.00010685907182050869
1865,0.00010343929898226634
1866,0.00010530279541853815
1867,0.00010536285117268562
1868,0.00010881478374358267
1869,0.00011102799908258021
1870,0.00010936817852780223
1871,0.00010904711962211877
1872,0.00011134314263472334
1873,0.00010686635505408049
1874,0.00010797067079693079
1875,0.00010428619134472683
1876,0.00010348639625590295
1877,0.00010220377589575946
1878,0.00010440590267535299
1879,0.00010311123332940042
1880,9.87919484032318e-05
1881,0.00010132672468898818
1882,0.00010742089943960309
1883,0.00010236765956506133
1884,0.00010133386240340769
1885,0.00010091205331264064
1886,0.00010145048872800544
1887,0.00010417058365419507
1888,0.00010464557271916419
1889,0.00010091482545249164
1890,0.00010143006511498243
1891,9.937361755874008e-05
1892,0.00010332635429222137
1893,0.00010531830048421398
1894,0.000104994818684645
1895,9.817176032811403e-05
1896,0.00010398930317023769
1897,9.69357424764894e-05
1898,9.832403884502128e-05
1899,0.00010778044088510796
1900,0.00010393321281298995
1901,9.799848339753225e-05
1902,0.0001001670170808211
1903,9.970123210223392e-05
1904,0.00010021023626904935
1905,9.662599768489599e-05
1906,0.00010067122639156878
1907,9.773427882464603e-05
1908,0.00010172707698075101
1909,0.00010391002433607355
1910,9.790800686459988e-05
1911,9.940013842424378e-05
1912,0.00010486433166079223
1913,0.00010175989882554859
1914,0.0001017805770970881
1915,9.875707473838702e-05
1916,0.00010466874664416537
1917,0.00010178257070947438
1918,0.00010422321065561846
1919,0.00010663508874131367
1920,0.00010809808009071276
1921,0.00010406484216218814
1922,0.00010462951468070969
1923,0.00010057126200990751
1924,0.00010507371189305559
1925,9.811140625970438e-05
1926,9.988893725676462e-05
