,Anguilla
0,-0.15429688
1,-0.24316406
2,-0.20800781
3,-0.12988281
4,0.17773438
5,-0.19238281
6,-0.16113281
7,-0.15917969
8,-0.07910156
9,-0.037841797
10,-0.032470703
11,-0.1328125
12,0.16796875
13,-0.03955078
14,0.32421875
15,0.25195312
16,-0.01965332
17,0.15820312
18,-0.12792969
19,0.47265625
20,0.037353516
21,-0.1875
22,0.068359375
23,-0.012329102
24,0.09033203
25,0.33203125
26,0.38867188
27,0.083984375
28,-0.008911133
29,0.37695312
30,0.26757812
31,-0.0154418945
32,-0.13183594
33,0.068359375
34,-0.06689453
35,-0.19140625
36,0.068847656
37,-0.28710938
38,-0.07519531
39,-0.15722656
40,-0.045654297
41,0.05908203
42,0.21484375
43,0.34765625
44,0.053710938
45,-0.34960938
46,-0.26757812
47,-0.2890625
48,0.118652344
49,0.10498047
50,0.13476562
51,0.05517578
52,0.20898438
53,-0.3125
54,0.059814453
55,0.18652344
56,-0.3125
57,-0.14648438
58,-0.12988281
59,-0.23730469
60,0.012756348
61,-0.14453125
62,-0.099121094
63,-0.03515625
64,0.11425781
65,-0.13574219
66,-0.30273438
67,-0.007537842
68,-0.018554688
69,0.083984375
70,-0.14746094
71,-0.21484375
72,0.064453125
73,0.018920898
74,0.20214844
75,-0.13378906
76,-0.23339844
77,-0.16894531
78,0.013305664
79,-0.1171875
80,-0.25976562
81,-0.032470703
82,-0.3046875
83,-0.16992188
84,-0.08154297
85,0.171875
86,-0.14746094
87,-0.01574707
88,0.4453125
89,0.13671875
90,0.23535156
91,0.022583008
92,-0.13476562
93,-0.24023438
94,-0.16894531
95,-0.09814453
96,0.328125
97,-0.31054688
98,-0.22851562
99,0.31054688
100,-0.09472656
101,0.296875
102,0.16015625
103,-0.2734375
104,0.17285156
105,-0.23535156
106,0.118652344
107,-0.021362305
108,0.33398438
109,0.020996094
110,-0.51953125
111,0.18847656
112,-0.034179688
113,-0.109375
114,0.1171875
115,-0.099609375
116,0.07861328
117,-0.014526367
118,0.3203125
119,-0.07128906
120,-0.11767578
121,-0.08642578
122,0.35351562
123,0.052978516
124,0.25195312
125,0.328125
126,-0.13476562
127,-0.0107421875
128,-0.1171875
129,0.55859375
130,-0.09277344
131,0.1796875
132,-0.28320312
133,-0.05834961
134,-0.17480469
135,-0.30664062
136,-0.41210938
137,0.115722656
138,0.103515625
139,-0.03564453
140,-0.20507812
141,0.055419922
142,-0.06591797
143,-0.19921875
144,-0.010375977
145,0.28710938
146,0.01373291
147,-0.07080078
148,0.009521484
149,0.19042969
150,-0.1484375
151,-0.15625
152,-0.17382812
153,-0.045898438
154,0.099609375
155,-0.08105469
156,-0.3125
157,0.067871094
158,0.22558594
159,0.111816406
160,-0.47070312
161,0.22949219
162,0.08984375
163,0.115234375
164,-0.25
165,-0.2890625
166,-0.016845703
167,0.20703125
168,-0.14160156
169,0.02355957
170,-0.0066223145
171,0.328125
172,0.09667969
173,-0.026611328
174,-0.29882812
175,0.095214844
176,0.21289062
177,-0.16015625
178,-0.12158203
179,-0.16601562
180,-0.19238281
181,-0.16992188
182,0.13769531
183,-0.019897461
184,-0.47265625
185,0.017456055
186,0.15625
187,-0.24023438
188,0.29492188
189,0.031982422
190,-0.0016098022
191,0.13867188
192,-0.100097656
193,0.14746094
194,0.0010147095
195,0.43945312
196,-0.14648438
197,-0.061035156
198,0.0036468506
199,-0.046875
200,0.20117188
201,0.06591797
202,0.025146484
203,-0.009399414
204,-0.23925781
205,0.079589844
206,-0.095214844
207,0.06298828
208,-0.24511719
209,0.10498047
210,0.022094727
211,-0.20410156
212,0.003326416
213,0.1796875
214,-0.103515625
215,0.026977539
216,0.17578125
217,0.012573242
218,-0.02319336
219,-0.1796875
220,0.09667969
221,0.03564453
222,-0.13378906
223,-0.1875
224,-0.265625
225,0.18652344
226,0.47070312
227,0.15332031
228,0.005340576
229,0.171875
230,-0.31054688
231,-0.07910156
232,0.092285156
233,-0.19335938
234,0.012573242
235,0.09423828
236,0.27148438
237,-0.21289062
238,0.064453125
239,0.16210938
240,0.024414062
241,-0.0030212402
242,-0.09326172
243,-0.068847656
244,0.057128906
245,-0.036132812
246,0.011962891
247,0.02709961
248,0.14746094
249,0.21679688
250,-0.110839844
251,0.025390625
252,0.068847656
253,0.115234375
254,0.25585938
255,0.23046875
256,0.32421875
257,0.14257812
258,0.18652344
259,-0.15429688
260,0.14648438
261,0.3125
262,-0.03930664
263,-0.015075684
264,-0.119628906
265,-0.05053711
266,-0.3203125
267,-0.14355469
268,0.006439209
269,0.059814453
270,-0.2109375
271,0.36328125
272,0.100097656
273,0.27734375
274,-0.045898438
275,0.06298828
276,0.072265625
277,-0.030761719
278,-0.099609375
279,-0.0077819824
280,-0.083496094
281,0.15332031
282,0.19140625
283,-0.078125
284,-0.067871094
285,-0.14941406
286,-0.3515625
287,-0.015136719
288,-0.27148438
289,0.22753906
290,-0.026245117
291,0.20898438
292,-0.10595703
293,-0.021362305
294,-0.15136719
295,0.0703125
296,-0.16015625
297,-0.07421875
298,0.16796875
299,0.15234375
