,Bahrain
0,-0.06933594
1,0.0018386841
2,-0.0013885498
3,0.040283203
4,0.025512695
5,-0.14550781
6,-0.27539062
7,-0.16308594
8,-0.19140625
9,0.48046875
10,-0.21972656
11,-0.15136719
12,0.09277344
13,-0.13574219
14,0.16015625
15,-0.07519531
16,-0.035888672
17,-0.075683594
18,0.091308594
19,0.21582031
20,0.060058594
21,-0.33398438
22,0.14941406
23,0.078125
24,0.17675781
25,0.24609375
26,-0.07080078
27,0.11669922
28,-0.055908203
29,0.096191406
30,-0.42578125
31,-0.060302734
32,-0.14160156
33,0.02758789
34,-0.0047302246
35,0.05078125
36,-0.071777344
37,0.00289917
38,-0.028320312
39,-0.026977539
40,0.122558594
41,0.08105469
42,-0.17578125
43,0.20800781
44,-0.044189453
45,0.002319336
46,-0.40820312
47,0.15625
48,0.24609375
49,-0.059570312
50,0.037109375
51,0.118652344
52,-0.19238281
53,0.11816406
54,-0.107910156
55,0.30859375
56,-0.28515625
57,0.17675781
58,-0.13085938
59,-0.16308594
60,-0.3125
61,-0.026611328
62,0.080566406
63,0.06689453
64,0.0859375
65,0.115722656
66,0.171875
67,-0.1875
68,0.06201172
69,-0.13378906
70,-0.5
71,0.053710938
72,0.12060547
73,-0.06689453
74,0.0025024414
75,-0.38671875
76,0.15136719
77,-0.09472656
78,0.23925781
79,-0.0051879883
80,-0.171875
81,-0.265625
82,-0.24511719
83,0.22753906
84,0.076660156
85,-0.17578125
86,-0.21191406
87,-0.07714844
88,-0.14453125
89,0.34179688
90,0.39453125
91,-0.35351562
92,-0.60546875
93,-0.13476562
94,0.05126953
95,-0.05908203
96,0.171875
97,0.007507324
98,0.12597656
99,0.0017776489
100,0.2109375
101,0.296875
102,-0.11279297
103,0.16015625
104,-0.18066406
105,0.031982422
106,0.34179688
107,-0.20898438
108,0.27929688
109,0.16308594
110,0.025024414
111,0.048583984
112,-0.08154297
113,-0.30273438
114,-0.022705078
115,-0.20410156
116,-0.12792969
117,0.019165039
118,0.38476562
119,0.048828125
120,-0.20996094
121,0.15039062
122,-0.001953125
123,0.203125
124,0.083496094
125,0.050048828
126,-0.11279297
127,-0.103515625
128,-0.19921875
129,-0.1171875
130,-0.033691406
131,0.14746094
132,0.13476562
133,-0.3125
134,0.20214844
135,-0.296875
136,-0.09277344
137,0.10986328
138,-0.1484375
139,0.17382812
140,0.32421875
141,0.10253906
142,0.18945312
143,-0.110839844
144,0.20996094
145,-0.032714844
146,-0.23535156
147,0.296875
148,-0.033447266
149,-0.05810547
150,0.15820312
151,0.068847656
152,0.07080078
153,-0.2734375
154,0.30664062
155,-0.125
156,-0.37304688
157,-0.11230469
158,0.06933594
159,0.045410156
160,-0.375
161,0.21191406
162,0.032470703
163,-0.22363281
164,-0.021850586
165,-0.24609375
166,0.053955078
167,0.15722656
168,0.3125
169,0.15136719
170,-0.1953125
171,0.23828125
172,0.18066406
173,-0.0703125
174,0.15039062
175,-0.14355469
176,0.4453125
177,-0.2890625
178,0.06225586
179,-0.115234375
180,-0.01928711
181,0.0059509277
182,-0.12060547
183,-0.025024414
184,-0.14355469
185,-0.16113281
186,0.3046875
187,-0.16894531
188,0.15332031
189,0.34570312
190,-0.15722656
191,0.11425781
192,-0.265625
193,-0.15917969
194,-0.16015625
195,0.123535156
196,0.24511719
197,-0.05444336
198,0.05859375
199,-0.35742188
200,-0.019042969
201,-0.1015625
202,-0.075683594
203,-0.31054688
204,0.057128906
205,-0.140625
206,-0.27148438
207,0.053222656
208,0.104003906
209,-0.30664062
210,0.045410156
211,0.24316406
212,0.13085938
213,-0.26757812
214,0.24414062
215,0.13964844
216,-0.053222656
217,-0.053955078
218,-0.06542969
219,-0.15039062
220,0.01586914
221,-0.12988281
222,-0.05126953
223,-0.22558594
224,-0.27734375
225,-0.040771484
226,0.047607422
227,0.12988281
228,0.17382812
229,-0.27929688
230,-0.16992188
231,-0.10205078
232,0.171875
233,-0.27929688
234,0.123535156
235,0.20703125
236,0.041992188
237,0.15429688
238,0.33007812
239,0.09326172
240,0.21484375
241,0.03881836
242,-0.3671875
243,0.027954102
244,-0.040527344
245,-0.010803223
246,-0.12597656
247,-0.0054626465
248,0.007293701
249,0.01586914
250,0.13085938
251,-0.037109375
252,0.09033203
253,-0.0026855469
254,0.13769531
255,0.02355957
256,0.10253906
257,0.044677734
258,-0.1328125
259,0.25
260,0.26953125
261,0.40429688
262,-0.010070801
263,0.00390625
264,0.22460938
265,-0.088378906
266,-0.19628906
267,-0.3359375
268,0.2734375
269,0.296875
270,-0.34960938
271,0.23828125
272,0.008361816
273,0.05029297
274,0.017578125
275,0.036865234
276,0.032470703
277,-0.17382812
278,-0.14550781
279,0.12109375
280,-0.005554199
281,-0.22070312
282,-0.100097656
283,0.15039062
284,0.19824219
285,-0.19824219
286,-0.13769531
287,-0.359375
288,-0.07910156
289,0.08935547
290,0.15527344
291,-0.11035156
292,0.015014648
293,-0.14648438
294,-0.23925781
295,0.19824219
296,-0.04736328
297,0.15234375
298,-0.18847656
299,0.10058594
